From	To	Species	Gene Name
269378	AHCY	Mus musculus	S-adenosylhomocysteine hydrolase(Ahcy)
12116	BHMT	Mus musculus	betaine-homocysteine methyltransferase(Bhmt)
270685	MTHFD1L	Mus musculus	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like(Mthfd1l)
14450	GART	Mus musculus	phosphoribosylglycinamide formyltransferase(Gart)
108147	ATIC	Mus musculus	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase(Atic)
69606	MTFMT	Mus musculus	mitochondrial methionyl-tRNA formyltransferase(Mtfmt)
22171	TYMS	Mus musculus	thymidylate synthase(Tyms)
108037	SHMT2	Mus musculus	serine hydroxymethyltransferase 2 (mitochondrial)(Shmt2)
17768	mthfd2	Mus musculus	methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase(Mthfd2)
17769	MTHFR	Mus musculus	5,10-methylenetetrahydrofolate reductase(Mthfr)
21452	TCN2	Mus musculus	transcobalamin 2(Tcn2)
13433	DNMT1	Mus musculus	DNA methyltransferase (cytosine-5) 1(Dnmt1)
238505	MTR	Mus musculus	5-methyltetrahydrofolate-homocysteine methyltransferase(Mtr)
13436	DNMT3B	Mus musculus	DNA methyltransferase 3B(Dnmt3b)
107885	MTHFS	Mus musculus	5, 10-methenyltetrahydrofolate synthetase(Mthfs)
14317	FTCD	Mus musculus	formiminotransferase cyclodeaminase(Ftcd)
13435	DNMT3A	Mus musculus	DNA methyltransferase 3A(Dnmt3a)
434437	AMT	Mus musculus	aminomethyltransferase(Amt)
108156	MTHFD1	Mus musculus	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase(Mthfd1)
20425	SHMT1	Mus musculus	serine hydroxymethyltransferase 1 (soluble)(Shmt1)
11720	MAT1A	Mus musculus	methionine adenosyltransferase I, alpha(Mat1a)
210009	MTRR	Mus musculus	5-methyltetrahydrofolate-homocysteine methyltransferase reductase(Mtrr)
53320	folh1	Mus musculus	folate hydrolase 1(Folh1)
108645	MAT2B	Mus musculus	methionine adenosyltransferase II, beta(Mat2b)
13361	DHFR	Mus musculus	dihydrofolate reductase(Dhfr)
110147	EHMT2	Mus musculus	euchromatic histone lysine N-methyltransferase 2(Ehmt2)
107747	ALDH1L1	Mus musculus	aldehyde dehydrogenase 1 family, member L1(Aldh1l1)
77683	EHMT1	Mus musculus	euchromatic histone methyltransferase 1(Ehmt1)
74340	AHCYL2	Mus musculus	S-adenosylhomocysteine hydrolase-like 2(Ahcyl2)
