meth.diff	IsMale	Is10ppm	IsCdHet	IsCdHet10ppm	IsMale10ppm	IsMaleCdHet
1	133816	89619	100489	77059	69158	48302
2	133816	89619	100489	77059	69158	48302
3	133794	89617	100489	77059	69158	48302
4	133581	89599	100479	77059	69158	48302
5	133043	89528	100439	77058	69158	48302
6	132334	89366	100373	77053	69157	48300
7	131537	89129	100242	77030	69149	48290
8	130628	88742	100062	76970	69138	48254
9	129512	88075	99802	76802	69070	48187
10	127942	86838	99432	76505	68932	48012
11	125566	84800	98849	75966	68567	47657
12	122531	82045	97764	74994	67876	47052
13	118771	78772	96093	73473	66591	46130
14	114454	74940	93632	71470	64802	44873
15	109485	70818	90681	68852	62520	43439
16	104586	66356	87178	65833	59906	41759
17	99222	61995	83067	62556	57021	39927
18	93811	57627	78843	59087	53958	38149
19	88343	53342	74381	55486	50791	36264
20	82853	48989	69760	51839	47596	34364
21	77283	44875	65042	48174	44337	32433
22	71938	41065	60253	44531	41358	30630
23	66765	37494	55680	41054	38387	28856
24	61790	34153	51241	37730	35525	27042
25	56903	30957	46957	34510	32796	25338
26	52261	27982	42732	31517	30239	23693
27	47755	25284	38821	28657	27680	22177
28	43476	22696	35166	26018	25381	20668
29	39541	20430	31715	23548	23178	19218
30	35829	18313	28491	21349	21075	17818
31	32355	16309	25473	19250	19180	16426
32	29126	14541	22615	17297	17335	15170
33	26103	12853	20122	15468	15698	13984
34	23264	11348	17788	13775	14174	12816
35	20679	10040	15664	12273	12761	11771
36	18357	8798	13769	10937	11418	10812
37	16134	7746	12003	9627	10243	9903
38	14261	6829	10521	8544	9182	9059
39	12507	5947	9127	7567	8129	8268
40	10920	5220	7911	6620	7224	7495
41	9500	4624	6894	5875	6423	6734
42	8184	4037	5945	5149	5701	6082
43	7048	3517	5091	4482	4993	5484
44	6013	3064	4323	3896	4375	4948
45	5135	2653	3691	3369	3874	4431
46	4367	2290	3096	2894	3397	3942
47	3679	1979	2612	2463	2999	3486
48	3090	1685	2209	2100	2574	3095
49	2572	1459	1820	1771	2212	2745
50	2134	1262	1532	1510	1903	2408
51	1775	1097	1285	1266	1614	2097
52	1454	956	1039	1064	1394	1812
53	1204	816	861	894	1190	1569
54	983	713	701	739	1015	1343
55	792	620	560	607	849	1161
56	641	534	463	494	730	1000
57	505	474	374	422	622	834
58	415	403	319	352	536	708
59	340	351	272	291	457	592
60	265	308	218	236	395	514
61	209	274	174	196	337	430
62	164	236	140	166	276	358
63	130	192	119	138	235	299
64	108	168	100	119	190	255
65	85	144	79	88	154	218
66	67	122	60	75	122	174
67	57	100	49	63	105	157
68	52	83	44	60	84	136
69	49	66	40	55	71	109
70	39	55	34	46	59	85
71	37	46	30	41	48	70
72	36	39	27	39	43	57
73	33	34	25	34	33	50
74	28	30	22	28	30	42
75	23	26	20	26	28	35
76	21	22	18	21	22	31
77	20	21	18	21	21	26
78	20	20	18	19	16	22
79	18	20	15	18	11	21
80	18	20	14	18	9	20
81	18	19	14	16	7	20
82	17	19	13	16	7	19
83	16	19	13	15	6	18
84	15	19	13	15	6	16
85	15	19	13	15	6	16
86	15	19	13	15	6	16
87	15	19	13	15	6	15
88	15	19	13	15	6	15
89	15	19	13	15	6	15
90	15	19	13	14	6	15
91	15	19	13	14	6	15
92	15	19	13	14	6	15
93	15	19	13	14	6	15
94	15	19	13	14	6	15
95	15	19	13	14	6	15
96	15	19	13	14	6	15
97	15	19	13	14	6	15
98	15	19	13	14	6	15
99	15	19	13	14	6	15
100	15	19	13	14	6	15
