meth.diff	IsMale	Is10ppm	IsCdHet	IsCdHet10ppm	IsMale10ppm	IsMaleCdHet
1	132060	88173	99021	76380	68628	47614
2	132060	88173	99021	76380	68628	47614
3	132038	88171	99021	76380	68628	47614
4	131825	88153	99011	76380	68628	47614
5	131287	88082	98971	76379	68628	47614
6	130578	87920	98905	76374	68627	47612
7	129781	87683	98774	76351	68619	47602
8	128872	87296	98594	76291	68608	47566
9	127756	86628	98335	76123	68540	47499
10	126186	85393	97965	75826	68403	47324
11	123809	83357	97383	75288	68040	46970
12	120778	80611	96301	74319	67351	46370
13	117024	77352	94641	72806	66075	45453
14	112713	73550	92198	70810	64299	44200
15	107745	69453	89267	68201	62024	42773
16	102849	65037	85788	65207	59421	41104
17	97492	60701	81705	61950	56556	39276
18	92093	56370	77511	58495	53516	37510
19	86637	52126	73104	54927	50364	35640
20	81169	47815	68526	51315	47183	33755
21	75618	43751	63850	47691	43943	31837
22	70280	39992	59112	44088	40977	30048
23	65133	36466	54597	40652	38023	28284
24	60186	33174	50214	37355	35184	26493
25	55336	30034	45982	34169	32474	24808
26	50727	27117	41820	31202	29944	23177
27	46265	24467	37960	28362	27410	21679
28	42020	21921	34365	25744	25129	20188
29	38136	19691	30967	23298	22947	18753
30	34463	17631	27802	21129	20864	17378
31	31059	15676	24836	19056	18978	16005
32	27895	13966	22027	17122	17151	14763
33	24922	12324	19598	15315	15524	13593
34	22137	10856	17299	13632	14014	12448
35	19619	9595	15214	12142	12617	11419
36	17369	8406	13365	10817	11279	10476
37	15208	7383	11643	9529	10118	9587
38	13399	6500	10195	8455	9065	8765
39	11692	5652	8835	7491	8027	7992
40	10166	4957	7644	6555	7126	7240
41	8832	4394	6664	5817	6332	6507
42	7574	3854	5745	5105	5617	5874
43	6493	3357	4925	4440	4924	5294
44	5523	2918	4174	3858	4313	4774
45	4694	2529	3561	3338	3814	4269
46	3973	2196	2982	2870	3341	3794
47	3333	1907	2519	2444	2944	3347
48	2778	1631	2132	2084	2523	2969
49	2307	1418	1761	1757	2167	2632
50	1902	1237	1478	1498	1862	2312
51	1574	1081	1241	1259	1575	2013
52	1281	946	1000	1061	1357	1749
53	1052	812	827	890	1157	1513
54	864	717	673	737	985	1292
55	693	629	543	605	821	1115
56	563	544	448	492	706	960
57	443	484	361	420	602	803
58	358	419	308	351	519	683
59	289	362	263	291	442	573
60	224	318	212	236	381	496
61	173	280	168	196	324	418
62	134	242	135	165	265	348
63	103	193	114	136	225	291
64	85	169	98	118	181	248
65	66	138	78	87	145	210
66	50	116	59	74	113	166
67	43	94	49	62	96	149
68	39	78	44	59	77	128
69	36	62	40	54	64	102
70	30	52	34	45	52	79
71	30	43	30	40	42	65
72	29	37	27	38	37	52
73	26	32	25	33	28	46
74	23	28	22	27	25	38
75	18	25	20	25	24	33
76	17	21	18	21	19	29
77	16	20	18	21	18	24
78	16	19	18	19	14	20
79	15	19	15	18	10	19
80	15	19	14	18	8	19
81	15	18	14	16	6	19
82	15	18	13	16	6	18
83	15	18	13	15	5	17
84	15	18	13	15	5	15
85	15	18	13	15	5	15
86	15	18	13	15	5	15
87	15	18	13	15	5	14
88	15	18	13	15	5	14
89	15	18	13	15	5	14
90	15	18	13	14	5	14
91	15	18	13	14	5	14
92	15	18	13	14	5	14
93	15	18	13	14	5	14
94	15	18	13	14	5	14
95	15	18	13	14	5	14
96	15	18	13	14	5	14
97	15	18	13	14	5	14
98	15	18	13	14	5	14
99	15	18	13	14	5	14
100	15	18	13	14	5	14
