meth.diff	IsMale	Is10ppm	IsCdHet	IsCdHet10ppm	IsMale10ppm	IsMaleCdHet
1	133385	89233	100053	76932	69061	48246
2	133385	89233	100053	76932	69061	48246
3	133363	89231	100053	76932	69061	48246
4	133150	89213	100043	76932	69061	48246
5	132612	89142	100003	76931	69061	48246
6	131903	88980	99937	76926	69060	48244
7	131106	88743	99806	76903	69052	48234
8	130197	88355	99626	76843	69041	48198
9	129081	87687	99366	76675	68973	48131
10	127510	86450	98996	76378	68835	47956
11	125137	84411	98413	75839	68470	47601
12	122104	81657	97328	74867	67779	46996
13	118347	78384	95655	73345	66495	46075
14	114031	74556	93197	71343	64706	44818
15	109064	70436	90250	68727	62424	43384
16	104168	65978	86752	65709	59810	41706
17	98805	61615	82644	62435	56933	39872
18	93393	57249	78425	58971	53874	38094
19	87926	52970	73974	55368	50709	36209
20	82435	48623	69359	51729	47517	34309
21	76877	44519	64649	48066	44260	32383
22	71536	40719	59872	44433	41279	30579
23	66373	37155	55312	40961	38308	28805
24	61405	33825	50887	37643	35448	26992
25	56523	30643	46615	34425	32721	25291
26	51886	27679	42395	31436	30166	23648
27	47388	24987	38499	28575	27613	22135
28	43119	22417	34861	25938	25315	20628
29	39191	20158	31425	23474	23117	19184
30	35489	18054	28213	21282	21019	17786
31	32039	16064	25210	19189	19127	16397
32	28817	14306	22362	17242	17288	15147
33	25815	12627	19890	15418	15648	13960
34	23000	11122	17568	13729	14131	12796
35	20424	9830	15458	12233	12723	11752
36	18112	8599	13582	10898	11380	10791
37	15905	7565	11832	9595	10205	9881
38	14039	6662	10364	8514	9149	9042
39	12297	5795	8983	7541	8100	8248
40	10723	5080	7783	6595	7198	7479
41	9322	4500	6781	5849	6398	6723
42	8025	3932	5842	5129	5677	6074
43	6902	3424	5001	4460	4972	5481
44	5876	2975	4241	3875	4354	4946
45	5005	2577	3619	3356	3854	4430
46	4250	2228	3037	2885	3381	3943
47	3568	1928	2563	2456	2982	3489
48	2989	1642	2169	2093	2559	3099
49	2481	1424	1786	1767	2200	2752
50	2051	1233	1501	1506	1892	2413
51	1703	1075	1256	1263	1603	2106
52	1393	938	1016	1063	1383	1825
53	1145	804	840	893	1180	1583
54	937	708	686	739	1006	1354
55	756	620	550	607	841	1171
56	612	534	454	494	723	1010
57	485	474	367	421	617	841
58	395	407	313	352	531	718
59	320	353	268	291	453	597
60	251	309	215	236	392	518
61	195	273	172	196	334	434
62	154	236	138	165	273	360
63	120	189	116	137	232	301
64	100	166	98	118	188	257
65	79	137	78	87	152	220
66	62	117	59	74	120	174
67	53	95	48	62	103	156
68	48	80	44	59	83	135
69	45	65	40	54	69	107
70	36	54	34	45	57	83
71	36	45	30	40	46	68
72	35	38	27	38	41	55
73	32	33	25	33	32	48
74	27	29	22	27	29	40
75	22	25	20	25	27	34
76	20	21	18	21	21	30
77	19	20	18	21	20	24
78	19	19	18	19	15	20
79	17	19	15	18	10	19
80	17	19	14	18	8	19
81	17	18	14	16	6	19
82	16	18	13	16	6	18
83	15	18	13	15	5	17
84	15	18	13	15	5	15
85	15	18	13	15	5	15
86	15	18	13	15	5	15
87	15	18	13	15	5	14
88	15	18	13	15	5	14
89	15	18	13	15	5	14
90	15	18	13	14	5	14
91	15	18	13	14	5	14
92	15	18	13	14	5	14
93	15	18	13	14	5	14
94	15	18	13	14	5	14
95	15	18	13	14	5	14
96	15	18	13	14	5	14
97	15	18	13	14	5	14
98	15	18	13	14	5	14
99	15	18	13	14	5	14
100	15	18	13	14	5	14
