meth.diff	Is10ppm	IsCdHet	IsCdHet10ppm
1	79597	66491	100396
2	79510	66456	100396
3	78735	66117	100396
4	77280	65584	100388
5	75404	64891	100276
6	72934	63859	99726
7	69548	62338	98343
8	65108	60108	95937
9	59669	56968	92534
10	53599	52705	88000
11	47468	48177	82856
12	41690	43394	77022
13	36195	38632	71018
14	31239	34251	64914
15	26804	30195	58969
16	22767	26477	53465
17	19246	23012	48251
18	16167	19905	43342
19	13599	17177	38856
20	11378	14733	34795
21	9502	12645	31065
22	7919	10720	27704
23	6513	9175	24844
24	5399	7850	22277
25	4434	6592	19827
26	3574	5548	17685
27	2889	4652	15711
28	2334	3879	13970
29	1893	3232	12521
30	1541	2692	11122
31	1238	2218	9891
32	978	1835	8757
33	775	1497	7850
34	628	1229	6954
35	494	1020	6204
36	396	834	5490
37	311	671	4913
38	240	538	4369
39	181	439	3908
40	146	332	3456
41	109	255	3052
42	86	202	2683
43	67	166	2379
44	53	129	2111
45	42	96	1847
46	35	73	1648
47	27	58	1437
48	25	50	1262
49	23	39	1109
50	16	29	941
51	13	22	821
52	12	18	726
53	7	13	634
54	5	10	544
55	3	6	465
56	2	4	400
57	2	2	349
58	2	1	303
59	2	1	259
60	2	1	217
61	2	1	183
62	1	1	152
63	0	1	123
64	0	1	103
65	0	1	81
66	0	1	74
67	0	1	63
68	0	1	53
69	0	1	42
70	0	1	37
71	0	1	31
72	0	1	25
73	0	1	21
74	0	1	19
75	0	1	13
76	0	1	10
77	0	1	7
78	0	1	6
79	0	1	4
80	0	1	4
81	0	0	3
82	0	0	2
83	0	0	2
84	0	0	1
85	0	0	0
86	0	0	0
87	0	0	0
88	0	0	0
89	0	0	0
90	0	0	0
91	0	0	0
92	0	0	0
93	0	0	0
94	0	0	0
95	0	0	0
96	0	0	0
97	0	0	0
98	0	0	0
99	0	0	0
100	0	0	0
