meth.diff	Is10ppm	IsCdHet	IsCdHet10ppm
1	79206	66324	100223
2	79119	66289	100223
3	78345	65950	100223
4	76895	65417	100215
5	75024	64724	100103
6	72559	63692	99553
7	69187	62172	98171
8	64768	59942	95765
9	59354	56805	92364
10	53307	52547	87834
11	47199	48026	82697
12	41449	43251	76872
13	35976	38500	70878
14	31045	34130	64785
15	26632	30082	58849
16	22617	26376	53353
17	19116	22923	48148
18	16054	19825	43242
19	13498	17106	38760
20	11288	14668	34703
21	9426	12586	30979
22	7857	10665	27625
23	6459	9125	24771
24	5352	7809	22211
25	4398	6556	19766
26	3542	5517	17634
27	2863	4627	15666
28	2312	3857	13926
29	1873	3214	12479
30	1525	2676	11083
31	1226	2203	9857
32	969	1823	8728
33	768	1486	7821
34	623	1220	6926
35	490	1014	6182
36	394	829	5471
37	309	667	4897
38	238	535	4355
39	180	436	3896
40	146	330	3445
41	109	253	3043
42	86	201	2675
43	67	165	2371
44	53	128	2103
45	42	95	1841
46	35	72	1643
47	27	58	1433
48	25	50	1258
49	23	39	1105
50	16	29	937
51	13	22	817
52	12	18	724
53	7	13	632
54	5	10	543
55	3	6	464
56	2	4	399
57	2	2	349
58	2	1	303
59	2	1	259
60	2	1	217
61	2	1	183
62	1	1	152
63	0	1	123
64	0	1	103
65	0	1	81
66	0	1	74
67	0	1	63
68	0	1	53
69	0	1	42
70	0	1	37
71	0	1	31
72	0	1	25
73	0	1	21
74	0	1	19
75	0	1	13
76	0	1	10
77	0	1	7
78	0	1	6
79	0	1	4
80	0	1	4
81	0	0	3
82	0	0	2
83	0	0	2
84	0	0	1
85	0	0	0
86	0	0	0
87	0	0	0
88	0	0	0
89	0	0	0
90	0	0	0
91	0	0	0
92	0	0	0
93	0	0	0
94	0	0	0
95	0	0	0
96	0	0	0
97	0	0	0
98	0	0	0
99	0	0	0
100	0	0	0
