meth.diff	Is10ppm	IsCdHet	IsCdHet10ppm
1	78049	65193	99679
2	77962	65158	99679
3	77187	64819	99679
4	75735	64286	99671
5	73862	63593	99559
6	71396	62563	99010
7	68024	61043	97628
8	63619	58816	95222
9	58229	55697	91822
10	52236	51486	87288
11	46176	47003	82149
12	40500	42278	76327
13	35099	37595	70351
14	30243	33285	64277
15	25930	29319	58353
16	21992	25663	52882
17	18570	22270	47697
18	15584	19246	42817
19	13091	16577	38361
20	10937	14208	34330
21	9136	12174	30629
22	7609	10306	27296
23	6260	8802	24470
24	5190	7516	21929
25	4274	6308	19502
26	3440	5303	17379
27	2779	4448	15432
28	2254	3705	13712
29	1831	3080	12286
30	1494	2565	10909
31	1201	2109	9690
32	948	1741	8575
33	754	1420	7681
34	609	1162	6796
35	479	965	6061
36	384	786	5359
37	303	627	4793
38	232	504	4254
39	176	409	3806
40	143	308	3367
41	108	236	2971
42	85	186	2613
43	66	150	2321
44	52	117	2062
45	41	86	1803
46	34	66	1608
47	27	53	1405
48	25	45	1232
49	23	35	1082
50	16	25	916
51	13	18	800
52	12	15	706
53	7	11	617
54	5	8	528
55	3	5	451
56	2	3	387
57	2	1	339
58	2	1	294
59	2	1	250
60	2	1	209
61	2	1	177
62	1	1	148
63	0	1	120
64	0	1	100
65	0	1	80
66	0	1	73
67	0	1	62
68	0	1	52
69	0	1	41
70	0	1	36
71	0	1	30
72	0	1	24
73	0	1	20
74	0	1	18
75	0	1	12
76	0	1	9
77	0	1	6
78	0	1	5
79	0	1	4
80	0	1	4
81	0	0	3
82	0	0	2
83	0	0	2
84	0	0	1
85	0	0	0
86	0	0	0
87	0	0	0
88	0	0	0
89	0	0	0
90	0	0	0
91	0	0	0
92	0	0	0
93	0	0	0
94	0	0	0
95	0	0	0
96	0	0	0
97	0	0	0
98	0	0	0
99	0	0	0
100	0	0	0
