meth.diff	Is10ppm	IsCdHet	IsCdHet10ppm
1	78839	65923	100139
2	78752	65888	100139
3	77978	65549	100139
4	76528	65016	100131
5	74658	64323	100019
6	72194	63291	99469
7	68813	61771	98087
8	64392	59543	95681
9	58968	56406	92280
10	52919	52152	87746
11	46810	47633	82607
12	41059	42860	76776
13	35593	38108	70779
14	30683	33752	64686
15	26296	29722	58746
16	22305	26025	53257
17	18827	22590	48052
18	15785	19514	43152
19	13255	16813	38676
20	11069	14400	34631
21	9225	12331	30910
22	7681	10436	27562
23	6305	8908	24705
24	5216	7609	22144
25	4275	6384	19703
26	3437	5359	17568
27	2775	4486	15610
28	2246	3730	13876
29	1820	3106	12431
30	1480	2588	11044
31	1187	2130	9816
32	938	1760	8692
33	744	1436	7788
34	604	1176	6893
35	474	977	6147
36	380	796	5438
37	298	636	4863
38	228	514	4323
39	171	417	3865
40	139	317	3417
41	104	244	3017
42	83	193	2654
43	64	157	2354
44	51	121	2090
45	40	88	1830
46	34	66	1633
47	27	52	1424
48	25	45	1250
49	23	35	1097
50	16	25	930
51	13	18	810
52	12	15	717
53	7	11	625
54	5	9	538
55	3	6	459
56	2	4	395
57	2	2	345
58	2	1	299
59	2	1	256
60	2	1	214
61	2	1	180
62	1	1	150
63	0	1	121
64	0	1	102
65	0	1	80
66	0	1	73
67	0	1	62
68	0	1	52
69	0	1	41
70	0	1	36
71	0	1	30
72	0	1	24
73	0	1	20
74	0	1	18
75	0	1	12
76	0	1	9
77	0	1	6
78	0	1	5
79	0	1	4
80	0	1	4
81	0	0	3
82	0	0	2
83	0	0	2
84	0	0	1
85	0	0	0
86	0	0	0
87	0	0	0
88	0	0	0
89	0	0	0
90	0	0	0
91	0	0	0
92	0	0	0
93	0	0	0
94	0	0	0
95	0	0	0
96	0	0	0
97	0	0	0
98	0	0	0
99	0	0	0
100	0	0	0
