meth.diff	IsMale	Is10ppm	IsLHet	IsLHet10ppm	IsMale10ppm	IsMaleLHet
1	24303	85664	35713	97720	85488	115276
2	24303	85664	35713	97720	85488	115276
3	24303	85664	35713	97720	85488	115276
4	24301	85659	35713	97720	85488	115276
5	24291	85643	35699	97720	85488	115276
6	24263	85599	35655	97719	85488	115276
7	24206	85492	35606	97714	85479	115273
8	24126	85360	35527	97679	85458	115252
9	24033	85103	35423	97627	85403	115220
10	23914	84672	35230	97493	85289	115155
11	23718	83907	34782	97242	85022	114986
12	23387	82665	33998	96630	84470	114521
13	22921	80902	32848	95506	83379	113546
14	22309	78673	31374	93823	81806	112012
15	21522	76082	29652	91571	79755	109895
16	20685	73178	27760	88884	77312	107334
17	19736	70114	25802	85716	74478	104282
18	18789	67043	23829	82384	71458	100966
19	17737	63838	21932	78965	68378	97376
20	16729	60665	20035	75249	65030	93465
21	15721	57440	18318	71539	61734	89525
22	14705	54285	16635	67712	58452	85580
23	13797	51266	15065	63930	55202	81431
24	12862	48233	13541	60253	51891	77477
25	11977	45305	12210	56699	48816	73500
26	11111	42545	11015	53264	45752	69596
27	10275	39883	9929	49874	42744	65818
28	9547	37304	8907	46663	39999	62203
29	8844	34912	7975	43531	37355	58657
30	8206	32625	7100	40555	34848	55267
31	7637	30460	6369	37826	32509	51904
32	7074	28400	5757	35286	30318	48866
33	6527	26493	5143	32852	28174	45850
34	6035	24606	4602	30487	26168	42953
35	5550	22940	4118	28305	24244	40289
36	5115	21284	3650	26243	22435	37740
37	4707	19713	3254	24269	20750	35356
38	4319	18291	2907	22443	19188	33045
39	3980	16934	2620	20733	17690	30803
40	3672	15685	2307	19083	16290	28818
41	3359	14470	2028	17506	15014	26889
42	3089	13293	1794	16079	13872	25065
43	2827	12209	1598	14739	12704	23329
44	2572	11223	1445	13469	11611	21657
45	2352	10216	1284	12313	10574	20124
46	2161	9316	1155	11254	9703	18688
47	1970	8443	1039	10222	8818	17291
48	1800	7652	943	9310	7960	15989
49	1643	6894	833	8368	7225	14790
50	1459	6240	736	7539	6487	13656
51	1339	5587	651	6822	5805	12603
52	1202	4994	575	6134	5181	11522
53	1104	4437	526	5522	4614	10546
54	1012	3962	471	4915	4077	9654
55	936	3478	412	4334	3607	8806
56	860	3025	363	3836	3169	7994
57	790	2610	326	3389	2764	7275
58	713	2261	293	2937	2439	6581
59	651	1940	256	2573	2165	5958
60	585	1665	224	2266	1860	5362
61	535	1434	194	1973	1617	4822
62	471	1215	168	1687	1412	4320
63	430	1037	148	1463	1177	3841
64	393	891	128	1216	1013	3382
65	360	755	111	1053	852	2981
66	323	637	96	919	712	2622
67	282	533	85	785	572	2296
68	251	444	70	672	469	2000
69	216	366	62	564	393	1704
70	181	304	57	464	324	1454
71	154	249	47	398	261	1270
72	131	206	38	318	211	1086
73	115	165	30	258	165	916
74	98	137	28	206	129	766
75	77	105	24	172	107	641
76	68	85	21	141	85	514
77	52	66	19	110	69	407
78	42	51	18	92	56	326
79	28	43	13	74	41	264
80	21	34	10	61	32	207
81	18	29	9	49	23	157
82	14	22	7	41	16	121
83	11	17	4	36	13	95
84	9	14	4	27	8	68
85	5	14	2	20	7	49
86	4	9	2	14	5	34
87	3	7	2	13	4	21
88	1	6	1	9	2	16
89	1	4	1	4	2	14
90	1	3	1	3	0	6
91	0	1	0	3	0	2
92	0	0	0	3	0	1
93	0	0	0	2	0	1
94	0	0	0	1	0	1
95	0	0	0	1	0	1
96	0	0	0	1	0	1
97	0	0	0	1	0	1
98	0	0	0	1	0	1
99	0	0	0	1	0	1
100	0	0	0	1	0	1
