meth.diff	IsMale	Is10ppm	IsLHet	IsLHet10ppm	IsMale10ppm	IsMaleLHet
1	223	587	257	387	383	520
2	223	587	257	387	383	520
3	223	587	257	387	383	520
4	223	587	257	387	383	520
5	223	587	257	387	383	520
6	223	587	257	387	383	520
7	223	587	257	387	383	520
8	223	587	257	387	383	520
9	223	587	257	387	383	520
10	223	587	257	387	383	520
11	223	587	256	387	383	520
12	223	587	256	387	383	520
13	222	585	255	387	383	520
14	222	584	252	382	381	519
15	222	582	247	381	377	516
16	221	580	241	380	377	516
17	219	575	233	380	371	513
18	215	573	223	378	363	508
19	215	571	215	376	360	505
20	213	564	203	371	356	501
21	207	556	190	365	351	494
22	205	548	181	361	339	490
23	201	540	172	352	328	479
24	198	532	162	349	317	472
25	196	526	155	338	307	467
26	194	519	150	326	294	457
27	189	517	144	323	280	449
28	184	507	131	316	269	445
29	182	500	123	299	262	439
30	175	490	109	288	253	430
31	172	483	98	278	241	423
32	166	477	92	270	236	408
33	163	471	83	261	225	403
34	162	462	75	251	220	395
35	160	455	70	244	216	386
36	160	450	60	232	206	371
37	153	440	55	219	196	357
38	152	434	55	207	187	350
39	150	427	51	203	171	340
40	149	422	46	197	160	327
41	147	417	42	187	147	322
42	145	410	39	176	136	316
43	142	403	37	171	128	310
44	141	397	36	161	116	303
45	139	395	31	159	109	294
46	135	387	30	151	100	286
47	134	381	28	148	97	281
48	131	375	25	143	91	276
49	124	369	23	135	89	268
50	119	360	23	130	83	261
51	115	356	21	120	76	249
52	112	352	20	114	70	237
53	110	345	17	107	68	230
54	107	335	17	102	60	222
55	104	324	15	98	57	214
56	103	311	14	92	53	209
57	100	302	13	82	47	200
58	98	291	12	78	44	191
59	93	276	12	74	42	182
60	90	264	11	71	38	173
61	85	242	11	67	34	164
62	79	224	10	56	31	157
63	74	203	10	53	29	147
64	72	189	10	50	28	138
65	70	175	10	48	26	132
66	67	156	8	45	22	126
67	63	134	8	39	18	117
68	60	118	6	35	15	99
69	53	105	6	30	15	92
70	48	95	6	27	14	81
71	44	84	5	27	12	70
72	39	71	5	23	12	62
73	34	59	4	23	8	54
74	31	53	4	21	7	51
75	25	40	4	19	6	46
76	24	33	4	15	6	36
77	13	24	4	13	6	28
78	11	17	3	12	6	23
79	8	11	2	12	5	20
80	6	9	2	8	5	14
81	4	6	1	6	5	14
82	3	4	0	6	5	12
83	3	4	0	5	4	11
84	3	4	0	4	2	7
85	1	4	0	4	1	7
86	1	4	0	3	0	5
87	1	4	0	3	0	5
88	1	4	0	2	0	4
89	1	3	0	2	0	3
90	1	2	0	2	0	2
91	0	1	0	2	0	1
92	0	0	0	2	0	1
93	0	0	0	2	0	1
94	0	0	0	1	0	1
95	0	0	0	1	0	1
96	0	0	0	1	0	1
97	0	0	0	1	0	1
98	0	0	0	1	0	1
99	0	0	0	1	0	1
100	0	0	0	1	0	1
