meth.diff	IsMale	Is10ppm	IsLHet	IsLHet10ppm	IsMale10ppm	IsMaleLHet
1	510	1191	520	1120	920	1480
2	510	1191	520	1120	920	1480
3	510	1191	520	1120	920	1480
4	510	1191	520	1120	920	1480
5	510	1191	520	1120	920	1480
6	510	1191	520	1120	920	1480
7	510	1191	520	1120	920	1480
8	510	1191	520	1120	920	1480
9	510	1191	520	1120	920	1480
10	510	1191	520	1120	920	1479
11	510	1187	516	1119	919	1479
12	510	1183	510	1115	918	1478
13	510	1181	503	1112	915	1476
14	507	1162	494	1103	912	1469
15	502	1146	474	1097	898	1461
16	495	1127	450	1090	888	1449
17	486	1104	428	1070	872	1436
18	475	1081	406	1053	858	1422
19	459	1054	380	1028	848	1409
20	443	1022	357	1005	821	1378
21	427	994	330	977	800	1355
22	400	966	310	946	775	1331
23	381	932	291	909	746	1299
24	356	901	274	868	722	1272
25	336	871	253	837	695	1241
26	320	832	233	802	667	1215
27	305	805	216	761	642	1177
28	292	770	194	718	623	1147
29	281	744	175	678	594	1116
30	265	709	160	647	572	1078
31	253	672	144	612	548	1038
32	237	654	138	580	523	1009
33	223	622	126	551	493	969
34	211	607	112	529	472	933
35	201	587	101	504	441	907
36	189	565	93	468	413	874
37	173	554	89	444	396	829
38	162	542	82	419	373	797
39	147	530	75	394	350	768
40	141	505	68	371	325	729
41	135	487	65	347	306	693
42	131	475	62	326	291	657
43	125	464	58	307	275	626
44	113	451	55	296	259	600
45	103	438	49	275	247	568
46	98	420	46	255	235	540
47	92	412	45	242	217	511
48	87	397	41	234	200	479
49	78	385	39	221	186	452
50	76	372	38	198	176	424
51	72	367	37	180	157	400
52	67	357	34	166	146	364
53	65	340	31	154	131	338
54	61	329	28	141	122	313
55	60	313	26	125	114	294
56	59	304	23	115	102	273
57	55	293	22	101	95	257
58	51	285	21	91	88	245
59	50	270	20	87	80	230
60	45	258	19	83	67	211
61	42	241	18	70	60	200
62	37	224	18	59	56	190
63	36	204	18	53	49	183
64	35	187	17	49	45	173
65	32	175	16	44	40	168
66	29	161	14	36	37	153
67	28	145	14	33	32	138
68	25	129	14	29	30	123
69	23	114	13	26	27	113
70	21	103	12	21	24	100
71	20	92	11	21	19	86
72	17	75	10	17	17	80
73	17	64	9	14	15	67
74	17	55	9	14	11	60
75	17	39	9	12	11	51
76	17	31	8	10	10	40
77	14	24	8	9	8	32
78	13	17	7	9	8	26
79	9	13	4	9	7	20
80	9	12	4	7	5	16
81	8	9	4	5	4	13
82	7	5	3	5	3	12
83	7	5	3	5	3	11
84	7	4	3	4	3	8
85	4	4	2	4	2	8
86	3	4	2	4	2	6
87	3	3	2	3	2	6
88	1	2	1	2	1	6
89	1	1	1	2	1	5
90	1	1	1	2	0	2
91	0	0	0	2	0	1
92	0	0	0	2	0	1
93	0	0	0	1	0	1
94	0	0	0	1	0	1
95	0	0	0	1	0	1
96	0	0	0	1	0	1
97	0	0	0	1	0	1
98	0	0	0	1	0	1
99	0	0	0	1	0	1
100	0	0	0	1	0	1
