meth.diff	IsMale	Is10ppm	IsLHet	IsLHet10ppm	IsMale10ppm	IsMaleLHet
1	155	675	199	590	366	648
2	155	675	199	590	366	648
3	155	675	199	590	366	648
4	155	675	199	590	366	648
5	155	675	199	590	366	648
6	155	675	199	590	366	648
7	155	675	199	590	366	648
8	155	675	199	590	366	648
9	155	675	199	590	366	648
10	155	674	199	590	366	648
11	155	674	199	590	365	648
12	155	674	199	590	365	648
13	154	674	198	590	365	647
14	154	672	192	586	364	644
15	154	670	185	586	362	638
16	153	669	182	585	360	636
17	149	667	175	583	355	636
18	149	664	171	574	345	631
19	145	653	166	567	340	625
20	143	650	156	558	332	614
21	141	644	150	553	327	602
22	135	635	145	543	322	592
23	129	624	140	533	309	577
24	126	614	126	521	293	560
25	123	605	116	509	288	553
26	121	594	105	495	275	538
27	116	585	98	487	258	520
28	115	576	90	470	244	511
29	112	560	88	450	238	501
30	106	546	83	437	229	488
31	104	534	78	432	221	472
32	100	525	75	414	210	456
33	97	512	71	399	202	441
34	93	505	68	386	188	432
35	90	493	64	369	181	418
36	84	481	56	357	169	402
37	78	474	53	340	165	388
38	75	463	49	321	156	377
39	74	456	46	309	148	360
40	73	445	41	300	137	350
41	72	438	39	285	132	334
42	71	430	35	271	123	324
43	69	422	32	255	116	315
44	64	411	30	244	109	305
45	63	400	29	237	99	289
46	63	393	28	227	88	281
47	62	385	25	219	84	271
48	61	380	21	214	79	260
49	57	372	19	201	75	249
50	55	362	18	184	67	236
51	51	359	17	171	59	224
52	51	351	15	161	57	209
53	51	345	14	150	53	201
54	49	336	14	148	52	192
55	47	328	13	136	51	190
56	45	318	13	128	50	181
57	41	311	12	119	46	176
58	38	297	11	113	43	168
59	36	283	10	110	40	161
60	34	274	8	106	36	152
61	31	258	7	101	34	145
62	30	241	6	88	34	140
63	27	221	6	78	30	130
64	27	208	5	74	28	125
65	26	193	5	67	24	122
66	24	178	5	61	21	114
67	24	157	5	55	19	106
68	21	139	5	50	17	93
69	20	126	5	50	16	87
70	18	113	5	45	15	79
71	14	99	5	45	14	69
72	12	82	5	38	13	63
73	11	68	5	35	11	51
74	10	62	5	32	10	48
75	10	48	5	28	9	41
76	9	40	4	25	8	35
77	8	31	4	22	7	27
78	7	22	4	21	7	22
79	4	18	3	17	6	19
80	4	16	3	16	5	13
81	3	13	3	15	4	11
82	2	11	3	14	4	10
83	2	11	3	13	3	9
84	2	10	3	10	3	5
85	1	10	2	10	2	4
86	1	7	2	8	2	3
87	1	5	2	7	2	3
88	0	4	1	6	1	3
89	0	3	1	4	1	3
90	0	2	1	3	0	2
91	0	1	0	3	0	1
92	0	0	0	3	0	1
93	0	0	0	2	0	1
94	0	0	0	1	0	1
95	0	0	0	1	0	1
96	0	0	0	1	0	1
97	0	0	0	1	0	1
98	0	0	0	1	0	1
99	0	0	0	1	0	1
100	0	0	0	1	0	1
