meth.diff	Is10ppm	IsLHet	IsLHet10ppm
1	95564	50629	111776
2	95560	50627	111776
3	95192	50385	111776
4	94061	49706	111776
5	92392	48904	111746
6	90315	47916	111565
7	87763	46581	111009
8	84479	44758	109861
9	80239	42076	107897
10	75247	38611	105093
11	69838	34747	101155
12	64290	30865	96339
13	58827	26937	90875
14	53702	23455	85183
15	48846	20208	79280
16	44230	17295	73669
17	40018	14807	67979
18	36188	12535	62622
19	32721	10657	57551
20	29574	8965	52756
21	26686	7575	48325
22	23959	6357	44304
23	21582	5370	40438
24	19355	4451	36806
25	17351	3729	33493
26	15613	3097	30462
27	14048	2594	27688
28	12603	2197	25195
29	11434	1824	22846
30	10256	1549	20715
31	9095	1288	18694
32	8175	1071	16961
33	7290	891	15350
34	6523	744	13829
35	5831	610	12455
36	5203	513	11225
37	4603	419	10201
38	4087	337	9222
39	3603	273	8317
40	3170	229	7504
41	2835	183	6725
42	2508	154	6053
43	2202	136	5432
44	1917	118	4890
45	1664	108	4338
46	1474	87	3884
47	1282	73	3480
48	1130	60	3107
49	1003	53	2740
50	872	44	2469
51	755	37	2234
52	652	33	1987
53	561	28	1781
54	468	25	1590
55	395	18	1405
56	341	14	1248
57	297	13	1103
58	247	11	963
59	201	8	820
60	157	7	721
61	124	6	625
62	105	6	537
63	81	6	443
64	64	6	383
65	52	6	325
66	41	5	270
67	30	4	221
68	19	2	189
69	14	2	159
70	12	1	125
71	9	1	104
72	4	1	82
73	3	0	66
74	2	0	45
75	2	0	35
76	1	0	25
77	0	0	19
78	0	0	12
79	0	0	10
80	0	0	8
81	0	0	3
82	0	0	2
83	0	0	1
84	0	0	1
85	0	0	1
86	0	0	1
87	0	0	0
88	0	0	0
89	0	0	0
90	0	0	0
91	0	0	0
92	0	0	0
93	0	0	0
94	0	0	0
95	0	0	0
96	0	0	0
97	0	0	0
98	0	0	0
99	0	0	0
100	0	0	0
