meth.diff	Is10ppm	IsLHet	IsLHet10ppm
1	650	342	457
2	650	342	457
3	650	342	457
4	650	342	457
5	650	342	457
6	650	342	456
7	647	342	456
8	642	339	456
9	638	335	456
10	631	330	456
11	615	322	453
12	588	307	450
13	564	292	446
14	544	271	444
15	517	248	439
16	495	223	432
17	461	206	425
18	436	190	415
19	411	167	407
20	388	148	391
21	362	134	384
22	343	122	371
23	325	109	358
24	298	93	345
25	284	83	328
26	266	77	308
27	256	66	295
28	233	60	284
29	215	56	279
30	200	51	263
31	191	47	252
32	180	42	238
33	169	36	227
34	155	30	219
35	140	22	208
36	129	19	201
37	112	17	199
38	104	13	193
39	95	11	183
40	91	8	176
41	87	8	167
42	82	5	163
43	75	5	153
44	68	5	149
45	62	5	142
46	58	4	131
47	48	4	128
48	43	3	123
49	39	3	116
50	38	2	112
51	34	1	111
52	29	1	105
53	26	1	95
54	21	1	88
55	18	0	82
56	16	0	74
57	14	0	68
58	12	0	63
59	9	0	58
60	9	0	56
61	7	0	49
62	5	0	42
63	5	0	35
64	4	0	27
65	4	0	21
66	4	0	16
67	4	0	14
68	4	0	13
69	4	0	11
70	3	0	8
71	2	0	7
72	2	0	4
73	1	0	3
74	0	0	3
75	0	0	3
76	0	0	3
77	0	0	3
78	0	0	3
79	0	0	3
80	0	0	3
81	0	0	1
82	0	0	1
83	0	0	1
84	0	0	1
85	0	0	1
86	0	0	1
87	0	0	0
88	0	0	0
89	0	0	0
90	0	0	0
91	0	0	0
92	0	0	0
93	0	0	0
94	0	0	0
95	0	0	0
96	0	0	0
97	0	0	0
98	0	0	0
99	0	0	0
100	0	0	0
