meth.diff	Is10ppm	IsLHet	IsLHet10ppm
1	1139	559	1360
2	1139	559	1360
3	1139	559	1360
4	1139	559	1360
5	1139	559	1360
6	1139	559	1359
7	1133	554	1358
8	1125	548	1358
9	1112	532	1352
10	1092	510	1346
11	1049	483	1326
12	1008	443	1308
13	954	413	1284
14	895	376	1246
15	839	344	1214
16	802	310	1171
17	750	283	1111
18	698	257	1074
19	649	229	1035
20	603	201	982
21	563	176	933
22	525	154	887
23	484	142	840
24	448	123	796
25	418	110	766
26	388	95	710
27	363	83	664
28	318	76	619
29	285	65	586
30	264	60	540
31	238	57	511
32	217	53	467
33	196	47	433
34	181	41	408
35	159	35	380
36	143	31	356
37	129	29	331
38	115	26	307
39	105	24	284
40	96	22	264
41	91	19	236
42	86	16	215
43	77	14	193
44	70	13	178
45	62	11	157
46	57	8	144
47	50	7	135
48	44	6	124
49	36	6	109
50	34	5	102
51	32	3	96
52	25	2	87
53	23	2	81
54	19	2	73
55	18	1	67
56	15	1	59
57	15	1	50
58	14	0	43
59	11	0	34
60	10	0	28
61	9	0	26
62	6	0	23
63	6	0	19
64	6	0	15
65	5	0	14
66	5	0	11
67	5	0	8
68	4	0	5
69	3	0	4
70	3	0	3
71	2	0	3
72	2	0	3
73	1	0	3
74	1	0	3
75	1	0	3
76	0	0	3
77	0	0	3
78	0	0	1
79	0	0	1
80	0	0	1
81	0	0	0
82	0	0	0
83	0	0	0
84	0	0	0
85	0	0	0
86	0	0	0
87	0	0	0
88	0	0	0
89	0	0	0
90	0	0	0
91	0	0	0
92	0	0	0
93	0	0	0
94	0	0	0
95	0	0	0
96	0	0	0
97	0	0	0
98	0	0	0
99	0	0	0
100	0	0	0
