meth.diff	Is10ppm	IsLHet	IsLHet10ppm
1	659	278	681
2	659	278	681
3	659	278	681
4	659	278	681
5	659	278	681
6	659	278	680
7	656	275	680
8	651	273	679
9	646	267	679
10	642	260	678
11	627	248	674
12	611	243	665
13	591	229	657
14	573	222	644
15	542	209	633
16	523	185	621
17	497	170	602
18	472	152	583
19	451	144	569
20	425	127	552
21	402	114	536
22	382	104	513
23	362	97	496
24	334	88	480
25	318	76	458
26	301	68	437
27	284	61	414
28	257	55	396
29	233	50	379
30	221	46	365
31	214	40	349
32	200	35	324
33	184	33	311
34	177	23	298
35	160	18	281
36	149	16	263
37	137	15	254
38	129	12	237
39	119	12	227
40	117	11	212
41	113	10	194
42	105	9	189
43	96	9	173
44	86	9	162
45	80	9	145
46	72	6	136
47	59	6	131
48	53	5	124
49	46	5	113
50	42	5	103
51	39	5	98
52	36	4	86
53	33	3	79
54	28	3	73
55	26	1	67
56	22	1	60
57	22	1	53
58	20	0	48
59	17	0	42
60	17	0	38
61	14	0	35
62	11	0	30
63	9	0	25
64	7	0	24
65	6	0	21
66	6	0	18
67	6	0	16
68	6	0	16
69	5	0	14
70	4	0	12
71	3	0	12
72	3	0	10
73	2	0	8
74	1	0	7
75	1	0	7
76	0	0	5
77	0	0	4
78	0	0	2
79	0	0	2
80	0	0	2
81	0	0	1
82	0	0	1
83	0	0	1
84	0	0	1
85	0	0	1
86	0	0	1
87	0	0	0
88	0	0	0
89	0	0	0
90	0	0	0
91	0	0	0
92	0	0	0
93	0	0	0
94	0	0	0
95	0	0	0
96	0	0	0
97	0	0	0
98	0	0	0
99	0	0	0
100	0	0	0
