	meth.diff	IsMale	Is10ppm	IsCdHet	IsCdHet10ppm	IsMale10ppm	IsMaleCdHet
1	1	134165	90066	100717	77191	69254	48398
2	2	134165	90066	100717	77191	69254	48398
3	3	134143	90064	100717	77191	69254	48398
4	4	133930	90046	100707	77191	69254	48398
5	5	133392	89975	100667	77190	69254	48398
6	6	132683	89813	100601	77185	69253	48396
7	7	131886	89576	100470	77162	69245	48386
8	8	130977	89188	100290	77102	69234	48350
9	9	129861	88520	100030	76934	69166	48283
10	10	128290	87281	99659	76636	69028	48108
11	11	125913	85241	99076	76097	68663	47753
12	12	122876	82485	97991	75125	67972	47148
13	13	119115	79211	96318	73603	66687	46226
14	14	114796	75377	93856	71600	64897	44968
15	15	109822	71253	90902	68982	62614	43534
16	16	104915	66787	87395	65962	59998	41854
17	17	99545	62419	83277	62682	57113	40020
18	18	94123	58045	79047	59212	54048	38242
19	19	88649	53753	74581	55607	50880	36354
20	20	83148	49392	69952	51956	47684	34453
21	21	77571	45270	65220	48288	44424	32522
22	22	72212	41453	60426	44639	41440	30718
23	23	67030	37877	55847	41158	38465	28941
24	24	62049	34527	51404	37830	35601	27126
25	25	57153	31318	47112	34601	32866	25421
26	26	52505	28332	42878	31602	30305	23772
27	27	47984	25621	38955	28733	27741	22256
28	28	43691	23023	35292	26088	25438	20745
29	29	39748	20740	31837	23610	23233	19295
30	30	36025	18609	28604	21409	21125	17895
31	31	32541	16594	25577	19309	19227	16501
32	32	29299	14819	22704	17355	17379	15244
33	33	26269	13116	20207	15523	15738	14053
34	34	23420	11595	17861	13827	14213	12884
35	35	20823	10273	15729	12320	12797	11836
36	36	18489	9019	13828	10980	11449	10873
37	37	16251	7957	12051	9666	10269	9961
38	38	14368	7032	10563	8580	9207	9116
39	39	12606	6139	9164	7601	8153	8320
40	40	11012	5406	7944	6651	7245	7547
41	41	9578	4799	6922	5903	6440	6785
42	42	8253	4202	5970	5176	5717	6133
43	43	7113	3670	5114	4501	5009	5535
44	44	6071	3206	4344	3914	4390	4999
45	45	5188	2789	3709	3386	3888	4481
46	46	4413	2417	3111	2909	3410	3992
47	47	3721	2098	2625	2476	3011	3534
48	48	3122	1792	2220	2111	2585	3142
49	49	2599	1557	1829	1781	2222	2791
50	50	2159	1354	1541	1518	1912	2451
51	51	1798	1186	1293	1274	1621	2136
52	52	1475	1038	1043	1071	1400	1851
53	53	1220	889	865	899	1195	1606
54	54	999	782	705	744	1019	1377
55	55	807	685	564	612	853	1194
56	56	653	592	464	499	734	1031
57	57	514	526	375	425	626	860
58	58	422	453	320	355	540	731
59	59	345	391	273	294	461	610
60	60	270	345	219	239	399	530
61	61	213	306	175	199	340	444
62	62	168	263	141	168	279	368
63	63	134	211	119	139	238	309
64	64	111	182	100	120	192	264
65	65	86	151	79	89	156	226
66	66	68	127	60	76	124	180
67	67	58	102	49	64	106	162
68	68	53	84	44	60	85	141
69	69	50	66	40	55	71	111
70	70	40	55	34	46	59	87
71	71	38	46	30	41	48	72
72	72	36	39	27	39	43	58
73	73	33	34	25	34	33	51
74	74	28	30	22	28	30	43
75	75	23	26	20	26	28	36
76	76	21	22	18	21	22	32
77	77	20	21	18	21	21	26
78	78	20	20	18	19	16	22
79	79	18	20	15	18	11	21
80	80	18	20	14	18	9	20
81	81	18	19	14	16	7	20
82	82	17	19	13	16	7	19
83	83	16	19	13	15	6	18
84	84	15	19	13	15	6	16
85	85	15	19	13	15	6	16
86	86	15	19	13	15	6	16
87	87	15	19	13	15	6	15
88	88	15	19	13	15	6	15
89	89	15	19	13	15	6	15
90	90	15	19	13	14	6	15
91	91	15	19	13	14	6	15
92	92	15	19	13	14	6	15
93	93	15	19	13	14	6	15
94	94	15	19	13	14	6	15
95	95	15	19	13	14	6	15
96	96	15	19	13	14	6	15
97	97	15	19	13	14	6	15
98	98	15	19	13	14	6	15
99	99	15	19	13	14	6	15
100	100	15	19	13	14	6	15
