Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of T-helper 2 cell differentiation (GO:0045628)	3/9	0.0000392424981349562249674338409999307941689039580523967742919921875	0.0673793692977198432902952163203735835850238800048828125	0.000068820904640638951087032448850067112289252690970897674560546875	0.11285253254051197391305549899698235094547271728515625	-2.618708279308992	7.063746663157335	HLX;TNFSF4;RARA
regulation of synapse maturation (GO:0090128)	3/12	0.000101000272893935234418301416514651691613835282623767852783203125	0.0867087342794433946213672470548772253096103668212890625	0.00014018809605641151618850293036899756771163083612918853759765625	0.11285253254051197391305549899698235094547271728515625	-2.574924521519975	6.296207136558545	NRXN1;DAB2IP;DISC1
positive regulation of T-helper cell differentiation (GO:0045624)	3/16	0.0002511870119684647315559666846951358820660971105098724365234375	0.1437626998499512975815406434776377864181995391845703125	0.0002925736408075372608529607365568381283082999289035797119140625	0.11285253254051197391305549899698235094547271728515625	-2.7393839422364206	5.313285142352136	HLX;TNFSF4;RARA
regulation of type 2 immune response (GO:0002828)	3/23	0.000762788104484089595457019239432838730863295495510101318359375	0.186021068787004251188221815027645789086818695068359375	0.0007577570933778306032368998756965083885006606578826904296875	0.11285253254051197391305549899698235094547271728515625	-2.901539796734286	4.880086258992598	HLX;TNFSF4;RARA
regulation of T-helper cell differentiation (GO:0045622)	3/22	0.000667146204312573883922488082731661052093841135501861572265625	0.186021068787004251188221815027645789086818695068359375	0.000673714805873457003686233246497749860282056033611297607421875	0.11285253254051197391305549899698235094547271728515625	-2.820720512256893	4.74415668115822	HLX;TNFSF4;RARA
positive regulation of CD4-positive, alpha-beta T cell activation (GO:2000516)	3/24	0.000866726004831703026286271462907961904420517385005950927734375	0.186021068787004251188221815027645789086818695068359375	0.000848186958137547180637538790648477515787817537784576416015625	0.11285253254051197391305549899698235094547271728515625	-2.639802424710549	4.439871393039186	HLX;TNFSF4;RARA
positive regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043372)	3/21	0.000579519164951099023143366029131584582501091063022613525390625	0.186021068787004251188221815027645789086818695068359375	0.000595869294622373003693371895650443548220209777355194091796875	0.11285253254051197391305549899698235094547271728515625	-2.625279352686501	4.415445105899273	HLX;TNFSF4;RARA
regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043370)	3/28	0.001370781647235309354260213154930170276202261447906494140625	0.2064206149177280347206675514826201833784580230712890625	0.001277433123549988509826125238078020629473030567169189453125	0.11285253254051197391305549899698235094547271728515625	-2.644458907422153	4.172531381462368	HLX;TNFSF4;RARA
regulation of CD4-positive, alpha-beta T cell activation (GO:2000514)	3/32	0.00202802786339189612674349660892403335310518741607666015625	0.2174305776579789351021787524587125517427921295166015625	0.001822935822149732328079085874605880235321819782257080078125	0.11285253254051197391305549899698235094547271728515625	-2.5784907534476136	3.93445628688591	HLX;TNFSF4;RARA
positive regulation of response to wounding (GO:1903036)	6/130	0.00058884199151028912382066504704880571807734668254852294921875	0.186021068787004251188221815027645789086818695068359375	0.000370990062939506658017119189452159844222478568553924560546875	0.11285253254051197391305549899698235094547271728515625	-2.2710580297699234	3.819681914040605	TNFSF4;PRKCE;ALOX5AP;THBS1;CX3CL1;MYLK
