Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of GTPase activity (GO:0043547)	6/482	0.0002001649581676729337288700438790556290769018232822418212890625	0.04675908217356493368210834660203545354306697845458984375	0.00015662647301489262294076076909021821848000399768352508544921875	0.0365876737454164102647524714484461583197116851806640625	-2.407221070461401	7.372708560694975	OPHN1;TBXA2R;FFAR1;RIN1;ARHGAP36;FGD1
positive regulation of GTP catabolic process (GO:0033126)	6/483	0.000202420269149631757397977960266644004150293767452239990234375	0.04675908217356493368210834660203545354306697845458984375	0.0001583881980321056627547537942746203043498098850250244140625	0.0365876737454164102647524714484461583197116851806640625	-2.4064689701716335	7.370405067961004	OPHN1;TBXA2R;FFAR1;RIN1;ARHGAP36;FGD1
Fc-epsilon receptor signaling pathway (GO:0038095)	3/295	0.0158384608424073265731113480114800040610134601593017578125	0.252696579960527134556258488373714499175548553466796875	0.0147080938496429759754224875223371782340109348297119140625	0.23524519478553418405653019362944178283214569091796875	-3.853869949903745	5.301251695611064	KLB;NR4A1;PAK1
Fc receptor signaling pathway (GO:0038093)	3/352	0.0251427496267141066532690985013687168247997760772705078125	0.252696579960527134556258488373714499175548553466796875	0.0233313576450440984810796862802817486226558685302734375	0.23524519478553418405653019362944178283214569091796875	-3.6464069921298896	5.0158727464063535	KLB;NR4A1;PAK1
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	3/444	0.045206191802439350813092033831708249635994434356689453125	0.252696579960527134556258488373714499175548553466796875	0.042003374941775147022315906042422284372150897979736328125	0.23524519478553418405653019362944178283214569091796875	-3.341623550453797	4.596623068035677	KLB;NR4A1;PAK1
actin cytoskeleton organization (GO:0030036)	4/253	0.0010715125593027392640610440111004209029488265514373779296875	0.1650129341326218301855277559297974221408367156982421875	0.000960268494090472436199024119929390508332289755344390869140625	0.147881348089932751488362328018411062657833099365234375	-2.3236359658586885	4.186567927100982	PAK1;OPHN1;FGD1;CORO1C
cell migration involved in sprouting angiogenesis (GO:0002042)	1/15	0.026671658330488713650741061655935482122004032135009765625	0.252696579960527134556258488373714499175548553466796875	0.02764353525061506722249049516904051415622234344482421875	0.23524519478553418405653019362944178283214569091796875	-2.653162156233117	3.6495991204407945	NR4A1
negative regulation of alpha-beta T cell differentiation (GO:0046639)	1/11	0.0196276221346205377582538886827023816294968128204345703125	0.252696579960527134556258488373714499175548553466796875	0.0208022440141146271186389782315018237568438053131103515625	0.23524519478553418405653019362944178283214569091796875	-2.4573823414216465	3.380291103116118	HLX
olfactory bulb development (GO:0021772)	1/18	0.0319223693130571695153463451788411475718021392822265625	0.252696579960527134556258488373714499175548553466796875	0.032744366618085586628783545393162057735025882720947265625	0.23524519478553418405653019362944178283214569091796875	-2.4471771067172385	3.3662531312893305	RPGRIP1L
regulation of type 2 immune response (GO:0002828)	1/23	0.040612417487571043916982915789049002341926097869873046875	0.252696579960527134556258488373714499175548553466796875	0.041188717427630729128740227906746440567076206207275390625	0.23524519478553418405653019362944178283214569091796875	-2.4329681525411715	3.3467077798898583	HLX
endocytosis (GO:0006897)	4/323	0.002616959580893893182185205859013876761309802532196044921875	0.2418070652745957505036500378992059268057346343994140625	0.0023291721557767920865178457034971870598383247852325439453125	0.2152155071937755792532698251307010650634765625	-2.346451774425768	3.3310584213859764	OPHN1;LRP2;RIN1;CORO1C
