Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Fc receptor signaling pathway (GO:0038093)	3/352	0.110409966538258685897488931004772894084453582763671875	0.328130655746349753076884780966793186962604522705078125	0.07637333733473605779096260448568500578403472900390625	0.2270347331691300596379079479447682388126850128173828125	-2.8121577600583265	3.133709465620508	KLB;PAK1;PRKCE
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis (GO:0002433)	2/203	0.1446354788927014800581360987052903510630130767822265625	0.34047973544741350071518581898999400436878204345703125	0.11197084738646310986265319797894335351884365081787109375	0.242737103831967726552676367646199651062488555908203125	-2.698757432587405	2.9076403653045433	PAK1;PRKCE
Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	2/203	0.1446354788927014800581360987052903510630130767822265625	0.34047973544741350071518581898999400436878204345703125	0.11197084738646310986265319797894335351884365081787109375	0.242737103831967726552676367646199651062488555908203125	-2.695779319133018	2.904431746853744	PAK1;PRKCE
Fc-gamma receptor signaling pathway (GO:0038094)	2/203	0.1446354788927014800581360987052903510630130767822265625	0.34047973544741350071518581898999400436878204345703125	0.11197084738646310986265319797894335351884365081787109375	0.242737103831967726552676367646199651062488555908203125	-2.6921467070458176	2.9005179717924143	PAK1;PRKCE
regulation of synapse maturation (GO:0090128)	2/12	0.00069294185997961625124441642498140936368145048618316650390625	0.32647695411365862394603709617513231933116912841796875	0.0006792826788167803664375554717480554245412349700927734375	0.2133971172813294014947160803785664029419422149658203125	-2.5895203098118653	2.898698462830622	DAB2IP;DISC1
Fc receptor mediated stimulatory signaling pathway (GO:0002431)	2/204	0.1457712315061027441576158025782206095755100250244140625	0.341308447961869598774597989176982082426548004150390625	0.11287572993453098835203718408592976629734039306640625	0.242737103831967726552676367646199651062488555908203125	-2.6794984336244996	2.8803768703282833	PAK1;PRKCE
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	2/35	0.00594893736995716869431216622388092218898236751556396484375	0.32647695411365862394603709617513231933116912841796875	0.00477357909903267964291107006147285574115812778472900390625	0.2133971172813294014947160803785664029419422149658203125	-2.5374332784013296	2.8403924525201254	DAB2IP;DEDD2
neurogenesis (GO:0022008)	2/39	0.007346155490287047985786816894915318698622286319732666015625	0.32647695411365862394603709617513231933116912841796875	0.005836107027196431838722556761922533041797578334808349609375	0.2133971172813294014947160803785664029419422149658203125	-2.4914387897898784	2.788906409745516	SPOCK1;EPHB1
positive regulation of cellular component movement (GO:0051272)	4/296	0.0165324331233815714770063465266503044404089450836181640625	0.32647695411365862394603709617513231933116912841796875	0.00957320779486779682709851613253704272210597991943359375	0.2133971172813294014947160803785664029419422149658203125	-2.4495440621257494	2.742009622637659	INSR;PRKCE;DAB2IP;MYLK
positive regulation of cellular component biogenesis (GO:0044089)	4/249	0.0092470163711060905653571495577125460840761661529541015625	0.32647695411365862394603709617513231933116912841796875	0.005299079441127274407719038862296656589023768901824951171875	0.2133971172813294014947160803785664029419422149658203125	-2.445644290774761	2.737644234508565	PAK1;PRKCE;CDC42EP4;EPHB1
positive regulation of cell migration (GO:0030335)	4/280	0.01374659916784926570743063933832672773860394954681396484375	0.32647695411365862394603709617513231933116912841796875	0.007929095725574424047277233285058173350989818572998046875	0.2133971172813294014947160803785664029419422149658203125	-2.443287485939658	2.7350060367980396	INSR;PRKCE;DAB2IP;MYLK
positive regulation of MAPK cascade (GO:0043410)	5/395	0.00977568133626896020038632428850178257562220096588134765625	0.32647695411365862394603709617513231933116912841796875	0.004904683456970850008449502865914837457239627838134765625	0.2133971172813294014947160803785664029419422149658203125	-2.434957013301748	2.7256809397371415	KLB;PAK1;PRKCE;INSR;DAB2IP
positive regulation of cell motility (GO:2000147)	4/287	0.01492529121822465214275421629963602754287421703338623046875	0.32647695411365862394603709617513231933116912841796875	0.0086233293197180739542151428622673847712576389312744140625	0.2133971172813294014947160803785664029419422149658203125	-2.434741965458141	2.7254402160589617	INSR;PRKCE;DAB2IP;MYLK
positive regulation of locomotion (GO:0040017)	4/304	0.0180491338696189551615844948173617012798786163330078125	0.32647695411365862394603709617513231933116912841796875	0.01047299179519339297483870865335120470263063907623291015625	0.2133971172813294014947160803785664029419422149658203125	-2.4150642697831497	2.7034130838565154	INSR;PRKCE;DAB2IP;MYLK
cell part morphogenesis (GO:0032990)	4/248	0.00912069998717868722637458489543860196135938167572021484375	0.32647695411365862394603709617513231933116912841796875	0.005225738149436972949934965271268083597533404827117919921875	0.2133971172813294014947160803785664029419422149658203125	-2.3823186496666913	2.666757770385385	PAK1;DST;DAB2IP;EPHB1
cell projection morphogenesis (GO:0048858)	4/228	0.00682722811509144621167077815471202484332025051116943359375	0.32647695411365862394603709617513231933116912841796875	0.003899172319629280736297261000800062902271747589111328125	0.2133971172813294014947160803785664029419422149658203125	-2.372235710293729	2.655470969215888	PAK1;DST;DAB2IP;EPHB1
regulation of cytoskeleton organization (GO:0051493)	4/350	0.0284411767088952570359250415776841691695153713226318359375	0.32647695411365862394603709617513231933116912841796875	0.0167177696717446359897518703974128584377467632293701171875	0.2133971172813294014947160803785664029419422149658203125	-2.3712162229759444	2.6543297592745176	LIMA1;PAK1;DST;PRKCE
response to insulin (GO:0032868)	4/246	0.00887146844867923480004723302272395812906324863433837890625	0.32647695411365862394603709617513231933116912841796875	0.005081113528566515158413352537536411546170711517333984375	0.2133971172813294014947160803785664029419422149658203125	-2.36385377843762	2.6460882689162255	KLB;PAK1;INSR;UCP3
neural precursor cell proliferation (GO:0061351)	2/47	0.01053700200176798003337541587143277865834534168243408203125	0.32647695411365862394603709617513231933116912841796875	0.00825281619358730032798288078765835962258279323577880859375	0.2133971172813294014947160803785664029419422149658203125	-2.329422345495373	2.6075458634504045	DISC1;EPHB1
