Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of mast cell degranulation (GO:0043304)	2/18	0.00883922916980427360311711737494988483376801013946533203125	0.58509688564505657470959931742982007563114166259765625	0.008402036667876165709767377620664774440228939056396484375	0.30951352409363097617500670821755193173885345458984375	-2.7410373815976845	1.4691352649305145	RABGEF1;UNC13D
prostate gland growth (GO:0060736)	2/11	0.0032954806231970455547564124998416446032933890819549560546875	0.58509688564505657470959931742982007563114166259765625	0.0035602843088852038043456982308043734519742429256439208984375	0.30951352409363097617500670821755193173885345458984375	-2.7233710374862894	1.4596664961677477	ESR1;PRLR
establishment of mitotic spindle orientation (GO:0000132)	2/17	0.0078980417505094650809649436951076495461165904998779296875	0.58509688564505657470959931742982007563114166259765625	0.007596079864081623465865700239874058752320706844329833984375	0.30951352409363097617500670821755193173885345458984375	-2.7137997857926006	1.4545365174643825	SPRY1;ARHGEF2
positive regulation of sterol transport (GO:0032373)	2/15	0.006161539680903678657675204277666125562973320484161376953125	0.58509688564505657470959931742982007563114166259765625	0.006096216079321600291029970009049065993167459964752197265625	0.30951352409363097617500670821755193173885345458984375	-2.6905608922600934	1.4420809857610273	PON1;ABCG1
positive regulation of cholesterol efflux (GO:0010875)	2/13	0.00462508526498506093715956666301281074993312358856201171875	0.58509688564505657470959931742982007563114166259765625	0.004749446151900764585829239905478971195407211780548095703125	0.30951352409363097617500670821755193173885345458984375	-2.675762648760141	1.434149455337266	PON1;ABCG1
positive regulation of cholesterol transport (GO:0032376)	2/15	0.006161539680903678657675204277666125562973320484161376953125	0.58509688564505657470959931742982007563114166259765625	0.006096216079321600291029970009049065993167459964752197265625	0.30951352409363097617500670821755193173885345458984375	-2.6740820400736256	1.4332486863421094	PON1;ABCG1
positive regulation of glycolytic process (GO:0045821)	2/13	0.00462508526498506093715956666301281074993312358856201171875	0.58509688564505657470959931742982007563114166259765625	0.004749446151900764585829239905478971195407211780548095703125	0.30951352409363097617500670821755193173885345458984375	-2.668307560300523	1.4301536932098566	PRKAA2;INSR
regulation of mast cell activation involved in immune response (GO:0033006)	2/19	0.00982795058056820831915434411030219052918255329132080078125	0.58509688564505657470959931742982007563114166259765625	0.0092446160432335944268089633624185808002948760986328125	0.30951352409363097617500670821755193173885345458984375	-2.664983968048857	1.4283723214504076	RABGEF1;UNC13D
blood vessel endothelial cell migration (GO:0043534)	2/23	0.014242211064193543990086254780180752277374267578125	0.58509688564505657470959931742982007563114166259765625	0.01297047358561321216130490796558660804294049739837646484375	0.392400566054205868216087083055754192173480987548828125	-2.6413554371621406	1.4157079527638554	NR4A1;MYH9
intracellular lipid transport (GO:0032365)	2/17	0.0078980417505094650809649436951076495461165904998779296875	0.58509688564505657470959931742982007563114166259765625	0.007596079864081623465865700239874058752320706844329833984375	0.30951352409363097617500670821755193173885345458984375	-2.6295816517526314	1.4093974648212384	PRKAA2;ABCG1
