Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
cell migration involved in sprouting angiogenesis (GO:0002042)	1/15	0.0193302507970553490157517018133148667402565479278564453125	0.160781526187299184105228277985588647425174713134765625	0.0199861469071194348956499453606738825328648090362548828125	0.1524719433402304258340365095136803574860095977783203125	-2.8698583103798168	5.245265333783454	NR4A1
embryonic viscerocranium morphogenesis (GO:0048703)	1/11	0.014210941590347581087172557090525515377521514892578125	0.160781526187299184105228277985588647425174713134765625	0.015025282355168388670474399759768857620656490325927734375	0.1524719433402304258340365095136803574860095977783203125	-2.668007287296313	4.876340439429175	NDST1
organ induction (GO:0001759)	1/17	0.02188030982483291086992949203704483807086944580078125	0.160781526187299184105228277985588647425174713134765625	0.0224577210232258690780771104300583829171955585479736328125	0.1524719433402304258340365095136803574860095977783203125	-2.6307588815748724	4.808261199920128	SPRY1
nephron tubule development (GO:0072080)	1/18	0.0231529471650368245949636047953390516340732574462890625	0.160781526187299184105228277985588647425174713134765625	0.023691299333770572677071442058149841614067554473876953125	0.1524719433402304258340365095136803574860095977783203125	-2.627387583319875	4.802099448379008	UMOD
renal tubule development (GO:0061326)	1/20	0.0256934470647403427612243120847779209725558757781982421875	0.160781526187299184105228277985588647425174713134765625	0.02615404671585640217212898051002412103116512298583984375	0.1524719433402304258340365095136803574860095977783203125	-2.5786418792154118	4.713006495258207	UMOD
negative regulation of fibroblast growth factor receptor signaling pathway (GO:0040037)	1/14	0.0180528252715801591776756396257042069919407367706298828125	0.160781526187299184105228277985588647425174713134765625	0.0187481477944926554213278535598874441348016262054443359375	0.1524719433402304258340365095136803574860095977783203125	-2.564271668128482	4.686741933770693	SPRY1
renal absorption (GO:0070293)	1/13	0.016773799845305033262565785889819380827248096466064453125	0.160781526187299184105228277985588647425174713134765625	0.0175086717709159490896642097368385293520987033843994140625	0.1524719433402304258340365095136803574860095977783203125	-2.562476983175039	4.6834617722598235	AQP4
regulation of mast cell degranulation (GO:0043304)	1/18	0.0231529471650368245949636047953390516340732574462890625	0.160781526187299184105228277985588647425174713134765625	0.023691299333770572677071442058149841614067554473876953125	0.1524719433402304258340365095136803574860095977783203125	-2.5276880718562205	4.619877772352694	UNC13D
establishment of mitotic spindle orientation (GO:0000132)	1/17	0.02188030982483291086992949203704483807086944580078125	0.160781526187299184105228277985588647425174713134765625	0.0224577210232258690780771104300583829171955585479736328125	0.1524719433402304258340365095136803574860095977783203125	-2.5176609684168048	4.601551147000215	SPRY1
metanephric nephron epithelium development (GO:0072243)	1/12	0.01549317259307191572970108239815090200863778591156005859375	0.160781526187299184105228277985588647425174713134765625	0.016267717177968370190210833925448241643607616424560546875	0.1524719433402304258340365095136803574860095977783203125	-2.508106517249705	4.5840883923726246	UMOD
metanephric tubule development (GO:0072170)	1/11	0.014210941590347581087172557090525515377521514892578125	0.160781526187299184105228277985588647425174713134765625	0.015025282355168388670474399759768857620656490325927734375	0.1524719433402304258340365095136803574860095977783203125	-2.505173172868737	4.578727092987951	UMOD
metanephric epithelium development (GO:0072207)	1/13	0.016773799845305033262565785889819380827248096466064453125	0.160781526187299184105228277985588647425174713134765625	0.0175086717709159490896642097368385293520987033843994140625	0.1524719433402304258340365095136803574860095977783203125	-2.5040732738816063	4.576716797912757	UMOD
regulation of keratinocyte differentiation (GO:0045616)	1/23	0.0294922886317535055955563194629576173610985279083251953125	0.160781526187299184105228277985588647425174713134765625	0.029837169410415025072591532762089627794921398162841796875	0.1524719433402304258340365095136803574860095977783203125	-2.4926280033309807	4.555798176028938	KRT36
metanephric nephron tubule development (GO:0072234)	1/11	0.014210941590347581087172557090525515377521514892578125	0.160781526187299184105228277985588647425174713134765625	0.015025282355168388670474399759768857620656490325927734375	0.1524719433402304258340365095136803574860095977783203125	-2.482502677835409	4.537292029358524	UMOD
nucleobase-containing small molecule interconversion (GO:0015949)	1/18	0.0231529471650368245949636047953390516340732574462890625	0.160781526187299184105228277985588647425174713134765625	0.023691299333770572677071442058149841614067554473876953125	0.1524719433402304258340365095136803574860095977783203125	-2.476577369393989	4.526462290884209	GSR
nephron epithelium development (GO:0072009)	1/22	0.028227593335885904635151888442123890854418277740478515625	0.160781526187299184105228277985588647425174713134765625	0.0286109261012762183806756866033538244664669036865234375	0.1524719433402304258340365095136803574860095977783203125	-2.4728991136022462	4.519739510347123	UMOD
natural killer cell activation involved in immune response (GO:0002323)	1/21	0.0269613134496337336631910375217557884752750396728515625	0.160781526187299184105228277985588647425174713134765625	0.0273832190857897818381250232278034673072397708892822265625	0.1524719433402304258340365095136803574860095977783203125	-2.466766230194277	4.50853038527652	UNC13D
regulation of mast cell activation involved in immune response (GO:0033006)	1/19	0.0244239922727901882792966858914951444603502750396728515625	0.160781526187299184105228277985588647425174713134765625	0.0249234073479651895011155460224472335539758205413818359375	0.1524719433402304258340365095136803574860095977783203125	-2.456262573917019	4.489332760101155	UNC13D
synaptic vesicle exocytosis (GO:0016079)	1/19	0.0244239922727901882792966858914951444603502750396728515625	0.160781526187299184105228277985588647425174713134765625	0.0249234073479651895011155460224472335539758205413818359375	0.1524719433402304258340365095136803574860095977783203125	-2.446759667580459	4.471964214414747	PCLO
blood vessel endothelial cell migration (GO:0043534)	1/23	0.0294922886317535055955563194629576173610985279083251953125	0.160781526187299184105228277985588647425174713134765625	0.029837169410415025072591532762089627794921398162841796875	0.1524719433402304258340365095136803574860095977783203125	-2.4417871719313196	4.462875940280624	NR4A1
vitamin D metabolic process (GO:0042359)	1/12	0.01549317259307191572970108239815090200863778591156005859375	0.160781526187299184105228277985588647425174713134765625	0.016267717177968370190210833925448241643607616424560546875	0.1524719433402304258340365095136803574860095977783203125	-2.440322152586122	4.460198311508189	LRP2
