Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
cellular response to estradiol stimulus (GO:0071392)	2/20	0.0020802490724193237366101971730358854983933269977569580078125	0.32863622103410328190165046180482022464275360107421875	0.00224152043214324858677599650036427192389965057373046875	0.29276171219185453953315345643204636871814727783203125	-2.7406762196566543	3.0498350518763995	AQP4;ESR1
positive regulation of nitric oxide biosynthetic process (GO:0045429)	2/32	0.00528967631714651574659225019559016800485551357269287109375	0.32863622103410328190165046180482022464275360107421875	0.0053119580399776412937828951044139103032648563385009765625	0.29276171219185453953315345643204636871814727783203125	-2.6034543018151	2.8971339732457744	INSR;ESR1
hyperosmotic response (GO:0006972)	2/22	0.002518077049000053656280240232945288880728185176849365234375	0.32863622103410328190165046180482022464275360107421875	0.0026672565345634987286904671321963178343139588832855224609375	0.29276171219185453953315345643204636871814727783203125	-2.577028498834018	2.867727237919782	AQP4;ARHGEF2
regulation of membrane lipid distribution (GO:0097035)	2/30	0.004659472407555259078348885992681971401907503604888916015625	0.32863622103410328190165046180482022464275360107421875	0.004715684559684262845691282706184210837818682193756103515625	0.29276171219185453953315345643204636871814727783203125	-2.5387159306616813	2.825092864511735	ATP8A1;ANO6
cellular response to estrogen stimulus (GO:0071391)	2/30	0.004659472407555259078348885992681971401907503604888916015625	0.32863622103410328190165046180482022464275360107421875	0.004715684559684262845691282706184210837818682193756103515625	0.29276171219185453953315345643204636871814727783203125	-2.5134504364733985	2.7969773252788452	AQP4;ESR1
regulation of glycolytic process (GO:0006110)	2/26	0.00351183229177679141763679382393092964775860309600830078125	0.32863622103410328190165046180482022464275360107421875	0.003623261668574452760982484988971918937750160694122314453125	0.29276171219185453953315345643204636871814727783203125	-2.495785243080701	2.7773194300408686	INSR;ECD
regulation of cellular carbohydrate catabolic process (GO:0043471)	2/33	0.005618645861244125731814857971357923815958201885223388671875	0.32863622103410328190165046180482022464275360107421875	0.005622421140168248378243820440047784359194338321685791015625	0.29276171219185453953315345643204636871814727783203125	-2.4839248813719728	2.7641211738558518	INSR;ECD
cellular response to lipid (GO:0071396)	4/315	0.0223594069279396782945479316140335868112742900848388671875	0.32863622103410328190165046180482022464275360107421875	0.0189671092099892961424512094481542590074241161346435546875	0.29276171219185453953315345643204636871814727783203125	-2.481535621919747	2.7614623967361167	NR1I2;ADNP2;AQP4;ESR1
regulation of carbohydrate catabolic process (GO:0043470)	2/33	0.005618645861244125731814857971357923815958201885223388671875	0.32863622103410328190165046180482022464275360107421875	0.005622421140168248378243820440047784359194338321685791015625	0.29276171219185453953315345643204636871814727783203125	-2.4773438547718865	2.756797782111026	INSR;ECD
cellular response to hormone stimulus (GO:0032870)	5/462	0.020415754959733529994014844533012364991009235382080078125	0.32863622103410328190165046180482022464275360107421875	0.0165322979115195729804543844920772244222462177276611328125	0.29276171219185453953315345643204636871814727783203125	-2.4542769510321905	2.731128842796335	INSR;UCP3;NR1I2;AQP4;ESR1
