Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
cell migration involved in sprouting angiogenesis (GO:0002042)	1/15	0.036863485414561358854967920706258155405521392822265625	0.33971893571942357592519101672223769128322601318359375	0.031990621747196967827875369039247743785381317138671875	0.21814387788690103864297498148516751825809478759765625	-2.780630482201764	3.002070614540619	NR4A1
negative regulation of NF-kappaB import into nucleus (GO:0042347)	1/14	0.0344479143011256760953386901746853254735469818115234375	0.33971893571942357592519101672223769128322601318359375	0.0300204994949127730585747286795594845898449420928955078125	0.21814387788690103864297498148516751825809478759765625	-2.5894852099149537	2.7957031706412683	LITAF
renal absorption (GO:0070293)	1/13	0.032026406337062614249067138416648958809673786163330078125	0.33971893571942357592519101672223769128322601318359375	0.028046506125871929759885148314424441196024417877197265625	0.21814387788690103864297498148516751825809478759765625	-2.547963186984084	2.750874472367651	AQP4
organ induction (GO:0001759)	1/17	0.0416768740944068183384985104567022062838077545166015625	0.33971893571942357592519101672223769128322601318359375	0.0359192821685931640285360799680347554385662078857421875	0.21814387788690103864297498148516751825809478759765625	-2.546329138888268	2.749110294134479	SPRY1
negative regulation of stem cell proliferation (GO:2000647)	1/15	0.036863485414561358854967920706258155405521392822265625	0.33971893571942357592519101672223769128322601318359375	0.031990621747196967827875369039247743785381317138671875	0.21814387788690103864297498148516751825809478759765625	-2.506637991786917	2.706258276531613	CTNNA1
olfactory bulb development (GO:0021772)	1/18	0.04407472007797468005474428309753420762717723846435546875	0.33971893571942357592519101672223769128322601318359375	0.03787783494105036175003675680272863246500492095947265625	0.21814387788690103864297498148516751825809478759765625	-2.4985223563911108	2.697496339015635	RPGRIP1L
negative regulation of fibroblast growth factor receptor signaling pathway (GO:0040037)	1/14	0.0344479143011256760953386901746853254735469818115234375	0.33971893571942357592519101672223769128322601318359375	0.0300204994949127730585747286795594845898449420928955078125	0.21814387788690103864297498148516751825809478759765625	-2.45121498765091	2.6464215692987545	SPRY1
double-strand break repair via nonhomologous end joining (GO:0006303)	1/18	0.04407472007797468005474428309753420762717723846435546875	0.33971893571942357592519101672223769128322601318359375	0.03787783494105036175003675680272863246500492095947265625	0.21814387788690103864297498148516751825809478759765625	-2.444611759960663	2.6392924825909385	POLA1
DNA synthesis involved in DNA repair (GO:0000731)	1/13	0.032026406337062614249067138416648958809673786163330078125	0.33971893571942357592519101672223769128322601318359375	0.028046506125871929759885148314424441196024417877197265625	0.21814387788690103864297498148516751825809478759765625	-2.431773298511907	2.6254316089157337	POLA1
cellular response to lipid (GO:0071396)	3/315	0.04406604316144203947747115535094053484499454498291015625	0.33971893571942357592519101672223769128322601318359375	0.02600364459798558403047508136296528391540050506591796875	0.21814387788690103864297498148516751825809478759765625	-2.4233466943808106	2.616333938152123	NR4A1;AQP4;LITAF
cellular response to organic cyclic compound (GO:0071407)	3/291	0.036175392580246636120566705585588351823389530181884765625	0.33971893571942357592519101672223769128322601318359375	0.0212084333040501171740999097892199642956256866455078125	0.21814387788690103864297498148516751825809478759765625	-2.4197225540344465	2.6124211833627218	NR4A1;CTNNA1;AQP4
non-recombinational repair (GO:0000726)	1/18	0.04407472007797468005474428309753420762717723846435546875	0.33971893571942357592519101672223769128322601318359375	0.03787783494105036175003675680272863246500492095947265625	0.21814387788690103864297498148516751825809478759765625	-2.414917975457192	2.6072339841809713	POLA1
regulation of keratinocyte differentiation (GO:0045616)	1/23	0.055976031789469589405872085308146779425442218780517578125	0.33971893571942357592519101672223769128322601318359375	0.04761311524603488443130316909446264617145061492919921875	0.21814387788690103864297498148516751825809478759765625	-2.4130982764603104	2.60526937042851	KRT36
pericardium development (GO:0060039)	1/9	0.022280719615554341050955855507709202356636524200439453125	0.33971893571942357592519101672223769128322601318359375	0.0201116745883143550888139117205355432815849781036376953125	0.21814387788690103864297498148516751825809478759765625	-2.410182195379705	2.602121062381922	RPGRIP1L
