Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of glucose import (GO:0046326)	3/30	0.00091618174101502762064763718541371417813934385776519775390625	0.2007031583342544778236771207957644946873188018798828125	0.0008079038157836984125614865348552484647370874881744384765625	0.12383701513639934488342220220147282816469669342041015625	-2.45044700228082	3.9352421560476376	PRKCI;INSR;PIK3R1
positive regulation of glucose transport (GO:0010828)	3/35	0.00144292553587309986713738130248430024948902428150177001953125	0.2007031583342544778236771207957644946873188018798828125	0.00122439434517323023597634712444914839579723775386810302734375	0.1261345874275578704537537078067543916404247283935546875	-2.4493259788904105	3.9334418728749148	PRKCI;INSR;PIK3R1
organ morphogenesis (GO:0009887)	10/405	0.00028197438936767801366534147433640100643970072269439697265625	0.1936933546463567024087382151265046559274196624755859375	0.0000995576368572848534842234524688819874427281320095062255859375	0.10950636241931821501793820061720907688140869140625	-2.364164565594647	3.880726526238132	TLE3;LAMA5;CSRNP1;SMAD3;SATB2;INSR;GAA;CTNNA1;LAMB1;LHX4
positive regulation of endothelial cell apoptotic process (GO:2000353)	2/11	0.0021523750005587303536780385826432393514551222324371337890625	0.224769446486918822447620414095581509172916412353515625	0.0023024178095258636227160575771222283947281539440155029296875	0.1261345874275578704537537078067543916404247283935546875	-2.5740301001075294	3.842203467086612	PRKCI;ANO6
neurogenesis (GO:0022008)	3/39	0.0019776362439553629192501293942996198893524706363677978515625	0.2224080145125184870824597282989998348057270050048828125	0.00163973354172125096277212730200290025095455348491668701171875	0.1261345874275578704537537078067543916404247283935546875	-2.458341563794167	3.6954815042840075	TCF7L1;OMP;SPOCK1
cell junction organization (GO:0034330)	6/189	0.001375465417651901105233758215717898565344512462615966796875	0.2007031583342544778236771207957644946873188018798828125	0.00076233456650314228471299049516574086737819015979766845703125	0.12383701513639934488342220220147282816469669342041015625	-2.2643884787906092	3.636445510191124	LAMA5;PRKCI;SMAD3;CLDN14;ACTN1;CTNNA1
positive regulation of Rho GTPase activity (GO:0032321)	6/149	0.000397455584089651220262850994657810588250868022441864013671875	0.1936933546463567024087382151265046559274196624755859375	0.00022470525804237662125840968574408407221199013292789459228515625	0.10950636241931821501793820061720907688140869140625	-2.211474301463581	3.630088661626244	TIAM1;PLEKHG4;DOCK4;DNMBP;PLXNB1;ARHGEF2
cell-cell junction organization (GO:0045216)	6/161	0.000599023986551576394406215531063253365573473274707794189453125	0.2007031583342544778236771207957644946873188018798828125	0.0003357750007825995876807601003832814967609010636806488037109375	0.12272576278604015176387775909461197443306446075439453125	-2.2482196441392097	3.6104795212612975	LAMA5;PRKCI;SMAD3;CLDN14;ACTN1;CTNNA1
cellular response to alcohol (GO:0097306)	4/70	0.00105893443443072737646104553022041727672331035137176513671875	0.2007031583342544778236771207957644946873188018798828125	0.000767577627779551948349057166609554769820533692836761474609375	0.12383701513639934488342220220147282816469669342041015625	-2.2311912524697557	3.5831331454021362	PRKCE;CTNNA1;AQP4;ESR1
regulation of glucose import (GO:0046324)	4/51	0.0003169231320870347112274301171197521398426033556461334228515625	0.1936933546463567024087382151265046559274196624755859375	0.000246494871495253446702644595234232838265597820281982421875	0.10950636241931821501793820061720907688140869140625	-2.175867283751245	3.571640489207359	PRKCI;INSR;ASPSCR1;PIK3R1
regulation of Rho GTPase activity (GO:0032319)	6/174	0.00089874432267833168595794202104798387154005467891693115234375	0.2007031583342544778236771207957644946873188018798828125	0.00050049571845600833441825017189330537803471088409423828125	0.12383701513639934488342220220147282816469669342041015625	-2.2232394369755184	3.5703630999692377	TIAM1;PLEKHG4;DOCK4;DNMBP;PLXNB1;ARHGEF2
