Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
negative regulation of stem cell proliferation (GO:2000647)	1/15	0.0104523466401661123403865616410257644020020961761474609375	0.103918129684089588504747325714561156928539276123046875	0.0122646555485911613880833925804836326278746128082275390625	0.11906381125637803541916781568943406455218791961669921875	-2.7294001860170383	6.179776629130072	CTNNA1
renal absorption (GO:0070293)	1/13	0.00906458620796419915766062302964201080612838268280029296875	0.103918129684089588504747325714561156928539276123046875	0.01073908868794577579908189335355928051285445690155029296875	0.11906381125637803541916781568943406455218791961669921875	-2.7221287412755464	6.163312973670644	AQP4
double-strand break repair via nonhomologous end joining (GO:0006303)	1/18	0.01253060386162135018961460986020028940401971340179443359375	0.103918129684089588504747325714561156928539276123046875	0.01454899597480557339734819066734416992403566837310791015625	0.11906381125637803541916781568943406455218791961669921875	-2.68517832986727	6.079651629311015	POLA1
non-recombinational repair (GO:0000726)	1/18	0.01253060386162135018961460986020028940401971340179443359375	0.103918129684089588504747325714561156928539276123046875	0.01454899597480557339734819066734416992403566837310791015625	0.11906381125637803541916781568943406455218791961669921875	-2.6846830204268377	6.0785301734981765	POLA1
axon regeneration (GO:0031103)	1/16	0.01114554990077966378780871536946506239473819732666015625	0.103918129684089588504747325714561156928539276123046875	0.01302663666903660678875187528547030524350702762603759765625	0.11906381125637803541916781568943406455218791961669921875	-2.646183779877085	5.991362044688231	CTNNA1
axon development (GO:0061564)	1/20	0.013913856217370894341467391086553107015788555145263671875	0.103918129684089588504747325714561156928539276123046875	0.0160692202855681719186886624584076344035565853118896484375	0.11906381125637803541916781568943406455218791961669921875	-2.6432364965413297	5.984688947510678	CTNNA1
neuron projection regeneration (GO:0031102)	1/22	0.01529530913099154225409659346723856288008391857147216796875	0.103918129684089588504747325714561156928539276123046875	0.0175873122941391617224393684182359720580279827117919921875	0.11906381125637803541916781568943406455218791961669921875	-2.6390717938900106	5.975259428071297	CTNNA1
DNA synthesis involved in DNA repair (GO:0000731)	1/13	0.00906458620796419915766062302964201080612838268280029296875	0.103918129684089588504747325714561156928539276123046875	0.01073908868794577579908189335355928051285445690155029296875	0.11906381125637803541916781568943406455218791961669921875	-2.638673282245731	5.974357137172963	POLA1
synaptic vesicle endocytosis (GO:0048488)	1/14	0.00975869216686491534884506648950264207087457180023193359375	0.103918129684089588504747325714561156928539276123046875	0.0115021396676480425202981905385968275368213653564453125	0.11906381125637803541916781568943406455218791961669921875	-2.6339291832373033	5.963615776368213	OPHN1
phosphatidylinositol dephosphorylation (GO:0046856)	1/17	0.01183830221650010276757125637914214166812598705291748046875	0.103918129684089588504747325714561156928539276123046875	0.01378808336495968879520379601899549015797674655914306640625	0.11906381125637803541916781568943406455218791961669921875	-2.607568961297352	5.9039322296615975	MTMR1
nucleobase-containing small molecule interconversion (GO:0015949)	1/18	0.01253060386162135018961460986020028940401971340179443359375	0.103918129684089588504747325714561156928539276123046875	0.01454899597480557339734819066734416992403566837310791015625	0.11906381125637803541916781568943406455218791961669921875	-2.606111986642788	5.900633417722757	GSR
cerebellar Purkinje cell layer development (GO:0021680)	1/12	0.00837002849309591116788720199792805942706763744354248046875	0.103918129684089588504747325714561156928539276123046875	0.009975502271467984183317412316682748496532440185546875	0.11906381125637803541916781568943406455218791961669921875	-2.6023861207224854	5.892197491303641	KLHL1
regulation of integrin-mediated signaling pathway (GO:2001044)	1/11	0.00767501875097178522244778520189356640912592411041259765625	0.103918129684089588504747325714561156928539276123046875	0.00921138007977673201054358287365175783634185791015625	0.11906381125637803541916781568943406455218791961669921875	-2.5980536355083457	5.882388086655119	CTNNA1
epithelial cell-cell adhesion (GO:0090136)	1/14	0.00975869216686491534884506648950264207087457180023193359375	0.103918129684089588504747325714561156928539276123046875	0.0115021396676480425202981905385968275368213653564453125	0.11906381125637803541916781568943406455218791961669921875	-2.5845181255773997	5.851741636067497	CTNNA1
response to salt stress (GO:0009651)	1/25	0.0173641192728694292168878376969587407074868679046630859375	0.104011723063240857367617309137131087481975555419921875	0.019860458131623688615707834514978458173573017120361328125	0.11906381125637803541916781568943406455218791961669921875	-2.563726123675829	5.802357416555718	AQP4
