Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
neurogenesis (GO:0022008)	4/39	0.0001398766076542269447789690328676215358427725732326507568359375	0.0289869967086929074262524608229796285741031169891357421875	0.00016782154308046324099439050581139554196852259337902069091796875	0.022339535469218387009338044890682795085012912750244140625	-2.4867106146476337	8.80521335717172	TCF7L1;OMP;SPOCK1;EPHB1
regulation of Ras GTPase activity (GO:0032318)	10/349	0.0001399492900842144054752991255696770167560316622257232666015625	0.0289869967086929074262524608229796285741031169891357421875	0.000107855331173051957019577706820001594678615219891071319580078125	0.022339535469218387009338044890682795085012912750244140625	-2.380615263566108	8.429539486245954	ARHGEF33;TIAM1;RABGEF1;PLEKHG4;DNMBP;OPHN1;DAB2IP;PLXNB1;ARHGEF2;TBC1D22A
positive regulation of Ras GTPase activity (GO:0032320)	10/292	0.000031782540458426616837746270238795887053129263222217559814453125	0.0289869967086929074262524608229796285741031169891357421875	0.00002526655338667659948478395881554803281687782146036624908447265625	0.022339535469218387009338044890682795085012912750244140625	-2.3753904058880106	8.411038746213915	ARHGEF33;TIAM1;RABGEF1;PLEKHG4;DNMBP;OPHN1;DAB2IP;PLXNB1;ARHGEF2;TBC1D22A
cell junction organization (GO:0034330)	8/189	0.0000460439701265043837738986931551465886514051817357540130615234375	0.0289869967086929074262524608229796285741031169891357421875	0.0000409686254603135375541855811576397172757424414157867431640625	0.022339535469218387009338044890682795085012912750244140625	-2.282149587709435	8.080881592895151	LAMA5;PRKCI;SMAD3;DST;CLDN14;DLG5;CTNNA1;PRKCA
cell junction assembly (GO:0034329)	7/160	0.00011317459661045890968733562687020821613259613513946533203125	0.0289869967086929074262524608229796285741031169891357421875	0.000103952010729821921392913852688622000641771592199802398681640625	0.022339535469218387009338044890682795085012912750244140625	-2.251448319081852	7.972171227077207	LAMA5;PRKCI;DST;CLDN14;DLG5;CTNNA1;PRKCA
cell-cell junction organization (GO:0045216)	7/161	0.0001176564429931984388268129126942085349583066999912261962890625	0.0289869967086929074262524608229796285741031169891357421875	0.000107905573826997235194723179230180676313466392457485198974609375	0.022339535469218387009338044890682795085012912750244140625	-2.2431151282547566	7.942664165521112	LAMA5;PRKCI;SMAD3;CLDN14;DLG5;CTNNA1;PRKCA
establishment or maintenance of cell polarity (GO:0007163)	6/100	0.0000624870589090480090151136227660799704608507454395294189453125	0.0289869967086929074262524608229796285741031169891357421875	0.0000636477675934575006476412450950874699628911912441253662109375	0.022339535469218387009338044890682795085012912750244140625	-2.2406720905123985	7.934013593784146	PRKCI;DST;DLG5;KIF26B;CTNNA1;EPHB1
positive regulation of Rho GTPase activity (GO:0032321)	7/149	0.00007239613569163646437758241614091048177215270698070526123046875	0.0289869967086929074262524608229796285741031169891357421875	0.0000677227696635740168511208292301262190449051558971405029296875	0.022339535469218387009338044890682795085012912750244140625	-2.208937145281754	7.821643074276157	ARHGEF33;TIAM1;PLEKHG4;DNMBP;OPHN1;PLXNB1;ARHGEF2
regulation of Rho GTPase activity (GO:0032319)	7/174	0.00019025659300907956099531415095071906762314029037952423095703125	0.031525517461604486701975957885224488563835620880126953125	0.000171433000867357208073238350465317125781439244747161865234375	0.0284064482437210892584733556986975600011646747589111328125	-2.210712072838319	7.642338748181557	ARHGEF33;TIAM1;PLEKHG4;DNMBP;OPHN1;PLXNB1;ARHGEF2
cell-cell junction assembly (GO:0007043)	5/77	0.0001801960874336627749757455685397644629119895398616790771484375	0.031525517461604486701975957885224488563835620880126953125	0.000188430213131129779824401992982529918663203716278076171875	0.0284064482437210892584733556986975600011646747589111328125	-2.127498475337375	7.3546728380114645	PRKCI;CLDN14;DLG5;CTNNA1;PRKCA
positive regulation of GTPase activity (GO:0043547)	11/482	0.0004625602901562781712162253366926734088337980210781097412109375	0.06498654502692417789244672121640178374946117401123046875	0.0003358094136188642664375691992972861044108867645263671875	0.047175027952761572347384344539023004472255706787109375	-2.3824411270571946	6.512581575606022	ARHGEF33;TIAM1;RABGEF1;PLEKHG4;DNMBP;OPHN1;ARHGAP40;DAB2IP;PLXNB1;ARHGEF2;TBC1D22A
positive regulation of GTP catabolic process (GO:0033126)	11/483	0.0004706327944013820947961879159748832535115070641040802001953125	0.06498654502692417789244672121640178374946117401123046875	0.000341641723254760935890583795071506756357848644256591796875	0.047175027952761572347384344539023004472255706787109375	-2.3816863573850164	6.5105183560766795	ARHGEF33;TIAM1;RABGEF1;PLEKHG4;DNMBP;OPHN1;ARHGAP40;DAB2IP;PLXNB1;ARHGEF2;TBC1D22A
protein targeting to vacuole (GO:0006623)	2/11	0.002425126585514703232704381008488780935294926166534423828125	0.1488309167480690031748480350870522670447826385498046875	0.0030908981279546368127475464149256367818452417850494384765625	0.189689562889660490174748019853723235428333282470703125	-2.746039461982455	5.231052507147006	AP3B1;SORL1
pyrimidine nucleobase metabolic process (GO:0006206)	3/32	0.001320431863071601548409450543886123341508209705352783203125	0.1372483103479898713938922583110979758203029632568359375	0.001482117118495346157203140791125406394712626934051513671875	0.1390761582204507462723341859600623138248920440673828125	-2.5578465531003802	5.079789917177978	UCK2;DPYSL4;UMPS
establishment of protein localization to vacuole (GO:0072666)	2/11	0.002425126585514703232704381008488780935294926166534423828125	0.1488309167480690031748480350870522670447826385498046875	0.0030908981279546368127475464149256367818452417850494384765625	0.189689562889660490174748019853723235428333282470703125	-2.628284058734974	5.006735010652202	AP3B1;SORL1
protein targeting to lysosome (GO:0006622)	2/11	0.002425126585514703232704381008488780935294926166534423828125	0.1488309167480690031748480350870522670447826385498046875	0.0030908981279546368127475464149256367818452417850494384765625	0.189689562889660490174748019853723235428333282470703125	-2.5769624161330675	4.908970134757159	AP3B1;SORL1
negative regulation of protein oligomerization (GO:0032460)	2/10	0.001993060271629769515666641410689408075995743274688720703125	0.1488309167480690031748480350870522670447826385498046875	0.0026264216580819091557963407268516675685532391071319580078125	0.1516628735512612902169848894118331372737884521484375	-2.4684788642146747	4.702314999569394	PEX5;SORL1
positive regulation of endothelial cell apoptotic process (GO:2000353)	2/11	0.002425126585514703232704381008488780935294926166534423828125	0.1488309167480690031748480350870522670447826385498046875	0.0030908981279546368127475464149256367818452417850494384765625	0.189689562889660490174748019853723235428333282470703125	-2.454858467465588	4.676368900997595	PRKCI;ANO6
protein localization to lysosome (GO:0061462)	2/14	0.003959229805511639034565352091021850355900824069976806640625	0.211627218959122120889304596857982687652111053466796875	0.004695538574933044717596430928097106516361236572265625	0.204439104810819671786958906523068435490131378173828125	-3.0108572266874982	4.675647361419965	AP3B1;SORL1
negative regulation of cell development (GO:0010721)	7/239	0.00126138290262371179605016546787510378635488450527191162109375	0.1372483103479898713938922583110979758203029632568359375	0.00107911368306017377803607271147257051779888570308685302734375	0.127720812345050560576709131055395118892192840576171875	-2.3291138054089204	4.62553502685114	DAB2IP;CTNNA1;SPOCK1;PI16;ARHGEF2;SORL1;PBX1
protein localization to vacuole (GO:0072665)	2/14	0.003959229805511639034565352091021850355900824069976806640625	0.211627218959122120889304596857982687652111053466796875	0.004695538574933044717596430928097106516361236572265625	0.204439104810819671786958906523068435490131378173828125	-2.9720550132795007	4.615390280768565	AP3B1;SORL1
regulation of cell adhesion (GO:0030155)	8/336	0.0021384365345811519841523473672850741422735154628753662109375	0.1488309167480690031748480350870522670447826385498046875	0.001739043209097142390906487463553276029415428638458251953125	0.1516628735512612902169848894118331372737884521484375	-2.4158869280701394	4.602130285098475	LAMA5;SMAD3;KIF26B;PRKCE;SPOCK1;LAMB1;PLXNB1;PRKCA
UMP metabolic process (GO:0046049)	2/11	0.002425126585514703232704381008488780935294926166534423828125	0.1488309167480690031748480350870522670447826385498046875	0.0030908981279546368127475464149256367818452417850494384765625	0.189689562889660490174748019853723235428333282470703125	-2.413626395052488	4.597824095375718	UCK2;UMPS
pyrimidine ribonucleoside monophosphate metabolic process (GO:0009173)	2/11	0.002425126585514703232704381008488780935294926166534423828125	0.1488309167480690031748480350870522670447826385498046875	0.0030908981279546368127475464149256367818452417850494384765625	0.189689562889660490174748019853723235428333282470703125	-2.3882154825403714	4.549417719777082	UCK2;UMPS
pyrimidine ribonucleoside monophosphate biosynthetic process (GO:0009174)	2/11	0.002425126585514703232704381008488780935294926166534423828125	0.1488309167480690031748480350870522670447826385498046875	0.0030908981279546368127475464149256367818452417850494384765625	0.189689562889660490174748019853723235428333282470703125	-2.369098089689404	4.513000149240433	UCK2;UMPS
UMP biosynthetic process (GO:0006222)	2/11	0.002425126585514703232704381008488780935294926166534423828125	0.1488309167480690031748480350870522670447826385498046875	0.0030908981279546368127475464149256367818452417850494384765625	0.189689562889660490174748019853723235428333282470703125	-2.33251507491181	4.443311539946678	UCK2;UMPS
organ morphogenesis (GO:0009887)	9/405	0.00183004414816428213029497751307417274801991879940032958984375	0.1488309167480690031748480350870522670447826385498046875	0.00143237244741341199043282994551873343880288302898406982421875	0.139614185021413150789015844566165469586849212646484375	-2.3240466103972395	4.427179585856459	MKL2;TLE3;LAMA5;SMAD3;INSR;CTNNA1;LAMB1;EPHB1;PBX1
cellular response to alcohol (GO:0097306)	4/70	0.00132527034735536379354836622468383211526088416576385498046875	0.1372483103479898713938922583110979758203029632568359375	0.00134292005523670003076797119234697674983181059360504150390625	0.1390761582204507462723341859600623138248920440673828125	-2.20235200067779	4.373790708265658	PRKCE;CTNNA1;AQP4;ESR1
pyrimidine nucleoside monophosphate biosynthetic process (GO:0009130)	2/13	0.003408764704330738588844429415303238783963024616241455078125	0.201725825538429770489301517955027520656585693359375	0.004125923890552937907394426275686782901175320148468017578125	0.204439104810819671786958906523068435490131378173828125	-2.5280768364651522	4.0470611929645965	UCK2;UMPS
pyrimidine nucleoside monophosphate metabolic process (GO:0009129)	2/14	0.003959229805511639034565352091021850355900824069976806640625	0.211627218959122120889304596857982687652111053466796875	0.004695538574933044717596430928097106516361236572265625	0.204439104810819671786958906523068435490131378173828125	-2.5768627314181574	4.001684744165813	UCK2;UMPS
