Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
organ morphogenesis (GO:0009887)	14/405	0.00002147729276297520001445980064591623204250936396420001983642578125	0.0324307120720925545764856678943033330142498016357421875	0.000016391338729032750814833263586223210950265638530254364013671875	0.024750921480839453703293173703059437684714794158935546875	-2.364164565594647	8.105891423348764	EDA;SYCP2;FHL1;SHROOM2;PRKX;AQP5;FGD1;FGF16;SOX3;GNAS;HOXB3;ROR2;BCOR;HOXA5
regulation of mitochondrial fission (GO:0090140)	2/12	0.005119196316277402174221844433077421854250133037567138671875	0.60540107411777321910761884282692335546016693115234375	0.006363018693049656525351220892616765922866761684417724609375	0.57508263266828674176167623954825103282928466796875	-3.2554790580205135	1.6338080941126039	MFF;MARCH5
positive regulation of mitochondrial fission (GO:0090141)	2/9	0.0028428675432581530964359917135197974857874214649200439453125	0.60540107411777321910761884282692335546016693115234375	0.00391184534357922990277511843260072055272758007049560546875	0.57508263266828674176167623954825103282928466796875	-2.9325546191438057	1.4717439085901387	MFF;MARCH5
hypothalamus development (GO:0021854)	2/13	0.0060139179548123165852668847719542100094258785247802734375	0.60540107411777321910761884282692335546016693115234375	0.007300434995410089167311440405683242715895175933837890625	0.57508263266828674176167623954825103282928466796875	-2.8279944249821845	1.4192688999973586	SOX3;CRHR1
genitalia morphogenesis (GO:0035112)	2/11	0.004291581811965314470491694720521991257555782794952392578125	0.60540107411777321910761884282692335546016693115234375	0.005485048325048776270140837851840842631645500659942626953125	0.57508263266828674176167623954825103282928466796875	-2.704912980727591	1.3574987407445152	SYCP2;ROR2
calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)	3/22	0.00100494597733108924873801637289716381928883492946624755859375	0.60540107411777321910761884282692335546016693115234375	0.0012800912270941222810549664501422739704139530658721923828125	0.57508263266828674176167623954825103282928466796875	-2.6810065377757586	1.3455009550730281	CLDN4;CLDN14;CLDN7
face development (GO:0060324)	2/12	0.005119196316277402174221844433077421854250133037567138671875	0.60540107411777321910761884282692335546016693115234375	0.006363018693049656525351220892616765922866761684417724609375	0.57508263266828674176167623954825103282928466796875	-2.6511560893262143	1.330520086383487	SOX3;HOXB3
negative regulation of multicellular organism growth (GO:0040015)	2/13	0.0060139179548123165852668847719542100094258785247802734375	0.60540107411777321910761884282692335546016693115234375	0.007300434995410089167311440405683242715895175933837890625	0.57508263266828674176167623954825103282928466796875	-2.6197389025442606	1.3147529279580186	RAI1;GNAS
mitochondrion morphogenesis (GO:0070584)	2/19	0.0127212396533882589333419588228935026563704013824462890625	0.626102894104041407530303331441245973110198974609375	0.01411367031895767974736255467860246426425874233245849609375	0.57508263266828674176167623954825103282928466796875	-2.7083294424808106	1.2681496780486816	NDUFS6;MFF
male meiosis (GO:0007140)	2/22	0.016881321616757684334064748554737889207899570465087890625	0.626102894104041407530303331441245973110198974609375	0.018238254172952501896975974204906378872692584991455078125	0.57508263266828674176167623954825103282928466796875	-2.6882207685649067	1.2587339814379026	SYCP2;PIM2
ectodermal placode formation (GO:0060788)	2/14	0.0069744705198943983404102908707500318996608257293701171875	0.619497087355326048196957344771362841129302978515625	0.008296215054304535707618839524002396501600742340087890625	0.57508263266828674176167623954825103282928466796875	-2.5989634167036075	1.2445065616854771	EDA;GNAS
definitive hemopoiesis (GO:0060216)	2/14	0.0069744705198943983404102908707500318996608257293701171875	0.619497087355326048196957344771362841129302978515625	0.008296215054304535707618839524002396501600742340087890625	0.57508263266828674176167623954825103282928466796875	-2.5841208949413925	1.2373992605182815	LYL1;HOXB3
body morphogenesis (GO:0010171)	2/12	0.005119196316277402174221844433077421854250133037567138671875	0.60540107411777321910761884282692335546016693115234375	0.006363018693049656525351220892616765922866761684417724609375	0.57508263266828674176167623954825103282928466796875	-2.4623180957812165	1.2357490751648188	GPC3;GNAS
pigmentation (GO:0043473)	3/37	0.0045881997710947482194132618360526976175606250762939453125	0.60540107411777321910761884282692335546016693115234375	0.00500224690598876330083211172450319281779229640960693359375	0.57508263266828674176167623954825103282928466796875	-2.459529254714453	1.2343494559300257	EDA;CITED1;SHROOM2
regulation of mammary gland epithelial cell proliferation (GO:0033599)	2/15	0.00799959525168963438146452205046443850733339786529541015625	0.626102894104041407530303331441245973110198974609375	0.0093492907443035143388865293445633142255246639251708984375	0.57508263266828674176167623954825103282928466796875	-2.5990863421865322	1.2169976282669053	AGAP2;HOXA5
negative regulation of microtubule depolymerization (GO:0007026)	2/23	0.0183797340850054592709117429194520809687674045562744140625	0.626102894104041407530303331441245973110198974609375	0.019712877037669711277612094590949709527194499969482421875	0.57508263266828674176167623954825103282928466796875	-2.591877838484858	1.213622314501488	MID1IP1;GAS2L2
mammary gland alveolus development (GO:0060749)	2/18	0.01145007217944027377853899452020414173603057861328125	0.626102894104041407530303331441245973110198974609375	0.01284181782235334357000766658529755659401416778564453125	0.57508263266828674176167623954825103282928466796875	-2.5657044676746574	1.20136688085823	AGAP2;HOXA5
camera-type eye morphogenesis (GO:0048593)	2/17	0.01023861215725710253898750323742206091992557048797607421875	0.626102894104041407530303331441245973110198974609375	0.0116231258320963655450430707105624605901539325714111328125	0.57508263266828674176167623954825103282928466796875	-2.5478669129400866	1.1930146143506883	SHROOM2;AQP5
erythrocyte development (GO:0048821)	2/16	0.009088050627466627562345280466615804471075534820556640625	0.626102894104041407530303331441245973110198974609375	0.01045860783481485263568533383704561856575310230255126953125	0.57508263266828674176167623954825103282928466796875	-2.5266793458073464	1.1830937361825555	SOX6;ANK1
cell aggregation (GO:0098743)	2/23	0.0183797340850054592709117429194520809687674045562744140625	0.626102894104041407530303331441245973110198974609375	0.019712877037669711277612094590949709527194499969482421875	0.57508263266828674176167623954825103282928466796875	-2.5164826393124846	1.1783192246863576	UNCX;ROR2
cartilage condensation (GO:0001502)	2/23	0.0183797340850054592709117429194520809687674045562744140625	0.626102894104041407530303331441245973110198974609375	0.019712877037669711277612094590949709527194499969482421875	0.57508263266828674176167623954825103282928466796875	-2.5105359466658497	1.175534742028156	UNCX;ROR2
gland development (GO:0048732)	7/220	0.004087596006103310329604649808743488392792642116546630859375	0.60540107411777321910761884282692335546016693115234375	0.00366745288403506029817346956178880645893514156341552734375	0.57508263266828674176167623954825103282928466796875	-2.337210722210334	1.1729621747024448	QDPR;SOX3;EDA;HOXB3;LSR;HOXA5;CRHR1
regulation of microtubule depolymerization (GO:0031114)	2/25	0.0215374477938836302037817205246028606779873371124267578125	0.626102894104041407530303331441245973110198974609375	0.02280605421567727386644719445030204951763153076171875	0.57508263266828674176167623954825103282928466796875	-2.4818654928810884	1.1621100728699791	MID1IP1;GAS2L2
histone H2A ubiquitination (GO:0033522)	2/15	0.00799959525168963438146452205046443850733339786529541015625	0.626102894104041407530303331441245973110198974609375	0.0093492907443035143388865293445633142255246639251708984375	0.57508263266828674176167623954825103282928466796875	-2.477462752078437	1.1600485310782613	BCOR;UBE2A
cognition (GO:0050890)	7/227	0.004843184634552820388986305033540702424943447113037109375	0.60540107411777321910761884282692335546016693115234375	0.004328944114428390742277397151838158606551587581634521484375	0.57508263266828674176167623954825103282928466796875	-2.3063199460443773	1.157459202871304	MUSK;PTCHD1;GNAS;SOX6;CRHR1;SHANK2;AFF2
response to parathyroid hormone (GO:0071107)	2/8	0.002224409344667186393118551990255582495592534542083740234375	0.60540107411777321910761884282692335546016693115234375	0.0032188488121225569855987647116535299574024975299835205078125	0.57508263266828674176167623954825103282928466796875	-2.2928100149762187	1.1506790533643734	CITED1;GNAS
cellular response to fatty acid (GO:0071398)	2/27	0.0249024533359523785047695554339952650479972362518310546875	0.626102894104041407530303331441245973110198974609375	0.026084961267399654760712479628637083806097507476806640625	0.57508263266828674176167623954825103282928466796875	-2.425908555782417	1.1359087656533542	GNAS;PDK3
thyroid gland development (GO:0030878)	2/19	0.0127212396533882589333419588228935026563704013824462890625	0.626102894104041407530303331441245973110198974609375	0.01411367031895767974736255467860246426425874233245849609375	0.57508263266828674176167623954825103282928466796875	-2.420103717421682	1.1331907049245429	HOXB3;HOXA5
negative regulation of microtubule polymerization or depolymerization (GO:0031111)	2/32	0.034166921361855430439025127498098299838602542877197265625	0.626102894104041407530303331441245973110198974609375	0.03504773269637277699484201320956344716250896453857421875	0.57508263266828674176167623954825103282928466796875	-2.3966747091001364	1.1222202930928298	MID1IP1;GAS2L2
multicellular organism growth (GO:0035264)	4/79	0.005864702682439599905339644436708113062195479869842529296875	0.60540107411777321910761884282692335546016693115234375	0.005880387605541823221877439920035612885840237140655517578125	0.57508263266828674176167623954825103282928466796875	-2.2305030372287216	1.119409417544491	NDUFS6;GNAS;ZFX;HOXA5
aromatic amino acid family metabolic process (GO:0009072)	2/28	0.0266600371800025694180025226387442671693861484527587890625	0.626102894104041407530303331441245973110198974609375	0.02779179240760375202423659857231541536748409271240234375	0.57508263266828674176167623954825103282928466796875	-2.386868150625261	1.1176284647215784	QDPR;HPDL
heparan sulfate proteoglycan metabolic process (GO:0030201)	2/24	0.0199321412780946345677524078610076685436069965362548828125	0.626102894104041407530303331441245973110198974609375	0.0212357890781405718449992292562455986626446247100830078125	0.57508263266828674176167623954825103282928466796875	-2.38014867092365	1.1144821318247773	NDST1;HS6ST2
long-term synaptic potentiation (GO:0060291)	2/30	0.0303201897485097064677272982180511462502181529998779296875	0.626102894104041407530303331441245973110198974609375	0.03133577296485612340148918519844301044940948486328125	0.57508263266828674176167623954825103282928466796875	-2.3471926402865564	1.0990507817878665	SHANK2;CRHR1
activation of adenylate cyclase activity (GO:0007190)	2/32	0.034166921361855430439025127498098299838602542877197265625	0.626102894104041407530303331441245973110198974609375	0.03504773269637277699484201320956344716250896453857421875	0.57508263266828674176167623954825103282928466796875	-2.3433129389477716	1.0972341482843744	GNAS;CRHR1
embryonic hindlimb morphogenesis (GO:0035116)	2/30	0.0303201897485097064677272982180511462502181529998779296875	0.626102894104041407530303331441245973110198974609375	0.03133577296485612340148918519844301044940948486328125	0.57508263266828674176167623954825103282928466796875	-2.3057723617608015	1.079656127631979	GPC3;GNAS
regulation of neuron death (GO:1901214)	5/225	0.05515665824894544488898873169091530144214630126953125	0.626102894104041407530303331441245973110198974609375	0.050245834173568655611763489332588505931198596954345703125	0.57508263266828674176167623954825103282928466796875	-2.3046335450493194	1.079122887464306	PRDX2;MUSK;CITED1;AGAP2;CRHR1
myeloid cell development (GO:0061515)	2/32	0.034166921361855430439025127498098299838602542877197265625	0.626102894104041407530303331441245973110198974609375	0.03504773269637277699484201320956344716250896453857421875	0.57508263266828674176167623954825103282928466796875	-2.2940478579518415	1.0741662394753175	SOX6;ANK1
positive regulation of adenylate cyclase activity (GO:0045762)	2/37	0.04454884751618871929768062045695842243731021881103515625	0.626102894104041407530303331441245973110198974609375	0.045018538712066867579775220065130270086228847503662109375	0.57508263266828674176167623954825103282928466796875	-2.28628780374147	1.0705326673942532	GNAS;CRHR1
nitrogen compound transport (GO:0071705)	9/464	0.02652391456868359587151218192957458086311817169189453125	0.626102894104041407530303331441245973110198974609375	0.02214506614380214177817407517068204469978809356689453125	0.57508263266828674176167623954825103282928466796875	-2.278668576228108	1.066965036083788	SLC6A8;XK;SLC44A2;FMR1;THOC2;SLC38A3;MAGOHB;CRHR1;CDK16
cartilage development (GO:0051216)	4/75	0.0048790379740982318945707874036088469438254833221435546875	0.60540107411777321910761884282692335546016693115234375	0.00493713859016419072400783107923416537232697010040283203125	0.57508263266828674176167623954825103282928466796875	-2.125097291182068	1.0665100568090196	GNAS;HOXB3;BMP8B;SOX6
histone ubiquitination (GO:0016574)	2/32	0.034166921361855430439025127498098299838602542877197265625	0.626102894104041407530303331441245973110198974609375	0.03504773269637277699484201320956344716250896453857421875	0.57508263266828674176167623954825103282928466796875	-2.2700885420348733	1.062947516121434	BCOR;UBE2A
negative regulation of protein depolymerization (GO:1901880)	3/52	0.0118168240063403658102192395062957075424492359161376953125	0.626102894104041407530303331441245973110198974609375	0.01209018126763804733270202262929160497151315212249755859375	0.57508263266828674176167623954825103282928466796875	-2.263257925971277	1.0597491446729481	MID1IP1;SHROOM2;GAS2L2
cellular response to heat (GO:0034605)	2/29	0.02846628960917786665962836423204862512648105621337890625	0.626102894104041407530303331441245973110198974609375	0.0295423548174083734629835618079596315510571002960205078125	0.57508263266828674176167623954825103282928466796875	-2.2568139154400533	1.056731797613047	ARPP21;RBBP7
negative regulation of protein complex disassembly (GO:0043242)	3/56	0.0144362556114401054119245060292087146081030368804931640625	0.626102894104041407530303331441245973110198974609375	0.01461178049353569451118683986123869544826447963714599609375	0.57508263266828674176167623954825103282928466796875	-2.246514286614287	1.0519090937076268	MID1IP1;SHROOM2;GAS2L2
negative regulation of organelle organization (GO:0010639)	5/237	0.0658718619013942963125174401284311898052692413330078125	0.626102894104041407530303331441245973110198974609375	0.05993344885061253901614719552526366896927356719970703125	0.57508263266828674176167623954825103282928466796875	-2.228716817225955	1.0435755967848075	MID1IP1;TBC1D30;SHROOM2;BCOR;GAS2L2
superoxide metabolic process (GO:0006801)	2/32	0.034166921361855430439025127498098299838602542877197265625	0.626102894104041407530303331441245973110198974609375	0.03504773269637277699484201320956344716250896453857421875	0.57508263266828674176167623954825103282928466796875	-2.2212501147607897	1.0400793838873799	PRDX2;NRROS
negative regulation of neuron death (GO:1901215)	4/155	0.053382441757335030718678581251879222691059112548828125	0.626102894104041407530303331441245973110198974609375	0.04986529810671212759043413598192273639142513275146484375	0.57508263266828674176167623954825103282928466796875	-2.218206794552787	1.038654377947762	PRDX2;CITED1;AGAP2;CRHR1
chromatin modification (GO:0016568)	8/475	0.06940119692981128185493844284792430698871612548828125	0.626102894104041407530303331441245973110198974609375	0.059573627822831383415991268748257425613701343536376953125	0.57508263266828674176167623954825103282928466796875	-2.20099444780489	1.0305948591741472	PRMT8;HMGN5;SUV39H1;RBBP7;UBE2A;BCOR;BCORL1;PHF8
pattern specification process (GO:0007389)	7/385	0.062808599188419744763223206973634660243988037109375	0.626102894104041407530303331441245973110198974609375	0.0548666587241285197418250163536868058145046234130859375	0.57508263266828674176167623954825103282928466796875	-2.1929161103994326	1.026812253993547	CITED1;GPC3;HOXB3;UNCX;ROR2;BCOR;HOXA5
regulation of protein depolymerization (GO:1901879)	3/67	0.0232098336893345365272711688930939999409019947052001953125	0.626102894104041407530303331441245973110198974609375	0.0229749936270779962776966698356773122213780879974365234375	0.57508263266828674176167623954825103282928466796875	-2.182760282400002	1.0220568834666888	MID1IP1;SHROOM2;GAS2L2
learning or memory (GO:0007611)	5/198	0.035026209346478438810823519133919035084545612335205078125	0.626102894104041407530303331441245973110198974609375	0.032069554466214567067794405375025235116481781005859375	0.57508263266828674176167623954825103282928466796875	-2.1819137049117026	1.0216604815547239	MUSK;SOX6;CRHR1;SHANK2;AFF2
MAPK cascade (GO:0000165)	5/170	0.019787097604898447322785415281032328493893146514892578125	0.626102894104041407530303331441245973110198974609375	0.0182996663698588545032830410264068632386624813079833984375	0.57508263266828674176167623954825103282928466796875	-2.1741765015992303	1.0180376091907468	NDST1;RPS6KA3;MAP3K15;ROR2;DUSP9
