Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
oocyte development (GO:0048599)	2/13	0.013852761726710564882392162644464406184852123260498046875	0.7911937609406993754390668982523493468761444091796875	0.0153443374244415682572384440618407097645103931427001953125	0.64073737194455027132988789162482134997844696044921875	-2.686966892034179	0.6293209222380661	ZGLP1;ZFX
face development (GO:0060324)	2/12	0.01183033885482689430423963727889713481999933719635009765625	0.7911937609406993754390668982523493468761444091796875	0.01341027935646196649066563821861564065329730510711669921875	0.64073737194455027132988789162482134997844696044921875	-2.6511560893262143	0.6209335887532086	SOX3;HOXB3
regulation of coenzyme metabolic process (GO:0051196)	2/14	0.016013136091891720658164643964482820592820644378662109375	0.7911937609406993754390668982523493468761444091796875	0.01739027025668769821376002937540761195123195648193359375	0.64073737194455027132988789162482134997844696044921875	-2.6225581739336925	0.6142356028039724	PDHA1;PDK3
thyroid gland development (GO:0030878)	3/19	0.0022506310306044164694372344825978871085681021213531494140625	0.7911937609406993754390668982523493468761444091796875	0.0026583719891618193785498558412427883013151586055755615234375	0.64073737194455027132988789162482134997844696044921875	-2.615420297497941	0.6125638237453298	FOXE1;HOXB3;HOXA5
positive regulation of receptor biosynthetic process (GO:0010870)	2/11	0.00995020764609271836376169773075162083841860294342041015625	0.7911937609406993754390668982523493468761444091796875	0.0115913082502405138940471118758068769238889217376708984375	0.64073737194455027132988789162482134997844696044921875	-2.6119086791036303	0.6117413592285517	HDAC6;HOXA5
positive regulation of potassium ion transport (GO:0043268)	3/23	0.003946463850077260200610584917058076825924217700958251953125	0.7911937609406993754390668982523493468761444091796875	0.004322928758416929272134776596203664666973054409027099609375	0.64073737194455027132988789162482134997844696044921875	-2.6077842423401663	0.6107753650604096	DPP6;FHL1;AKAP6
male meiosis I (GO:0007141)	2/17	0.023279952727099317844050574421999044716358184814453125	0.7911937609406993754390668982523493468761444091796875	0.0241681281711778883636299042336759157478809356689453125	0.64073737194455027132988789162482134997844696044921875	-2.6054292693691727	0.6102238012259816	DDX4;HSPA2
regulation of acetyl-CoA biosynthetic process from pyruvate (GO:0010510)	2/12	0.01183033885482689430423963727889713481999933719635009765625	0.7911937609406993754390668982523493468761444091796875	0.01341027935646196649066563821861564065329730510711669921875	0.64073737194455027132988789162482134997844696044921875	-2.6045061597328396	0.6100075975171134	PDHA1;PDK3
regulation of cofactor metabolic process (GO:0051193)	2/14	0.016013136091891720658164643964482820592820644378662109375	0.7911937609406993754390668982523493468761444091796875	0.01739027025668769821376002937540761195123195648193359375	0.64073737194455027132988789162482134997844696044921875	-2.5988409899047595	0.6086807445843839	PDHA1;PDK3
regulation of acyl-CoA biosynthetic process (GO:0050812)	2/13	0.013852761726710564882392162644464406184852123260498046875	0.7911937609406993754390668982523493468761444091796875	0.0153443374244415682572384440618407097645103931427001953125	0.64073737194455027132988789162482134997844696044921875	-2.5927108865525472	0.6072449984624403	PDHA1;PDK3
