Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
mammary gland alveolus development (GO:0060749)	3/18	0.0002644386430118160252918102504082753512193448841571807861328125	0.1258195179438441613228860660456120967864990234375	0.000321586517969783066035749374833585534361191093921661376953125	0.10518735266006286332984842601945274509489536285400390625	-2.7430764712890965	5.686141859731107	DDR1;AGAP2;HOXA5
positive regulation of transcription factor import into nucleus (GO:0042993)	4/36	0.00012025462098546981014150769606629864938440732657909393310546875	0.1258195179438441613228860660456120967864990234375	0.00012613570900691205701853181420091232212143950164318084716796875	0.10518735266006286332984842601945274509489536285400390625	-2.491074446450961	5.163765149797196	MAVS;TNFSF14;SPHK1;AKAP6
positive regulation of protein import into nucleus (GO:0042307)	5/80	0.0002635704698457278882632592864609932803432457149028778076171875	0.1258195179438441613228860660456120967864990234375	0.00022309519583117376419385824437568999201175756752490997314453125	0.10518735266006286332984842601945274509489536285400390625	-2.271543252815055	4.708697446539461	MAVS;TNFSF14;SPHK1;LEP;AKAP6
positive regulation of protein localization to nucleus (GO:1900182)	5/84	0.000330886306229701931784503710076705829123966395854949951171875	0.1258195179438441613228860660456120967864990234375	0.0002766268314531567895468711082429535963456146419048309326171875	0.10518735266006286332984842601945274509489536285400390625	-2.265158748027754	4.695462963175728	MAVS;TNFSF14;LEP;SPHK1;AKAP6
tyrosine phosphorylation of STAT protein (GO:0007260)	2/9	0.0017441089407691369277120241321199500816874206066131591796875	0.183953330999340025631028083807905204594135284423828125	0.0021979333708205990582928990306754712946712970733642578125	0.1354050059385782933674136074841953814029693603515625	-2.4583599965225287	4.162183400048353	FER;LEP
positive regulation of nucleocytoplasmic transport (GO:0046824)	5/94	0.0005559285867690606612601111891081018256954848766326904296875	0.1691134760951482629565134629956446588039398193359375	0.0004530581521776881463205166600261009079986251890659332275390625	0.1354050059385782933674136074841953814029693603515625	-2.2705453467547807	4.035179888619465	MAVS;TNFSF14;LEP;SPHK1;AKAP6
regulation of protein localization to nucleus (GO:1900180)	6/156	0.000875172335753272097498556281180981386569328606128692626953125	0.183953330999340025631028083807905204594135284423828125	0.00063845152916022621970848494044048493378795683383941650390625	0.1354050059385782933674136074841953814029693603515625	-2.3787783529019295	4.0274458528645525	MAVS;TNFSF14;LEP;SPHK1;LMNA;AKAP6
cardiac muscle cell development (GO:0055013)	3/31	0.0013615997838878680405161336608443889417685568332672119140625	0.183953330999340025631028083807905204594135284423828125	0.0013614279542083509121075390879695987678132951259613037109375	0.1354050059385782933674136074841953814029693603515625	-2.3717585421469978	4.015560799480594	POPDC2;LMNA;LRRC10
cardiac cell development (GO:0055006)	3/33	0.00163566772152164033142518473340487616951577365398406982421875	0.183953330999340025631028083807905204594135284423828125	0.00160931639770093919648841218617008053115569055080413818359375	0.1354050059385782933674136074841953814029693603515625	-2.363710789971333	4.001935366036901	POPDC2;LMNA;LRRC10
single organismal cell-cell adhesion (GO:0016337)	7/235	0.0014692359059160458971404761285839413176290690898895263671875	0.183953330999340025631028083807905204594135284423828125	0.00098098961300083892776713323513604336767457425594329833984375	0.1354050059385782933674136074841953814029693603515625	-2.3051150841395796	3.902728547478175	NLGN3;FER;NLGN2;LEP;GNAS;PKP3;ITGAL
