Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
pigmentation (GO:0043473)	3/37	0.000387991969664357345959349032682439428754150867462158203125	0.30496168815618485137264315198990516364574432373046875	0.0003835509230999719211367693372238818483310751616954803466796875	0.2369938816062673314633002519258297979831695556640625	-2.4883661762186984	2.955106837264751	EDA;CITED1;SHROOM2
histone H2A ubiquitination (GO:0033522)	2/15	0.0014871171073635902799836561172241999884136021137237548828125	0.389624682129260657692526592654758132994174957275390625	0.00163555925990793000167344839468341888277791440486907958984375	0.37473097370531538441440488895750604569911956787109375	-2.6537320190354743	2.501331789587024	BCOR;UBE2A
organ morphogenesis (GO:0009887)	7/405	0.00094294151938092963215198860638111000298522412776947021484375	0.370576017116705347387295432781684212386608123779296875	0.000603037866682614082970703694996927879401482641696929931640625	0.2369938816062673314633002519258297979831695556640625	-2.3616571933948087	2.344409257276695	FGF16;SOX3;EDA;FHL1;SHROOM2;BCOR;FGD1
histone ubiquitination (GO:0016574)	2/32	0.006733845259059176475979757725554009084589779376983642578125	0.445386487081455839653898465257952921092510223388671875	0.006491010407968731028838238472644661669619381427764892578125	0.37473097370531538441440488895750604569911956787109375	-2.494282982382913	2.0174081612539974	BCOR;UBE2A
chromatin modification (GO:0016568)	6/475	0.009967906190436394420206767108538770116865634918212890625	0.445386487081455839653898465257952921092510223388671875	0.006981063483358573677761693687671140651218593120574951171875	0.37473097370531538441440488895750604569911956787109375	-2.3894208059650803	1.9325942840771233	SUV39H1;RBBP7;UBE2A;BCOR;SMARCA1;BCORL1
nitrogen compound transport (GO:0071705)	5/464	0.033296129577174864155875155802277731709182262420654296875	0.445386487081455839653898465257952921092510223388671875	0.0252131163981980689625661540276269079186022281646728515625	0.37473097370531538441440488895750604569911956787109375	-2.3084014694563466	1.8670648025200818	SLC6A8;FMR1;SLC25A5;CDK16;SLC7A3
brain development (GO:0007420)	4/187	0.005890040987262389927947570100741359055973589420318603515625	0.445386487081455839653898465257952921092510223388671875	0.00470620433779092052495318654337097541429102420806884765625	0.37473097370531538441440488895750604569911956787109375	-2.3019120038936567	1.8618160392960148	CITED1;SHROOM2;SMARCA1;AFF2
regulation of cell growth (GO:0001558)	4/322	0.035695651331875556666606286171372630633413791656494140625	0.445386487081455839653898465257952921092510223388671875	0.028534172446809058509842316198046319186687469482421875	0.37473097370531538441440488895750604569911956787109375	-2.2642283863574155	1.831337044691097	RPS6KA3;FHL1;RBBP7;TAF9B
positive regulation of growth (GO:0045927)	3/189	0.03650592723706176656595090435075690038502216339111328125	0.445386487081455839653898465257952921092510223388671875	0.030904002083950422863356521929745213128626346588134765625	0.37473097370531538441440488895750604569911956787109375	-2.247830172780898	1.818073958612689	RPS6KA3;ARX;TAF9B
MAPK cascade (GO:0000165)	3/170	0.02791506883965326479835056261435966007411479949951171875	0.445386487081455839653898465257952921092510223388671875	0.0236491382450860869457454072062319028191268444061279296875	0.37473097370531538441440488895750604569911956787109375	-2.2226470129795097	1.7977054950228248	RPS6KA3;MAP3K15;TAB3
regulation of skeletal muscle tissue development (GO:0048641)	2/61	0.023125611682963710669103107875343994237482547760009765625	0.445386487081455839653898465257952921092510223388671875	0.0211636139900201296348836166316687013022601604461669921875	0.37473097370531538441440488895750604569911956787109375	-2.217058035218534	1.7931850579161708	TSC22D3;MBNL3
intracellular receptor signaling pathway (GO:0030522)	3/186	0.03506867455620578388764130295385257340967655181884765625	0.445386487081455839653898465257952921092510223388671875	0.029688776600006204497983475221190019510686397552490234375	0.37473097370531538441440488895750604569911956787109375	-2.215851194003315	1.7922089492171511	MED14;TAB3;PDK3
