Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
negative regulation of microtubule depolymerization (GO:0007026)	3/23	0.0037528043351803021254742276369142928160727024078369140625	0.702018095522606966341072620707564055919647216796875	0.004927218880635498253484083619468947290442883968353271484375	0.6822016782154893821399355147150345146656036376953125	-2.793073984171404	0.9881786775581277	MID1IP1;FGF13;HDAC6
regulation of microtubule depolymerization (GO:0031114)	3/25	0.004775827229499659577760528605949730263091623783111572265625	0.702018095522606966341072620707564055919647216796875	0.00608766241282607777074442623188588186167180538177490234375	0.6822016782154893821399355147150345146656036376953125	-2.6902158818597814	0.9517878822929636	MID1IP1;FGF13;HDAC6
positive regulation of potassium ion transport (GO:0043268)	3/23	0.0037528043351803021254742276369142928160727024078369140625	0.702018095522606966341072620707564055919647216796875	0.004927218880635498253484083619468947290442883968353271484375	0.6822016782154893821399355147150345146656036376953125	-2.6151963702128125	0.9252462717840853	FHL1;KCNE1L;AKAP6
body morphogenesis (GO:0010171)	3/12	0.00052151741236448022343008545931297703646123409271240234375	0.702018095522606966341072620707564055919647216796875	0.0009609705184061415918217452514227261417545378208160400390625	0.6822016782154893821399355147150345146656036376953125	-2.6085617576175824	0.9228989717348852	OFD1;GPC3;GNAS
negative regulation of microtubule polymerization or depolymerization (GO:0031111)	3/32	0.00959493067245349544325261348376443493179976940155029296875	0.702018095522606966341072620707564055919647216796875	0.0113574159479190618660116030014251009561121463775634765625	0.6822016782154893821399355147150345146656036376953125	-2.5982512080500655	0.9192511395276947	MID1IP1;FGF13;HDAC6
face development (GO:0060324)	2/12	0.01143135168451718357285340488260771962814033031463623046875	0.702018095522606966341072620707564055919647216796875	0.01466013081249385556492637050496341544203460216522216796875	0.6822016782154893821399355147150345146656036376953125	-2.5748935194955167	0.910987280454339	SOX3;HOXB3
positive regulation of muscle cell apoptotic process (GO:0010661)	2/13	0.01338776619562095059057238444211179739795625209808349609375	0.702018095522606966341072620707564055919647216796875	0.0167676939346810792430542136344229220412671566009521484375	0.6822016782154893821399355147150345146656036376953125	-2.5382592652456775	0.8980262242406154	IL12A;RBM10
regulation of acetyl-CoA biosynthetic process from pyruvate (GO:0010510)	2/12	0.01143135168451718357285340488260771962814033031463623046875	0.702018095522606966341072620707564055919647216796875	0.01466013081249385556492637050496341544203460216522216796875	0.6822016782154893821399355147150345146656036376953125	-2.5238724942979314	0.8929362408137379	PDHA1;PDK3
regulation of coenzyme metabolic process (GO:0051196)	2/14	0.01547815991032049261211245294589389231987297534942626953125	0.702018095522606966341072620707564055919647216796875	0.01899577887329302605667891157281701453030109405517578125	0.6822016782154893821399355147150345146656036376953125	-2.516017345090134	0.8901571196733125	PDHA1;PDK3
regulation of acyl-CoA biosynthetic process (GO:0050812)	2/13	0.01338776619562095059057238444211179739795625209808349609375	0.702018095522606966341072620707564055919647216796875	0.0167676939346810792430542136344229220412671566009521484375	0.6822016782154893821399355147150345146656036376953125	-2.4919434905285325	0.8816398838610046	PDHA1;PDK3
