Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
negative regulation of cell-matrix adhesion (GO:0001953)	2/25	0.0025397896883343450136205632361452444456517696380615234375	0.280859953402916973086433927164762280881404876708984375	0.00322893898864568505702177247940198867581784725189208984375	0.305278739042982583118401862520840950310230255126953125	-2.61146374245123	3.3162955093665483	CASK;ARHGAP6
pigmentation (GO:0043473)	2/37	0.00550964695232536959268454523908076225779950618743896484375	0.280859953402916973086433927164762280881404876708984375	0.006655525162394526454689991368240953306667506694793701171875	0.305278739042982583118401862520840950310230255126953125	-2.44511079396233	3.10504404641275	EDA;SHROOM2
cellular protein complex assembly (GO:0043623)	4/256	0.00729674446309132827825916223218882805667817592620849609375	0.280859953402916973086433927164762280881404876708984375	0.00885007140880381300285240087077909265644848346710205078125	0.305278739042982583118401862520840950310230255126953125	-2.4059980276451953	3.0553747788721384	AIFM1;VMA21;FGF13;ARHGAP6
carbohydrate derivative biosynthetic process (GO:1901137)	5/377	0.005416359098400737141776328797959649818949401378631591796875	0.280859953402916973086433927164762280881404876708984375	0.006715512452551252418897487217464004061184823513031005859375	0.305278739042982583118401862520840950310230255126953125	-2.330654210511329	2.9596957317699775	CHST7;GK;GPC3;UPRT;HS6ST2
negative regulation of cytoskeleton organization (GO:0051494)	3/101	0.003472121873828727146860106955728042521513998508453369140625	0.280859953402916973086433927164762280881404876708984375	0.004241175145181845518305152609173092059791088104248046875	0.305278739042982583118401862520840950310230255126953125	-2.320790840954893	2.9471702474465657	SHROOM2;FGF13;ARHGAP6
regulation of peptidase activity (GO:0052547)	4/372	0.0253930878140278017129904952753349789418280124664306640625	0.280859953402916973086433927164762280881404876708984375	0.029995791482691651352876505143285612575709819793701171875	0.305278739042982583118401862520840950310230255126953125	-2.3197372602097537	2.9458323061850953	RPS6KA3;PCSK1N;AIFM1;GPC3
cognition (GO:0050890)	4/227	0.00479523613896639701315027792816181317903101444244384765625	0.280859953402916973086433927164762280881404876708984375	0.005872454337941181157223269337919191457331180572509765625	0.305278739042982583118401862520840950310230255126953125	-2.3063199460443773	2.9287936707290148	PTCHD1;FGF13;SHROOM4;AFF2
negative regulation of cell-substrate adhesion (GO:0010812)	2/42	0.007054760326679141400896266844711135490797460079193115234375	0.280859953402916973086433927164762280881404876708984375	0.00841267729250605444946131683536805212497711181640625	0.305278739042982583118401862520840950310230255126953125	-2.3028134352237006	2.924340755722337	CASK;ARHGAP6
negative regulation of protein depolymerization (GO:1901880)	2/52	0.01065847414560997137578102211818986688740551471710205078125	0.280859953402916973086433927164762280881404876708984375	0.01247538898149329333886470294601167552173137664794921875	0.305278739042982583118401862520840950310230255126953125	-2.2974320528904135	2.917506943031025	SHROOM2;FGF13
RNA splicing (GO:0008380)	4/313	0.01444243033772194505226504901429507299326360225677490234375	0.280859953402916973086433927164762280881404876708984375	0.0172606073512700623762139429118178668431937694549560546875	0.305278739042982583118401862520840950310230255126953125	-2.2959499500307317	2.9156248219132457	ZRSR2;MBNL3;RBMX;AFF2
