Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
pigmentation (GO:0043473)	3/37	0.000373349875736778157898909658030106584192253649234771728515625	0.3001733000923696437212129239924252033233642578125	0.0004061648486404221864050356760600379857351072132587432861328125	0.27319815484302389929638366083963774144649505615234375	-2.4883661762186984	2.994488171434201	EDA;CITED1;SHROOM2
histone H2A ubiquitination (GO:0033522)	2/15	0.00144911790749011081848307558317401344538666307926177978515625	0.388363599207349696751379042325424961745738983154296875	0.0016995619668562257642552282277392805553972721099853515625	0.405546449080792570374143224398721940815448760986328125	-2.6537320190354743	2.509934950174023	BCOR;UBE2A
organ morphogenesis (GO:0009887)	7/405	0.000872127095227104623918756853839795439853332936763763427734375	0.35059509228129603908286071600741706788539886474609375	0.00067959740010702465208558553655393552617169916629791259765625	0.27319815484302389929638366083963774144649505615234375	-2.3616571933948087	2.4753079419908155	FGF16;SOX3;EDA;FHL1;SHROOM2;BCOR;FGD1
histone ubiquitination (GO:0016574)	2/32	0.006565462927362154289812057328390437760390341281890869140625	0.440071087827560047944785992513061501085758209228515625	0.00673974960129045987111684468118255608715116977691650390625	0.405546449080792570374143224398721940815448760986328125	-2.494282982382913	2.0473548679941165	BCOR;UBE2A
chromatin modification (GO:0016568)	6/475	0.00937374147938761781428951280759065411984920501708984375	0.440071087827560047944785992513061501085758209228515625	0.007670962181210474496728668469813783303834497928619384765625	0.405546449080792570374143224398721940815448760986328125	-2.3894208059650803	1.9612820010123584	SUV39H1;RBBP7;UBE2A;BCOR;SMARCA1;BCORL1
nitrogen compound transport (GO:0071705)	5/464	0.031714871690129604886454472989498754031956195831298828125	0.440071087827560047944785992513061501085758209228515625	0.0271637951058694981920638156225322745740413665771484375	0.405546449080792570374143224398721940815448760986328125	-2.3084014694563466	1.8947797900866596	SLC6A8;FMR1;SLC25A5;CDK16;SLC7A3
brain development (GO:0007420)	4/187	0.0056243967475183738458088811285051633603870868682861328125	0.440071087827560047944785992513061501085758209228515625	0.005044880462692022567161576063199390773661434650421142578125	0.405546449080792570374143224398721940815448760986328125	-2.3019120038936567	1.8894531134407881	CITED1;SHROOM2;SMARCA1;AFF2
regulation of cell growth (GO:0001558)	4/322	0.0342598180386223527538192001884453929960727691650390625	0.440071087827560047944785992513061501085758209228515625	0.0303693628043338603728074076570919714868068695068359375	0.405546449080792570374143224398721940815448760986328125	-2.2642283863574155	1.8585216841076397	RPS6KA3;FHL1;RBBP7;TAF9B
positive regulation of growth (GO:0045927)	3/189	0.035321784713662617016805000957901938818395137786865234375	0.440071087827560047944785992513061501085758209228515625	0.03247567179850623098058548521294142119586467742919921875	0.405546449080792570374143224398721940815448760986328125	-2.247830172780898	1.8450617188072245	RPS6KA3;ARX;TAF9B
axon guidance (GO:0007411)	4/367	0.05110873298481620474742470605633570812642574310302734375	0.440071087827560047944785992513061501085758209228515625	0.045374447671290542294375569554176763631403446197509765625	0.405546449080792570374143224398721940815448760986328125	-2.230361609311314	1.830723189975925	RPS6KA3;PGRMC1;OPHN1;ARX
neuron projection guidance (GO:0097485)	4/367	0.05110873298481620474742470605633570812642574310302734375	0.440071087827560047944785992513061501085758209228515625	0.045374447671290542294375569554176763631403446197509765625	0.405546449080792570374143224398721940815448760986328125	-2.2279036139079693	1.8287056206423375	RPS6KA3;PGRMC1;OPHN1;ARX
MAPK cascade (GO:0000165)	3/170	0.0269915369453087895801335349688088172115385532379150390625	0.440071087827560047944785992513061501085758209228515625	0.024875171530796637286986339177019544877111911773681640625	0.405546449080792570374143224398721940815448760986328125	-2.2226470129795097	1.8243909027149825	RPS6KA3;MAP3K15;TAB3
regulation of skeletal muscle tissue development (GO:0048641)	2/61	0.022568633309953449461726648905823822133243083953857421875	0.440071087827560047944785992513061501085758209228515625	0.02194572311187771573859350837665260769426822662353515625	0.405546449080792570374143224398721940815448760986328125	-2.217058035218534	1.819803363567715	TSC22D3;MBNL3
