Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
negative regulation of microtubule depolymerization (GO:0007026)	3/23	0.00371479029529043526525189378162394859828054904937744140625	0.7037622197535344792385103573906235396862030029296875	0.004857722040145641233255258129020148771815001964569091796875	0.6845029595093470309308258947567082941532135009765625	-2.793073984171404	0.981248049121859	MID1IP1;FGF13;HDAC6
regulation of microtubule depolymerization (GO:0031114)	3/25	0.004727798482577582998842569139696934144012629985809326171875	0.7037622197535344792385103573906235396862030029296875	0.00600239907575425384045342269700995530001819133758544921875	0.6845029595093470309308258947567082941532135009765625	-2.6902158818597814	0.9451124820722099	MID1IP1;FGF13;HDAC6
positive regulation of potassium ion transport (GO:0043268)	3/23	0.00371479029529043526525189378162394859828054904937744140625	0.7037622197535344792385103573906235396862030029296875	0.004857722040145641233255258129020148771815001964569091796875	0.6845029595093470309308258947567082941532135009765625	-2.6151963702128125	0.9187570221499762	FHL1;KCNE1L;AKAP6
body morphogenesis (GO:0010171)	3/12	0.000516023738753414347446568655186638352461159229278564453125	0.7037622197535344792385103573906235396862030029296875	0.0009468897195649733818101356774832311202771961688995361328125	0.6845029595093470309308258947567082941532135009765625	-2.6085617576175824	0.9164261849782284	OFD1;GPC3;GNAS
negative regulation of microtubule polymerization or depolymerization (GO:0031111)	3/32	0.009500868835044369575815181860889424569904804229736328125	0.7037622197535344792385103573906235396862030029296875	0.01120224554473118853958890639432866009883582592010498046875	0.6845029595093470309308258947567082941532135009765625	-2.5982512080500655	0.9128039369798454	MID1IP1;FGF13;HDAC6
face development (GO:0060324)	2/12	0.01135229491409285064451584190692301490344107151031494140625	0.7037622197535344792385103573906235396862030029296875	0.01451890235602792955660333973355591297149658203125	0.6845029595093470309308258947567082941532135009765625	-2.5748935194955167	0.904598036793873	SOX3;HOXB3
positive regulation of muscle cell apoptotic process (GO:0010661)	2/13	0.01329561623552226456990155156745458953082561492919921875	0.7037622197535344792385103573906235396862030029296875	0.0166069043002524570351585708749553305096924304962158203125	0.6845029595093470309308258947567082941532135009765625	-2.5241760535893882	0.8867802436531171	IL12A;RBM10
regulation of acetyl-CoA biosynthetic process from pyruvate (GO:0010510)	2/12	0.01135229491409285064451584190692301490344107151031494140625	0.7037622197535344792385103573906235396862030029296875	0.01451890235602792955660333973355591297149658203125	0.6845029595093470309308258947567082941532135009765625	-2.5238724942979314	0.8866735988008063	PDHA1;PDK3
regulation of acyl-CoA biosynthetic process (GO:0050812)	2/13	0.01329561623552226456990155156745458953082561492919921875	0.7037622197535344792385103573906235396862030029296875	0.0166069043002524570351585708749553305096924304962158203125	0.6845029595093470309308258947567082941532135009765625	-2.4919434905285325	0.875456469273741	PDHA1;PDK3
regulation of coenzyme metabolic process (GO:0051196)	2/14	0.01537212544647320773549825645432065357454121112823486328125	0.7037622197535344792385103573906235396862030029296875	0.0188144622927411304946776482438508537597954273223876953125	0.6845029595093470309308258947567082941532135009765625	-2.4893821378792444	0.874556628344188	PDHA1;PDK3
