Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
negative regulation of cell-matrix adhesion (GO:0001953)	2/25	0.002457007565169568030771785061006085015833377838134765625	0.2707377334961613701835858591948635876178741455078125	0.0033713332898486457478437472445875755511224269866943359375	0.306603696153366300780618303178925998508930206298828125	-2.61146374245123	3.412150799176304	CASK;ARHGAP6
pigmentation (GO:0043473)	2/37	0.005332174488400477467553439936409631627611815929412841796875	0.2707377334961613701835858591948635876178741455078125	0.00694520416239671582736558974602303351275622844696044921875	0.306603696153366300780618303178925998508930206298828125	-2.44511079396233	3.1947932548594373	EDA;SHROOM2
cellular protein complex assembly (GO:0043623)	4/256	0.0068780729534276587033847505381345399655401706695556640625	0.2707377334961613701835858591948635876178741455078125	0.00955524313107798672906056935971719212830066680908203125	0.306603696153366300780618303178925998508930206298828125	-2.4008871829143996	3.1370104768232316	AIFM1;VMA21;FGF13;ARHGAP6
negative regulation of proteolysis (GO:0045861)	4/302	0.01210044667358268523360553814427476027049124240875244140625	0.2707377334961613701835858591948635876178741455078125	0.0165363162273661316870043691551472875289618968963623046875	0.306603696153366300780618303178925998508930206298828125	-2.3877114903042624	3.119795054936048	RPS6KA3;PCSK1N;OPHN1;GPC3
negative regulation of protein maturation (GO:1903318)	4/316	0.0140850181628840720460260627078241668641567230224609375	0.2707377334961613701835858591948635876178741455078125	0.0191628259882961858584504710734108812175691127777099609375	0.306603696153366300780618303178925998508930206298828125	-2.35253292762757	3.0738305796113856	RPS6KA3;PCSK1N;OPHN1;GPC3
negative regulation of protein processing (GO:0010955)	4/316	0.0140850181628840720460260627078241668641567230224609375	0.2707377334961613701835858591948635876178741455078125	0.0191628259882961858584504710734108812175691127777099609375	0.306603696153366300780618303178925998508930206298828125	-2.350083421434384	3.070630043307243	RPS6KA3;PCSK1N;OPHN1;GPC3
carbohydrate derivative biosynthetic process (GO:1901137)	5/377	0.00504125924682981285673832871907507069408893585205078125	0.2707377334961613701835858591948635876178741455078125	0.007371146144947562060811829809381379163824021816253662109375	0.306603696153366300780618303178925998508930206298828125	-2.330654210511329	3.0452437450022782	CHST7;GK;GPC3;UPRT;HS6ST2
negative regulation of cytoskeleton organization (GO:0051494)	3/101	0.0033105388177417228827426054493798801559023559093475341796875	0.2707377334961613701835858591948635876178741455078125	0.00451248482092857228220594834056100808084011077880859375	0.306603696153366300780618303178925998508930206298828125	-2.3178569106376945	3.0285227328429696	SHROOM2;FGF13;ARHGAP6
regulation of small GTPase mediated signal transduction (GO:0051056)	4/256	0.0068780729534276587033847505381345399655401706695556640625	0.2707377334961613701835858591948635876178741455078125	0.00955524313107798672906056935971719212830066680908203125	0.306603696153366300780618303178925998508930206298828125	-2.3116404209527497	3.0204002382045236	OPHN1;IQSEC2;ARHGAP6;FGD1
cognition (GO:0050890)	4/227	0.00451504823853719761128644449854618869721889495849609375	0.2707377334961613701835858591948635876178741455078125	0.006350255344091636222625396612784243188798427581787109375	0.306603696153366300780618303178925998508930206298828125	-2.3063199460443773	3.0134484806842146	PTCHD1;FGF13;SHROOM4;AFF2
regulation of peptidase activity (GO:0052547)	4/372	0.0240417180943297802142577523909494630061089992523193359375	0.2707377334961613701835858591948635876178741455078125	0.032187656957871700613704746274379431270062923431396484375	0.306603696153366300780618303178925998508930206298828125	-2.304504861730338	3.0110768829890047	RPS6KA3;PCSK1N;AIFM1;GPC3
actin cytoskeleton organization (GO:0030036)	4/253	0.006602305579836878317301351870582948322407901287078857421875	0.2707377334961613701835858591948635876178741455078125	0.00918306965591068023735399350471197976730763912200927734375	0.306603696153366300780618303178925998508930206298828125	-2.3035094933024713	3.0097763299231475	IQSEC2;OPHN1;SHROOM4;FGD1
negative regulation of cell-substrate adhesion (GO:0010812)	2/42	0.0068286391984918280717575811422648257575929164886474609375	0.2707377334961613701835858591948635876178741455078125	0.00877682967485892383263657023917403421364724636077880859375	0.306603696153366300780618303178925998508930206298828125	-2.298633691491757	3.0034055843621013	CASK;ARHGAP6
negative regulation of protein depolymerization (GO:1901880)	2/52	0.0103202230262648374237155479704597382806241512298583984375	0.2707377334961613701835858591948635876178741455078125	0.0130094747641359385903481182822361006401479244232177734375	0.306603696153366300780618303178925998508930206298828125	-2.286040677250701	2.986951492770416	SHROOM2;FGF13
RNA splicing (GO:0008380)	4/313	0.01364342787257450360927091281837419955991208553314208984375	0.2707377334961613701835858591948635876178741455078125	0.0185794439160033471314381614547528442926704883575439453125	0.306603696153366300780618303178925998508930206298828125	-2.2837121384619885	2.983909013045478	ZRSR2;MBNL3;RBMX;AFF2
negative regulation of protein complex disassembly (GO:0043242)	2/56	0.011895888349910233028339234806480817496776580810546875	0.2707377334961613701835858591948635876178741455078125	0.01490622688654420942289124951685153064318001270294189453125	0.306603696153366300780618303178925998508930206298828125	-2.283049491248288	2.9830431950817644	SHROOM2;FGF13
tube morphogenesis (GO:0035239)	3/101	0.0033105388177417228827426054493798801559023559093475341796875	0.2707377334961613701835858591948635876178741455078125	0.00451248482092857228220594834056100808084011077880859375	0.306603696153366300780618303178925998508930206298828125	-2.2810530337869905	2.9804346143799343	ZIC3;GPC3;PRKX
actin filament-based process (GO:0030029)	4/303	0.01223582176775966055826128098260596743784844875335693359375	0.2707377334961613701835858591948635876178741455078125	0.016715877397637114720740925122299813665449619293212890625	0.306603696153366300780618303178925998508930206298828125	-2.2810160395945687	2.980386277594252	IQSEC2;OPHN1;SHROOM4;FGD1
