Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
pigmentation (GO:0043473)	3/37	0.0004029988652888764726067716281932007404975593090057373046875	0.324011087692256671832780057229683734476566314697265625	0.0004061648486404221864050356760600379857351072132587432861328125	0.27319815484302389929638366083963774144649505615234375	-2.4883661762186984	2.8043327981223984	EDA;CITED1;SHROOM2
histone H2A ubiquitination (GO:0033522)	2/15	0.00152559117566687988364060313273284918977878987789154052734375	0.408858435078723825295554661352070979773998260498046875	0.0016995619668562257642552282277392805553972721099853515625	0.392548165456408193474402423817082308232784271240234375	-2.6537320190354743	2.373461581217903	BCOR;UBE2A
organ morphogenesis (GO:0009887)	7/405	0.00101820605939123760320941247670134544023312628269195556640625	0.408858435078723825295554661352070979773998260498046875	0.00067959740010702465208558553655393552617169916629791259765625	0.27319815484302389929638366083963774144649505615234375	-2.3616571933948087	2.1122338564414584	FGF16;SOX3;EDA;FHL1;SHROOM2;BCOR;FGD1
histone ubiquitination (GO:0016574)	2/32	0.006904186260787397409754984067831173888407647609710693359375	0.450920629152658680727228102114167995750904083251953125	0.00673974960129045987111684468118255608715116977691650390625	0.392548165456408193474402423817082308232784271240234375	-2.494282982382913	1.9866064604591473	BCOR;UBE2A
chromatin modification (GO:0016568)	6/475	0.01058837400676391170273316078009884222410619258880615234375	0.450920629152658680727228102114167995750904083251953125	0.007670962181210474496728668469813783303834497928619384765625	0.392548165456408193474402423817082308232784271240234375	-2.3894208059650803	1.9030875179009719	SUV39H1;RBBP7;UBE2A;BCOR;SMARCA1;BCORL1
brain development (GO:0007420)	4/187	0.00616391562836441676831444880235721939243376255035400390625	0.450920629152658680727228102114167995750904083251953125	0.005044880462692022567161576063199390773661434650421142578125	0.392548165456408193474402423817082308232784271240234375	-2.3019120038936567	1.8333899123085031	CITED1;SHROOM2;SMARCA1;AFF2
nitrogen compound transport (GO:0071705)	5/464	0.034925605432418911633352109902261872775852680206298828125	0.450920629152658680727228102114167995750904083251953125	0.0271637951058694981920638156225322745740413665771484375	0.392548165456408193474402423817082308232784271240234375	-2.2984905050469338	1.8306648118442166	SLC6A8;FMR1;SLC25A5;CDK16;SLC7A3
regulation of cell growth (GO:0001558)	4/322	0.037165846993676143750207074845093302428722381591796875	0.450920629152658680727228102114167995750904083251953125	0.0303693628043338603728074076570919714868068695068359375	0.392548165456408193474402423817082308232784271240234375	-2.2642283863574155	1.8033762696786486	RPS6KA3;FHL1;RBBP7;TAF9B
positive regulation of growth (GO:0045927)	3/189	0.037710297002942587407670060883901896886527538299560546875	0.450920629152658680727228102114167995750904083251953125	0.03247567179850623098058548521294142119586467742919921875	0.392548165456408193474402423817082308232784271240234375	-2.247830172780898	1.7903156838264467	RPS6KA3;ARX;TAF9B
MAPK cascade (GO:0000165)	3/170	0.028855280523487236710167280762107111513614654541015625	0.450920629152658680727228102114167995750904083251953125	0.024875171530796637286986339177019544877111911773681640625	0.392548165456408193474402423817082308232784271240234375	-2.2226470129795097	1.770258205060177	RPS6KA3;MAP3K15;TAB3
regulation of skeletal muscle tissue development (GO:0048641)	2/61	0.02368824757768091260334841763324220664799213409423828125	0.450920629152658680727228102114167995750904083251953125	0.02194572311187771573859350837665260769426822662353515625	0.392548165456408193474402423817082308232784271240234375	-2.217058035218534	1.7658067857923	TSC22D3;MBNL3
intracellular receptor signaling pathway (GO:0030522)	3/186	0.036229434370236381079966037077610963024199008941650390625	0.450920629152658680727228102114167995750904083251953125	0.03120325102240996406610662461389438249170780181884765625	0.392548165456408193474402423817082308232784271240234375	-2.215851194003315	1.7648455802787972	MED14;TAB3;PDK3
amino acid transmembrane transport (GO:0003333)	2/46	0.01390935939709114950446622316349021275527775287628173828125	0.450920629152658680727228102114167995750904083251953125	0.01312041253974047770591848660615141852758824825286865234375	0.392548165456408193474402423817082308232784271240234375	-2.2030760977243977	1.7546706767173583	SLC6A8;SLC7A3
neuron projection guidance (GO:0097485)	4/367	0.055261320036657353427234085074815084226429462432861328125	0.450920629152658680727228102114167995750904083251953125	0.045374447671290542294375569554176763631403446197509765625	0.392548165456408193474402423817082308232784271240234375	-2.2000241198550095	1.7522398863879014	RPS6KA3;PGRMC1;OPHN1;ARX
axon guidance (GO:0007411)	4/367	0.055261320036657353427234085074815084226429462432861328125	0.450920629152658680727228102114167995750904083251953125	0.045374447671290542294375569554176763631403446197509765625	0.392548165456408193474402423817082308232784271240234375	-2.1974149720168055	1.7501617942114005	RPS6KA3;PGRMC1;OPHN1;ARX
response to lipopolysaccharide (GO:0032496)	3/228	0.059698367767797543004260063526089652441442012786865234375	0.450920629152658680727228102114167995750904083251953125	0.0514381626947771619651206265189102850854396820068359375	0.392548165456408193474402423817082308232784271240234375	-2.1709268174432026	1.7290649341625508	RPS6KA3;OTUD5;CITED1
negative regulation of organelle organization (GO:0010639)	3/237	0.065468115352747824342571902889176271855831146240234375	0.450920629152658680727228102114167995750904083251953125	0.056436031575968943763133012225807760842144489288330078125	0.392548165456408193474402423817082308232784271240234375	-2.1690780890728987	1.7275924886742	SHROOM2;BCOR;SLC25A5
signal transduction by phosphorylation (GO:0023014)	3/202	0.04448058278648626961970791171552264131605625152587890625	0.450920629152658680727228102114167995750904083251953125	0.03830033653397536819174007405308657325804233551025390625	0.392548165456408193474402423817082308232784271240234375	-2.1522266232533487	1.714170903753093	RPS6KA3;MAP3K15;TAB3
response to molecule of bacterial origin (GO:0002237)	3/243	0.06945273395963193208135777467759908176958560943603515625	0.450920629152658680727228102114167995750904083251953125	0.05989295504385393209556553983929916284978389739990234375	0.392548165456408193474402423817082308232784271240234375	-2.150175815983383	1.712537509707411	RPS6KA3;OTUD5;CITED1
negative regulation of metanephros development (GO:0072217)	1/9	0.0345641996106278437395076252869330346584320068359375	0.450920629152658680727228102114167995750904083251953125	0.035746052138517725449418094285647384822368621826171875	0.392548165456408193474402423817082308232784271240234375	-2.1437379665486556	1.7074099947586963	CITED1
central nervous system development (GO:0007417)	3/108	0.00868779128350611988540475039144439506344497203826904296875	0.450920629152658680727228102114167995750904083251953125	0.00760948878979932075150571790800313465297222137451171875	0.392548165456408193474402423817082308232784271240234375	-2.1413494920528313	1.7055076609427018	RPS6KA3;SOX3;FMR1
regulation of peptide transport (GO:0090087)	3/231	0.0615936619178822086784208522658445872366428375244140625	0.450920629152658680727228102114167995750904083251953125	0.05307888807455597712792183529018075205385684967041015625	0.392548165456408193474402423817082308232784271240234375	-2.133679457645835	1.6993987550918004	EDA;SLC25A5;CDK16
toll-like receptor 9 signaling pathway (GO:0034162)	2/73	0.0330165320804767514761834945602458901703357696533203125	0.450920629152658680727228102114167995750904083251953125	0.0303360700333341649914675741683822707273066043853759765625	0.392548165456408193474402423817082308232784271240234375	-2.1235786278108657	1.691353808328391	RPS6KA3;TAB3
MyD88-dependent toll-like receptor signaling pathway (GO:0002755)	2/82	0.0408012872477205856824866714305244386196136474609375	0.450920629152658680727228102114167995750904083251953125	0.03733228087489515178987176113878376781940460205078125	0.392548165456408193474402423817082308232784271240234375	-2.1206403510034524	1.6890135767951397	RPS6KA3;TAB3
toll-like receptor 5 signaling pathway (GO:0034146)	2/65	0.026657213493919397484521738306284532882273197174072265625	0.450920629152658680727228102114167995750904083251953125	0.02461775949541041008661323985506896860897541046142578125	0.392548165456408193474402423817082308232784271240234375	-2.1150824358025044	1.684586897736319	RPS6KA3;TAB3
toll-like receptor 10 signaling pathway (GO:0034166)	2/65	0.026657213493919397484521738306284532882273197174072265625	0.450920629152658680727228102114167995750904083251953125	0.02461775949541041008661323985506896860897541046142578125	0.392548165456408193474402423817082308232784271240234375	-2.1117053805216948	1.681897194969805	RPS6KA3;TAB3
toll-like receptor 2 signaling pathway (GO:0034134)	2/73	0.0330165320804767514761834945602458901703357696533203125	0.450920629152658680727228102114167995750904083251953125	0.0303360700333341649914675741683822707273066043853759765625	0.392548165456408193474402423817082308232784271240234375	-2.1102110720275498	1.6807070321336894	RPS6KA3;TAB3
toll-like receptor TLR6:TLR2 signaling pathway (GO:0038124)	2/71	0.031375587804151873483338164305678219534456729888916015625	0.450920629152658680727228102114167995750904083251953125	0.0288609760404483807472164613727727555669844150543212890625	0.392548165456408193474402423817082308232784271240234375	-2.1040272425543884	1.6757818349253024	RPS6KA3;TAB3
toll-like receptor TLR1:TLR2 signaling pathway (GO:0038123)	2/71	0.031375587804151873483338164305678219534456729888916015625	0.450920629152658680727228102114167995750904083251953125	0.0288609760404483807472164613727727555669844150543212890625	0.392548165456408193474402423817082308232784271240234375	-2.1010206291461224	1.6733871757534478	RPS6KA3;TAB3
stress-activated protein kinase signaling cascade (GO:0031098)	2/91	0.049202174278312645061550512082249042578041553497314453125	0.450920629152658680727228102114167995750904083251953125	0.044882777586245307943624283097960869781672954559326171875	0.392548165456408193474402423817082308232784271240234375	-2.091079713584989	1.6654695949432063	RPS6KA3;TAB3
TRIF-dependent toll-like receptor signaling pathway (GO:0035666)	2/76	0.03553974584059478580844171347052906639873981475830078125	0.450920629152658680727228102114167995750904083251953125	0.032603904310278770950493054670005221851170063018798828125	0.392548165456408193474402423817082308232784271240234375	-2.0884833846101953	1.663401712529209	RPS6KA3;TAB3
establishment of vesicle localization (GO:0051650)	2/95	0.0531203074478108494549388751693186350166797637939453125	0.450920629152658680727228102114167995750904083251953125	0.048405537877545250224908812697321991436183452606201171875	0.392548165456408193474402423817082308232784271240234375	-2.081846479723259	1.6581156570900446	OPHN1;SHROOM2
stress-activated MAPK cascade (GO:0051403)	2/89	0.047284705049431711987306670152975129894912242889404296875	0.450920629152658680727228102114167995750904083251953125	0.0431591468597558591824281393201090395450592041015625	0.392548165456408193474402423817082308232784271240234375	-2.0750852013235837	1.6527305426324517	RPS6KA3;TAB3
MyD88-independent toll-like receptor signaling pathway (GO:0002756)	2/79	0.038135325044305813657619097511997097171843051910400390625	0.450920629152658680727228102114167995750904083251953125	0.034936513029982067812806434403682942502200603485107421875	0.392548165456408193474402423817082308232784271240234375	-2.0750682766553257	1.6527170627444279	RPS6KA3;TAB3
