Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
proteolysis involved in cellular protein catabolic process (GO:0051603)	3/391	0.002299186764649818227879141119274208904244005680084228515625	0.0442593452195089998024712940605240873992443084716796875	0.002167451835636733346868165739351752563379704952239990234375	0.041723447836007114541967411014411482028663158416748046875	-2.4574701555961274	7.661627029116668	USP51;UBE2A;UCHL5
modification-dependent macromolecule catabolic process (GO:0043632)	3/368	0.00193427413863570397782598586644553506630472838878631591796875	0.0442593452195089998024712940605240873992443084716796875	0.001824295513577760263768112736215698532760143280029296875	0.041723447836007114541967411014411482028663158416748046875	-2.456254985686654	7.657838507574631	USP51;UBE2A;UCHL5
modification-dependent protein catabolic process (GO:0019941)	3/364	0.00187481963640614827416863708009486799710430204868316650390625	0.0442593452195089998024712940605240873992443084716796875	0.0017683965113227521383232332397028585546649992465972900390625	0.041723447836007114541967411014411482028663158416748046875	-2.4556197797964634	7.655858133324203	USP51;UBE2A;UCHL5
ubiquitin-dependent protein catabolic process (GO:0006511)	3/355	0.0017452948277499567841797301070982939563691616058349609375	0.0442593452195089998024712940605240873992443084716796875	0.001646626467356600460878457425906162825413048267364501953125	0.041723447836007114541967411014411482028663158416748046875	-2.4541606204352076	7.651308928616048	USP51;UBE2A;UCHL5
aminoglycan biosynthetic process (GO:0006023)	2/100	0.0021658055991916566086763484832999893114902079105377197265625	0.0442593452195089998024712940605240873992443084716796875	0.0021919790656212624797849475299926780280657112598419189453125	0.041723447836007114541967411014411482028663158416748046875	-2.181605408904745	6.801566615028583	GPC4;HS6ST2
glycosaminoglycan biosynthetic process (GO:0006024)	2/99	0.0021233378353298047735986386896911426447331905364990234375	0.0442593452195089998024712940605240873992443084716796875	0.0021498028738785404136157897170278374687768518924713134765625	0.041723447836007114541967411014411482028663158416748046875	-2.178744753253369	6.792647981119777	GPC4;HS6ST2
protein deubiquitination (GO:0016579)	2/80	0.00139371126814020053312492830599467197316698729991912841796875	0.0442593452195089998024712940605240873992443084716796875	0.0014238418387496729229646508230189283494837582111358642578125	0.041723447836007114541967411014411482028663158416748046875	-2.1413302735958535	6.676001279237523	USP51;UCHL5
protein modification by small protein removal (GO:0070646)	2/93	0.0018770245670004736225633390489520024857483804225921630859375	0.0442593452195089998024712940605240873992443084716796875	0.00190503588105383147265070586939827990136109292507171630859375	0.041723447836007114541967411014411482028663158416748046875	-2.1377867497662373	6.66495367489959	USP51;UCHL5
negative regulation of myoblast differentiation (GO:0045662)	1/14	0.00975869216686491534884506648950264207087457180023193359375	0.10727591779500426916182931336152250878512859344482421875	0.0104623452842422214048578865686067729257047176361083984375	0.10694778868315081565842916688779951073229312896728515625	-2.6464842817291823	5.9078820778834515	MBNL3
regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902108)	1/16	0.01114554990077966378780871536946506239473819732666015625	0.10727591779500426916182931336152250878512859344482421875	0.01184985541093770688991781980803352780640125274658203125	0.1140548583302754270807355396755156107246875762939453125	-2.6089036060076007	5.823988815375498	MTCH2
forebrain morphogenesis (GO:0048853)	1/12	0.00837002849309591116788720199792805942706763744354248046875	0.10727591779500426916182931336152250878512859344482421875	0.00907308196056561509779125884733730345033109188079833984375	0.10694778868315081565842916688779951073229312896728515625	-2.5443548142914274	5.679893249661483	UCHL5
histone H2A ubiquitination (GO:0033522)	1/15	0.0104523466401661123403865616410257644020020961761474609375	0.10727591779500426916182931336152250878512859344482421875	0.01115631937453913195834598326428022119216620922088623046875	0.10694778868315081565842916688779951073229312896728515625	-2.524467889933647	5.635498652342814	UBE2A
protein K11-linked ubiquitination (GO:0070979)	1/26	0.0180528252715801591776756396257042069919407367706298828125	0.12438600880969440110046519976094714365899562835693359375	0.01876117684794344209198158068829798139631748199462890625	0.1280465654873862157980823894831701181828975677490234375	-2.7016640615931573	5.631255563518101	UBE2A
regulation of myoblast differentiation (GO:0045661)	1/27	0.0187410830294371388848873039023601450026035308837890625	0.12438600880969440110046519976094714365899562835693359375	0.019449910493353629592494513644851394928991794586181640625	0.1280465654873862157980823894831701181828975677490234375	-2.6245429145008727	5.4705068994624275	MBNL3
nucleotide-binding oligomerization domain containing signaling pathway (GO:0070423)	1/28	0.019428892814468960714702205905268783681094646453857421875	0.12438600880969440110046519976094714365899562835693359375	0.0201382090256600164435152322539579472504556179046630859375	0.1280465654873862157980823894831701181828975677490234375	-2.6230426851335724	5.467379873015556	TAB3
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	1/34	0.0235463591689399724671272196019344846718013286590576171875	0.12438600880969440110046519976094714365899562835693359375	0.0242588765499737214759168324462734744884073734283447265625	0.1280465654873862157980823894831701181828975677490234375	-2.5623304025616087	5.340833281280666	TAB3
lateral ventricle development (GO:0021670)	1/11	0.00767501875097178522244778520189356640912592411041259765625	0.10727591779500426916182931336152250878512859344482421875	0.008377792234009036331787712015284341759979724884033203125	0.10694778868315081565842916688779951073229312896728515625	-2.3680058748205166	5.28622050195364	UCHL5
Fc-epsilon receptor signaling pathway (GO:0038095)	1/295	0.187879238495341882586586734760203398764133453369140625	0.221543969416043040610020398162305355072021484375	0.18910535793843130658586915160412900149822235107421875	0.2229890375850451800232576715643517673015594482421875	-3.484141021774626	5.25106809737653	TAB3
postreplication repair (GO:0006301)	1/21	0.01460480747034339187029328144262763089500367641448974609375	0.12438600880969440110046519976094714365899562835693359375	0.01531097338887642267390987171893357299268245697021484375	0.1280465654873862157980823894831701181828975677490234375	-2.5013553116760634	5.2137389009442865	UBE2A
aminoglycan metabolic process (GO:0006022)	2/171	0.0061817768369685117957335052096823346801102161407470703125	0.0951993632893150809604065898383851163089275360107421875	0.006165331864926113826508302651063786470331251621246337890625	0.09494611071986215622420246518231579102575778961181640625	-2.2134594956376974	5.205574255669126	GPC4;HS6ST2
heparan sulfate proteoglycan metabolic process (GO:0030201)	1/24	0.01667496476353151624305581890439498238265514373779296875	0.12438600880969440110046519976094714365899562835693359375	0.017382403246567444676795588520690216682851314544677734375	0.1280465654873862157980823894831701181828975677490234375	-2.4964261083360677	5.203464639193292	HS6ST2
glycosaminoglycan metabolic process (GO:0030203)	2/162	0.005566339437344888611824966773156120325438678264617919921875	0.0951993632893150809604065898383851163089275360107421875	0.0055574489895590904742217475131838000379502773284912109375	0.09494611071986215622420246518231579102575778961181640625	-2.2081113946696025	5.192996687942633	GPC4;HS6ST2
regulation of mitochondrial membrane permeability (GO:0046902)	1/29	0.0201162548972602835128942189157896791584789752960205078125	0.12438600880969440110046519976094714365899562835693359375	0.0208260726908874767293600172024525818414986133575439453125	0.1280465654873862157980823894831701181828975677490234375	-2.4736536207245434	5.1559984499728895	MTCH2
antigen processing and presentation (GO:0019882)	2/225	0.0104891441474034251279956464486531331203877925872802734375	0.10727591779500426916182931336152250878512859344482421875	0.0104169924042030008493053827578478376381099224090576171875	0.10694778868315081565842916688779951073229312896728515625	-2.293111675477548	5.119030354220492	UBE2A;RAB33A
regulation of membrane permeability (GO:0090559)	1/30	0.020803169543864581669811997244323720224201679229736328125	0.12438600880969440110046519976094714365899562835693359375	0.0215135017326279383287346291808717069216072559356689453125	0.1280465654873862157980823894831701181828975677490234375	-2.4235481420144716	5.051560315061903	MTCH2
