Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
pattern specification process (GO:0007389)	55/385	0.00000000000724024773555254731597727438782032926938014849582714305142872035503387451171875	0.0000000136514871053843277599033784208172603857889271239400841295719146728515625	0.0000000001400676882985721835990059813283168006770029734298077528364956378936767578125	0.000000264097626286957828562504228819829421581744099967181682586669921875	-2.377099561671213	43.04788810613562	MESP1;RARG;FLT1;CITED1;IHH;HOXC13;PKD2;PCSK5;GLI2;FGF8;ZIC3;SIX2;PITX2;FEZF2;MNX1;HOXA5;ATP6AP2;WNT5A;HNF1B;PAX1;GREM1;DMRTA2;SFRP2;RIPPLY2;NRG3;PAX7;ALDH1A2;ROR2;NBL1;HOXB7;FOXC2;FOXG1;HOXD11;HOXD10;EFNB1;RELN;T;GBX2;ERBB4;NKX2-1;GPC3;ALX4;TBX1;CDX4;IRX3;WNT7B;IRX4;PCDH8;NR2F2;NFATC4;BMP2;WT1;BCOR;MDGA2;HOXD8
synaptic transmission (GO:0007268)	60/434	0.000000000003265134388926068212020804235585393743811211120231519089429639279842376708984375	0.000000012312821780640203624157094143033719380042612101533450186252593994140625	0.000000000064061791664312565533158310996579391793925850606683525256812572479248046875	0.0000002415770163661226841602508962070228193397269933484494686126708984375	-2.3519823419881876	42.83577168700606	KCNK9;KCNC4;GRIK3;HTR2C;SLC6A1;SLC6A2;RPS6KA3;HTR7;GRM7;DLGAP2;SLC18A3;KCNH3;KCNH5;GRID1;TMOD2;CARTPT;GABRG3;SYN1;ARHGEF9;KCNQ1;KCNMA1;NAPB;SHC3;MAOA;CHRNA4;KCNA2;SLC1A2;ADCY7;ADCY5;APOE;NPTX1;CACNG2;NPTX2;DRD2;ASIC2;GRIA3;DRD5;KCNJ4;KCNF1;SLC12A5;EGR3;KCNIP1;GABRA5;KCNB1;GAD1;KCNB2;PCDH8;GRIN2C;SLC6A5;DLG1;GRIN3B;GRIN3A;GNAL;DLG3;KCNS2;P2RX2;KCNS3;APBA2;FGF12;KCNK2
organ morphogenesis (GO:0009887)	56/405	0.000000000017377266993795881876565633264049011257046384315572140621952712535858154296875	0.0000000218432246112014230083174667028378390654097529477439820766448974609375	0.000000000284783453109335461008492344995158933318446514704191940836608409881591796875	0.0000003579728005584346486899795236613641691292286850512027740478515625	-2.3591498211949706	41.61392849504618	RARG;EDA;ONECUT2;FOXE1;SYCP2;FHL1;IHH;HCCS;HOXC13;AQP5;FGF4;GLI2;TGM1;SOX3;SIX6;FGF8;SIX2;SCN5A;PITX2;EPHB2;EPHB1;HOXA5;PDGFRA;SHROOM2;SOX11;HNF1B;FOXL1;ALDH1A2;HAND1;COL8A2;FAM20C;ROR2;LY6H;HOXB7;SLC24A4;COL11A2;PRKX;HOXD11;HOXD10;FGD1;T;ALX4;SLIT3;NKX6-1;TBX1;WNT10A;WNT7B;FGF16;DLG1;BMP2;LHX3;GNAS;SDC1;FAT4;BCOR;HOXD8
embryonic morphogenesis (GO:0048598)	52/403	0.0000000011423308582896434337200955813108882441753166858688928186893463134765625	0.0000008615459333220490198090532087127346727584153995849192142486572265625	0.0000000104968580563615002053410991370192839600150591650162823498249053955078125	0.00000791673034610784393297865102478994003831758163869380950927734375	-2.424537710113075	33.85754768710386	MESP1;HMX3;RARG;FLT1;FOXE1;TENM4;IHH;PKD2;FGF3;FGF4;GLI2;NDST1;FGF8;ZIC3;SIX2;RSPO2;PITX2;EPHB2;HOXA5;OFD1;PDGFRA;WNT5A;SOX11;HNF1B;POU3F4;SFRP2;ALDH1A2;HAND1;ROR2;HOXB7;HMX2;FOXC2;FOXG1;HPN;CHRD;HOXD11;HOXD10;T;GBX2;FRZB;NSD1;GPC3;ALX4;TBX1;WNT7B;ESRRB;PCDH8;FOXN4;DLG1;GNAS;NEUROG1;MIXL1
neuron differentiation (GO:0030182)	36/222	0.0000000009923587588906177584173297500529965786686403816929669119417667388916015625	0.0000008615459333220490198090532087127346727584153995849192142486572265625	0.0000000133912537491979520373280054573901509673561349700321443378925323486328125	0.00000791673034610784393297865102478994003831758163869380950927734375	-2.31836494650629	32.374894152001424	BARHL2;DRAXIN;HOXD1;CHD5;FZD10;FGF8;AIFM1;ERBB4;GBX1;NKX2-1;SPOCK1;PROM1;PITX2;WNT4;NTRK1;WNT10A;GSX1;BDNF;WNT7B;WNT5A;SOX11;ATP2B2;FOXN4;SMARCA1;POU3F2;POU4F2;POU3F4;DMRTA2;LHX3;LMX1A;PAX7;ALDH1A2;LHX5;MDGA2;NEUROG1;VSX2
regionalization (GO:0003002)	37/247	0.000000005485781382700817903643508211854185052658294807770289480686187744140625	0.00000344781359902746391843668567755987197642753017134964466094970703125	0.0000000530640416146584920408654719066465776933227971312589943408966064453125	0.0000333507501548128648086351255575010554821346886456012725830078125	-2.39547624265899	30.12974986077457	FOXC2;MESP1;RARG;FOXG1;HOXC13;HOXD11;PCSK5;HOXD10;GLI2;FGF8;RELN;T;ZIC3;NKX2-1;ALX4;FEZF2;MNX1;HOXA5;TBX1;CDX4;WNT7B;ATP6AP2;WNT5A;PCDH8;HNF1B;NR2F2;PAX1;GREM1;DMRTA2;BMP2;RIPPLY2;WT1;PAX7;ALDH1A2;ROR2;NBL1;HOXB7
morphogenesis of an epithelium (GO:0002009)	41/296	0.0000000086275570418770762771016932649904840335608469104045070707798004150390625	0.0000046477882292740653100669712127768207210465334355831146240234375	0.00000007081518615645323443621062149688771825140065629966557025909423828125	0.0000381491524279978735001601919396563289410551078617572784423828125	-2.340251555710624	28.736227579200452	DDR1;FOXC2;MESP1;RARG;FLT1;CITED1;IHH;PRKX;HOXD11;PKD2;NR3C1;GLI2;FGF8;T;GBX2;FRZB;ZIC3;RSPO2;NKX2-1;GPC3;PLXNA1;PITX2;HOXA5;WNT4;TFAP2C;WNT5A;RIPK4;PCDH8;SOX11;HNF1B;FOXN4;NFATC4;DLG1;BMP2;SFRP2;GDNF;WT1;DLG5;ALDH1A2;HAND1;FAT4
behavior (GO:0007610)	56/494	0.000000029374621148327421772350229547433875243456213866011239588260650634765625	0.00001107716963503426976203787568397984841794823296368122100830078125	0.000000158792537940283888879590694538646022948569225263781845569610595703125	0.000059880666057281054827365895931734485202468931674957275390625	-2.3894255945286043	27.26483788907327	UCN;OXTR;HTR2C;SLC6A1;AFF2;PREX2;JPH3;GRM7;MDK;EPHB2;FEZF2;GRID1;TMOD2;NAV2;CARTPT;SEZ6L;SORCS3;MAPK8IP2;ZFX;C1QL1;SCN8A;PPARA;SGK1;SHANK2;OPRD1;NLGN3;BHLHB9;SHC3;CHRNA4;SEZ6;SLC1A2;HOXD10;PRKCZ;PHF21A;CRHR1;ADCY5;RELN;EFNB3;GBX1;NKX2-1;DRD2;DRD5;TBX1;NTRK1;SLC12A5;BDNF;GABRA5;KLHL1;ATP2B2;DMRT3;FOSL1;GDNF;P2RX2;FGF13;APBA2;FGF12
tissue morphogenesis (GO:0048729)	45/358	0.000000033477541445188876663698550849301849297035005292855203151702880859375	0.000011476709889982478953059617798881930639254278503358364105224609375	0.000000207002054583173078900932575184545836322058676159940659999847412109375	0.0000709640679848314351839400071497721000923775136470794677734375	-2.353102287300569	26.766987497250994	DDR1;FOXC2;MESP1;RARG;FLT1;CITED1;IHH;PRKX;NR3C1;HOXD11;PKD2;GLI2;FGF8;T;GBX2;ZIC3;FRZB;RSPO2;NKX2-1;GPC3;PLXNA1;PITX2;HOXA5;WNT4;TBX1;WNT10A;TFAP2C;WNT7B;RIPK4;WNT5A;PCDH8;SOX11;HNF1B;FOXN4;NFATC4;DLG1;BMP2;SFRP2;GDNF;WT1;PAX7;DLG5;ALDH1A2;HAND1;FAT4
single-organism behavior (GO:0044708)	45/362	0.00000004674078763446635948728240792827970384593072594725526869297027587890625	0.00001308982802737823720388814219273143635291489772498607635498046875	0.0000002749059176192733879660998370930702350278806989081203937530517578125	0.00008555197174865732524622063959185425119358114898204803466796875	-2.380217979995182	26.76239767194345	NLGN3;OPRD1;UCN;OXTR;BHLHB9;SHC3;CHRNA4;SEZ6;SLC1A2;HTR2C;SLC6A1;PRKCZ;HOXD10;CRHR1;AFF2;PREX2;JPH3;RELN;EFNB3;GRM7;MDK;GBX1;EPHB2;DRD2;DRD5;NTRK1;SLC12A5;GABRA5;BDNF;TMOD2;KLHL1;DMRT3;CARTPT;SORCS3;SEZ6L;MAPK8IP2;FOSL1;GDNF;P2RX2;SCN8A;PPARA;SGK1;FGF13;FGF12;SHANK2
branching morphogenesis of an epithelial tube (GO:0048754)	26/141	0.0000000139151891871757275737411300412134373960526545488392002880573272705078125	0.000006559272303104958433904968229111176469814381562173366546630859375	0.000000158157324490177214235562207743368556833729599020443856716156005859375	0.000059880666057281054827365895931734485202468931674957275390625	-2.2122105315881497	26.40191614672765	DDR1;FOXC2;FLT1;CITED1;IHH;HOXD11;PKD2;GLI2;FGF8;GBX2;NKX2-1;RSPO2;GPC3;PITX2;HOXA5;WNT4;WNT5A;HNF1B;NFATC4;DLG1;BMP2;SFRP2;GDNF;WT1;DLG5;FAT4
skeletal system development (GO:0001501)	28/162	0.000000017183867882832325764824122553246776856639144170912913978099822998046875	0.0000072000406429067440421663316707512336733998381532728672027587890625	0.000000174090610025809472794245942421642592279340533423237502574920654296875	0.000059880666057281054827365895931734485202468931674957275390625	-2.2199806288751236	26.28773164768345	PKDCC;HOXD1;COL11A2;IHH;CHRD;SCX;PCSK5;GLI2;RPS6KA3;LGALS3;RAI1;T;FRZB;ALX4;TRAPPC2;GDF10;WNT5A;BMP8B;SOX11;BMP6;PAX1;BMP3;BMP2;PAX7;CDH11;FAM20C;ALPL;COL9A2
neuron projection guidance (GO:0097485)	45/367	0.00000007031757845894888012515801072044308028807790833525359630584716796875	0.00001559809343345271878092557493733494311527465470135211944580078125	0.000000389241820041354578255435835154596446727737202309072017669677734375	0.00008634299431623223609368056319368633921840228140354156494140625	-2.3749045825508497	26.28630331922676	DRAXIN;ARX;NTN4;AGAP2;CRMP1;NTN3;GLI2;CACNA1I;RPS6KA3;EFNB1;PGRMC1;RELN;FGF8;EFNB3;OPHN1;DPYSL4;GBX2;GBX1;SLIT1;NKX2-1;PLXNA1;SLIT3;EPHB2;FEZF2;EPHB1;MNX1;NTRK1;TRPC5;BDNF;SEMA6D;WNT5A;UNC5C;RHOC;ANK1;POU4F2;DLG1;LHX3;DLG3;LMX1A;GDNF;FES;SCN8A;COL9A3;COL9A2;NEUROG2
axon guidance (GO:0007411)	45/367	0.00000007031757845894888012515801072044308028807790833525359630584716796875	0.00001559809343345271878092557493733494311527465470135211944580078125	0.000000389241820041354578255435835154596446727737202309072017669677734375	0.00008634299431623223609368056319368633921840228140354156494140625	-2.372285585349199	26.25731531047028	DRAXIN;ARX;NTN4;AGAP2;CRMP1;NTN3;GLI2;CACNA1I;RPS6KA3;EFNB1;PGRMC1;RELN;FGF8;EFNB3;OPHN1;DPYSL4;GBX2;GBX1;NKX2-1;SLIT1;PLXNA1;SLIT3;EPHB2;FEZF2;EPHB1;MNX1;NTRK1;TRPC5;BDNF;SEMA6D;WNT5A;UNC5C;RHOC;ANK1;POU4F2;DLG1;LHX3;DLG3;LMX1A;GDNF;FES;SCN8A;COL9A3;COL9A2;NEUROG2
regulation of ion transmembrane transport (GO:0034765)	41/314	0.00000004708539384064026118960076040288742493800100419321097433567047119140625	0.00001308982802737823720388814219273143635291489772498607635498046875	0.0000002949285687437138814187055115001445670941393473185598850250244140625	0.00008555197174865732524622063959185425119358114898204803466796875	-2.322384207849662	26.11213352721579	NLGN3;UCN;KCNK9;KCNA2;FHL1;KCNC4;PKD2;CRHR1;CACNA1I;LGALS3;DPP6;JPH3;RELN;GSG1L;KCNE1L;SCN5A;DRD2;ASIC2;CACNG2;KCNJ4;KCNH3;KCNF1;KCNH5;KCNIP1;KCNB1;KCNK12;CACNA2D1;KCNB2;TESC;CACNA2D3;CASK;CACNA2D2;MAPK8IP2;DLG1;KCNS2;SCN8A;KCNS3;KCNQ1;KCNMA1;FGF12;KCNK2
morphogenesis of a branching structure (GO:0001763)	28/170	0.0000000504086437684979320327598151761649969415657324134372174739837646484375	0.00001308982802737823720388814219273143635291489772498607635498046875	0.00000041600370902639955582452148917516066006783148623071610927581787109375	0.00008634299431623223609368056319368633921840228140354156494140625	-2.246363281229311	25.25737892629156	DDR1;FOXC2;FLT1;CITED1;COL13A1;IHH;HOXD11;PKD2;GLI2;FGF8;GBX2;NKX2-1;RSPO2;GPC3;PITX2;DRD2;HOXA5;WNT4;WNT5A;HNF1B;NFATC4;DLG1;BMP2;SFRP2;GDNF;WT1;DLG5;FAT4
regulation of organ morphogenesis (GO:2000027)	26/150	0.00000005206773280580046934769714917813632215626284960308112204074859619140625	0.00001308982802737823720388814219273143635291489772498607635498046875	0.00000045500886579099389086245351122850255620733150863088667392730712890625	0.00008634299431623223609368056319368633921840228140354156494140625	-2.2458034539952214	25.251084410750455	FOXC2;MESP1;CITED1;MAGED1;HPN;NTN4;HOXD11;FGF3;MED12;FGF8;SIX2;WNT4;TBX1;WNT10A;BDNF;WNT5A;DMRT3;HNF1B;GREM1;BMP2;SFRP2;GDNF;WT1;ROR2;BCOR;HOXB7
cognition (GO:0050890)	33/227	0.0000000759225523212858971334299727773409216524669318459928035736083984375	0.00001590577471130939370244812558485847375777666456997394561767578125	0.0000005128895842584443720213395641327469576253861305303871631622314453125	0.00010745036790214408900338838304122646150062792003154754638671875	-2.2809067109004553	25.20134667472928	NLGN3;UCN;OXTR;SHC3;BHLHB9;CHRNA4;SLC6A1;PRKCZ;CRHR1;AFF2;JPH3;RELN;GRM7;PTCHD1;MDK;EPHB2;DRD2;CBR3;DRD5;NTRK1;LHCGR;SLC12A5;BDNF;GABRA5;TMOD2;SORCS3;MAPK8IP2;SHROOM4;FOSL1;GNAS;SGK1;FGF13;SHANK2
regulation of transmembrane transport (GO:0034762)	41/327	0.0000001455355182475990716921255239968413519591194926761090755462646484375	0.00002888497049008926869338720333502124049118719995021820068359375	0.00000076689777900039419623727000863144809272853308357298374176025390625	0.0001522090276110782381367714233277865787385962903499603271484375	-2.325085413182712	24.302232529342604	NLGN3;UCN;KCNK9;KCNA2;FHL1;KCNC4;PKD2;CRHR1;CACNA1I;LGALS3;DPP6;JPH3;RELN;GSG1L;KCNE1L;SCN5A;DRD2;ASIC2;CACNG2;KCNJ4;KCNH3;KCNF1;KCNH5;KCNIP1;KCNB1;KCNK12;CACNA2D1;KCNB2;TESC;CACNA2D3;CASK;CACNA2D2;MAPK8IP2;DLG1;KCNS2;KCNQ1;SCN8A;KCNS3;KCNMA1;FGF12;KCNK2
anterior/posterior pattern specification (GO:0009952)	25/150	0.000000205302836856224481725807242370185345947675159550271928310394287109375	0.0000387098498892411282197752175893157300379243679344654083251953125	0.0000014242190032138193463910440239583721222516032867133617401123046875	0.0002514332065037213118606496120577276087715290486812591552734375	-2.268985594389178	23.05156962057833	FOXC2;RARG;HOXC13;HOXD11;PCSK5;HOXD10;T;ZIC3;ALX4;FEZF2;HOXA5;TBX1;CDX4;ATP6AP2;WNT5A;PCDH8;HNF1B;NR2F2;PAX1;BMP2;RIPPLY2;WT1;ALDH1A2;ROR2;HOXB7
positive regulation of nervous system development (GO:0051962)	39/313	0.00000034358317930608996784125580385704790131740082870237529277801513671875	0.00005889328041651205260416379605459269441780634224414825439453125	0.000001639020552172758840459173244885615616794893867336213588714599609375	0.0002514332065037213118606496120577276087715290486812591552734375	-2.365065551349419	23.035226571628492	NLGN3;LTK;OXTR;BHLHB9;TENM4;FOXG1;SEZ6;NCMAP;GLI2;RELN;SYNDIG1;APOE;EPHB2;DRD2;NKX6-1;ASIC2;FEZF2;EPHB1;RGS6;TRIM67;NTRK1;NKX6-2;CDKL5;BDNF;IRX3;SPHK1;WNT5A;SOX11;ADRA2C;SOX10;BMP6;DMRTA2;BMP2;FES;PARD3;NBL1;NEUROG1;NEUROG2;NEUROG3
growth (GO:0040007)	40/329	0.00000046577216036887249363260331096181499077601984026841819286346435546875	0.000073184450697959092606813269465959592707804404199123382568359375	0.000002093845524145849479563490092015598520447383634746074676513671875	0.0003289954779814165488661947822635056581930257380008697509765625	-2.359596836825008	22.46932596040734	NLGN3;MESP1;RARG;PKDCC;IHH;SLC1A2;HOXD11;PRKCZ;GLI2;MED12;ENOX2;ERBB4;RSPO2;SLIT1;SLIT3;HOXA5;GDF10;GSN;SLC12A5;ST6GAL2;USP9X;BDNF;WNT7B;BMP8B;GDF1;INHBB;HNF1B;ZFX;SOX10;BMP6;POU4F2;BMP3;AR;GATM;BMP2;SLC9A6;ADAM15;PAX7;GNAS;APBA2
