Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
sister chromatid cohesion (GO:0007062)	3/24	0.001242445210206104266870141827894258312880992889404296875	0.315283929499271808882809864371665753424167633056640625	0.00139730140310727161956361186412323149852454662322998046875	0.226955212328238398189483859823667444288730621337890625	-2.641297722050885	3.0488015789908354	STAG2;HORMAD1;SMC1A
heparan sulfate proteoglycan metabolic process (GO:0030201)	3/24	0.001242445210206104266870141827894258312880992889404296875	0.315283929499271808882809864371665753424167633056640625	0.00139730140310727161956361186412323149852454662322998046875	0.226955212328238398189483859823667444288730621337890625	-2.598168866071933	2.999018730540643	HS3ST4;HS6ST2;HS6ST3
pattern specification process (GO:0007389)	11/385	0.0007232528669032234347469056956470012664794921875	0.315283929499271808882809864371665753424167633056640625	0.0004411375016650968621488571042021931134513579308986663818359375	0.226955212328238398189483859823667444288730621337890625	-2.3745765006948876	2.7409301588053365	EFNB1;CITED1;ZIC3;CDX1;WNT7B;FOXG1;GPC3;BCOR;CELSR1;HOXD10;HOXA5
sulfur compound metabolic process (GO:0006790)	9/314	0.002137967321198227903245037140322892810218036174774169921875	0.315283929499271808882809864371665753424167633056640625	0.001445570806273117035745112701761172502301633358001708984375	0.226955212328238398189483859823667444288730621337890625	-2.3125052549869007	2.669282456865285	CHST7;PDHA1;SPOCK3;SMS;GPC3;GPC4;HS3ST4;HS6ST2;HS6ST3
regulation of coenzyme metabolic process (GO:0051196)	2/14	0.006753896134032045563133639376474093296565115451812744140625	0.349843326059682435680286971546593122184276580810546875	0.0075511076748895344934453532914631068706512451171875	0.26023556390990953968156418341095559298992156982421875	-2.529334948695579	2.656484273964987	PDHA1;PDK3
brain development (GO:0007420)	7/187	0.00150215226912833624099696816500681961770169436931610107421875	0.315283929499271808882809864371665753424167633056640625	0.00114431218576749337868803113593685338855721056461334228515625	0.226955212328238398189483859823667444288730621337890625	-2.2968209366298686	2.651178335480898	CITED1;FOXG1;NNAT;SHROOM2;SHROOM4;AFF2;PHF8
protein insertion into membrane (GO:0051205)	2/14	0.006753896134032045563133639376474093296565115451812744140625	0.349843326059682435680286971546593122184276580810546875	0.0075511076748895344934453532914631068706512451171875	0.26023556390990953968156418341095559298992156982421875	-2.505313440277429	2.631255207572399	UBL4A;GRIN3B
multicellular organism growth (GO:0035264)	5/79	0.000716735117311313577916076500429198858910240232944488525390625	0.315283929499271808882809864371665753424167633056640625	0.0006533993805805048647739052825045291683636605739593505859375	0.226955212328238398189483859823667444288730621337890625	-2.2649977668934054	2.6144454335702085	CDKN1C;GNAS;ZFX;APBA2;HOXA5
regulation of cofactor metabolic process (GO:0051193)	2/14	0.006753896134032045563133639376474093296565115451812744140625	0.349843326059682435680286971546593122184276580810546875	0.0075511076748895344934453532914631068706512451171875	0.26023556390990953968156418341095559298992156982421875	-2.4793865606132566	2.604024987179337	PDHA1;PDK3
kidney morphogenesis (GO:0060993)	2/11	0.004154620797023688728855095320113832713104784488677978515625	0.347157534771454223676556694044847972691059112548828125	0.004988336635262950215230493000717615359462797641754150390625	0.26023556390990953968156418341095559298992156982421875	-2.4601960061835455	2.602829833908493	WNT7B;PRKX
