Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
pigmentation (GO:0043473)	6/37	0.00007374410837617827499911038469093682579114101827144622802734375	0.0961008506902736037158518911382998339831829071044921875	0.00015263716085547724917760581408998632468865253031253814697265625	0.128421163685169259505158834144822321832180023193359375	-2.4883661762186984	5.828642207411376	EDA;CITED1;ATP6AP2;SHROOM2;ATP7A;DRD2
synaptic transmission (GO:0007268)	21/434	0.0001355393999930392377219201538451898159109987318515777587890625	0.0961008506902736037158518911382998339831829071044921875	0.000173516642241883125956369848807980815763585269451141357421875	0.128421163685169259505158834144822321832180023193359375	-2.3470201715737655	5.497559388332737	CAMK2B;KCNH3;KCNG3;KCNIP1;GRID1;GABRA5;KCNB1;KCNC4;HTR2C;RPS6KA3;GRIN3B;DLG3;NPTX2;DRD2;ASIC2;APBA2;DLGAP2;FGF12;KCNK2;SLC18A3;DRD5
regulation of ion transmembrane transport (GO:0034765)	17/314	0.00015780106845693529977504854233671949259587563574314117431640625	0.0961008506902736037158518911382998339831829071044921875	0.000210872189959227028348276444802422702196054160594940185546875	0.128421163685169259505158834144822321832180023193359375	-2.3448058456758814	5.492372646319959	KCNH3;KCNG3;KCNIP1;KCNB1;FHL1;KCNC4;CACNA2D3;CASK;MAPK8IP2;CRHR1;CACNA1I;DPP6;SCN5A;DRD2;ASIC2;FGF12;KCNK2
pattern specification process (GO:0007389)	19/385	0.00021851228178350223687979869691133671949501149356365203857421875	0.103361704927376063523070115479640662670135498046875	0.0002793110232804721913303647173876242959522642195224761962890625	0.1342598518035134913528594324816367588937282562255859375	-2.369530378742236	5.377698348196718	CDX4;CITED1;CDX1;WNT7B;FOXG1;ATP6AP2;FOXH1;CELSR1;HOXD10;EFNB1;RIPPLY2;MAFB;ZIC3;GPC3;ALX4;BCOR;PITX2;SIM2;NBL1
regulation of transmembrane transport (GO:0034762)	17/327	0.0002545854801166898295251839190456166761578060686588287353515625	0.103361704927376063523070115479640662670135498046875	0.0003306892901564371304960754383017729196581058204174041748046875	0.1342598518035134913528594324816367588937282562255859375	-2.3575878619850257	5.350594558680142	KCNH3;KCNG3;KCNIP1;KCNB1;FHL1;KCNC4;CACNA2D3;CASK;MAPK8IP2;CRHR1;CACNA1I;DPP6;SCN5A;DRD2;ASIC2;FGF12;KCNK2
neuron migration (GO:0001764)	10/116	0.000092202740709523917854266439331212268371018581092357635498046875	0.0961008506902736037158518911382998339831829071044921875	0.00014777955276039483867821233697981142540811561048030853271484375	0.128421163685169259505158834144822321832180023193359375	-2.2334639307135156	5.231570120065633	CDKL5;TLX3;USP9X;FOXG1;ARX;VAX1;FGF13;CELSR1;PITX2;DRD2
organ morphogenesis (GO:0009887)	19/405	0.0004108148652453508047587005247436309218755923211574554443359375	0.1429635731053820746350169201832613907754421234130859375	0.00050785436065982282778652479038328237948007881641387939453125	0.176733317509618348406519316995400004088878631591796875	-2.349120332395619	4.5694276255471635	EDA;CDX1;WNT7B;PRRX2;FHL1;SHROOM2;FOXL2;PRKX;AQP5;HOXD10;FGD1;FGF16;GJB6;GNAS;ALX4;SCN5A;FAT4;BCOR;PITX2
sister chromatid cohesion (GO:0007062)	4/24	0.00111061574906138357636542490780584557796828448772430419921875	0.1690912477945956393643456294739735312759876251220703125	0.00183994342542775392301823700336171896196901798248291015625	0.2114147113462019056395746474663610570132732391357421875	-2.5618841744958063	4.553279736843301	STAG2;HORMAD2;HORMAD1;SMC1A
negative regulation of protein depolymerization (GO:1901880)	6/52	0.000505027070819921339826785722237900699838064610958099365234375	0.15378074306466604781462592654861509799957275390625	0.00079843308455274466552131773511291612521745264530181884765625	0.2114147113462019056395746474663610570132732391357421875	-2.320214804169838	4.343969817009152	GSN;SCIN;MID1IP1;SHROOM2;FGF13;HDAC6
behavior (GO:0007610)	21/494	0.0007543126601424637346637869228516137809492647647857666015625	0.1690912477945956393643456294739735312759876251220703125	0.000887932791544504226334544316756591797457076609134674072265625	0.2114147113462019056395746474663610570132732391357421875	-2.391964140221634	4.251278008331677	BHLHB9;GRID1;GABRA5;SEZ6;HTR2C;ATP2B2;SEZ6L;SORCS3;MAPK8IP2;CELSR1;ZFX;HOXD10;CRHR1;PPARA;SGK1;DRD2;ATP7A;FGF13;APBA2;FGF12;DRD5
