Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
organ morphogenesis (GO:0009887)	14/405	0.00001060382476876806244936619905150365639201481826603412628173828125	0.01520588471841340105772388824334484525024890899658203125	0.000008445606110589540447522623189957613476508413441479206085205078125	0.0121109991625854007679663482122123241424560546875	-2.364164565594647	9.896564920172828	EDA;SYCP2;FHL1;SHROOM2;PRKX;AQP5;FGD1;FGF16;SOX3;GNAS;HOXB3;ROR2;BCOR;HOXA5
regulation of mitochondrial fission (GO:0090140)	2/12	0.0045340713975947390113052648530356236733496189117431640625	0.6146041767526781995911733247339725494384765625	0.005695024621047733125178691437895395210944116115570068359375	0.57150194084427530238912140703178010880947113037109375	-3.2922528339169315	1.6025924093153499	MFF;MARCH5
positive regulation of mitochondrial fission (GO:0090141)	2/9	0.0025151748315599049311830359698660686262883245944976806640625	0.6146041767526781995911733247339725494384765625	0.0034978266309795189546727467444497960968874394893646240234375	0.57150194084427530238912140703178010880947113037109375	-2.957854394123554	1.4398149956918116	MFF;MARCH5
hypothalamus development (GO:0021854)	2/13	0.005328462834704272670094393760109596769325435161590576171875	0.6146041767526781995911733247339725494384765625	0.00653611010767830673262590579497555154375731945037841796875	0.57150194084427530238912140703178010880947113037109375	-2.872470058423345	1.3982518791359095	SOX3;CRHR1
mitochondrion morphogenesis (GO:0070584)	2/19	0.01129577873138821846044077545911932247690856456756591796875	0.6146041767526781995911733247339725494384765625	0.01266006084853672948586922331060122814960777759552001953125	0.57150194084427530238912140703178010880947113037109375	-2.7374697334620812	1.3325368484404614	NDUFS6;MFF
male meiosis (GO:0007140)	2/22	0.01500586883973408121317749674972219509072601795196533203125	0.6146041767526781995911733247339725494384765625	0.0163752918159157552502325216892131720669567584991455078125	0.57150194084427530238912140703178010880947113037109375	-2.722714786158872	1.3253544819149117	SYCP2;PIM2
genitalia morphogenesis (GO:0035112)	2/11	0.0037996698277154229879404301328804649529047310352325439453125	0.6146041767526781995911733247339725494384765625	0.004907659882480658840309128976286956458352506160736083984375	0.57150194084427530238912140703178010880947113037109375	-2.721701364191107	1.3248611715785237	SYCP2;ROR2
face development (GO:0060324)	2/12	0.0045340713975947390113052648530356236733496189117431640625	0.6146041767526781995911733247339725494384765625	0.005695024621047733125178691437895395210944116115570068359375	0.57150194084427530238912140703178010880947113037109375	-2.696913631224633	1.3127950774174184	SOX3;HOXB3
negative regulation of multicellular organism growth (GO:0040015)	2/13	0.005328462834704272670094393760109596769325435161590576171875	0.6146041767526781995911733247339725494384765625	0.00653611010767830673262590579497555154375731945037841796875	0.57150194084427530238912140703178010880947113037109375	-2.6627343657031273	1.296157402778205	RAI1;GNAS
regulation of mammary gland epithelial cell proliferation (GO:0033599)	2/15	0.007092959780818751912290220928980488679371774196624755859375	0.6146041767526781995911733247339725494384765625	0.00837577754457914831764941965275284019298851490020751953125	0.57150194084427530238912140703178010880947113037109375	-2.644173460309103	1.2871223840250754	AGAP2;HOXA5
