Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002132_abnormal_respiratory_system_	10/529	0.0158070279313529300779794795062116463668644428253173828125	0.3295183116427928826652760108117945492267608642578125	0.00130597576784151759958507721393061729031614959239959716796875	0.006138751108193890061726083473558901459909975528717041015625	-1.8034700995551205	2.0020742731490877	NDST1;RAI1;EDA;GNAS;HOXB3;SPEG;HPRT;ROR2;HOXA5;CRHR1
MP0002133_abnormal_respiratory_system_	12/622	0.007337734249617974997825786687144500319845974445343017578125	0.3295183116427928826652760108117945492267608642578125	0.000337869480236144769345896232692894045612774789333343505859375	0.006138751108193890061726083473558901459909975528717041015625	-1.691362566254285	1.8776210824346014	NDST1;CROCC;GNAS;UNCX;CASK;IL12A;ROR2;AQP5;SOX6;HOXA5;CRHR1;IL13RA1
MP0002163_abnormal_gland_morphology_	17/1129	0.0167551683886165876657958762052658130414783954620361328125	0.3295183116427928826652760108117945492267608642578125	0.00031213988685731644014131891395891216234304010868072509765625	0.006138751108193890061726083473558901459909975528717041015625	-1.3439425531984788	1.4919420127967233	EDA;CITED1;SYCP2;FMR1;ARX;AGAP2;BMP8B;HPRT;ZFX;CRHR1;SOX3;NDST1;CCNE2;GNAS;HOXB3;ROR2;HOXA5
MP0009701_abnormal_birth_body_	4/145	0.036041540726647891546008395380340516567230224609375	0.53161272571805640030362383186002261936664581298828125	0.01226244521207014125108170077282920829020440578460693359375	0.04003373213323550838804720797270420007407665252685546875	-1.8781214789101874	1.1866723013555598	CITED1;GNAS;ROR2;HPRT
MP0003121_genomic_imprinting_	2/46	0.05888107370142704743987138726879493333399295806884765625	0.69479666967683917366827017758623696863651275634765625	0.03367029992196028664874773994597489945590496063232421875	0.04003373213323550838804720797270420007407665252685546875	-1.7029647511045116	0.620110837044806	CITED1;GNAS
MP0000428_abnormal_craniofacial_morphol_	12/896	0.0832987090052789980187952778578619472682476043701171875	0.73540161503557943678544006615993566811084747314453125	0.00717253538312411474675567291114930412732064723968505859375	0.04003373213323550838804720797270420007407665252685546875	-1.7379476412227932	0.5341382454375523	SOX3;NDST1;FGF16;RAI1;RPS6KA3;GNAS;CASK;HOXB3;HPRT;BCOR;ROR2;HOXA5
MP0001968_abnormal_touch/_nociception_	4/211	0.10749983152181404044700485655994270928204059600830078125	0.73540161503557943678544006615993566811084747314453125	0.040226552447694970127134439508154173381626605987548828125	0.04003373213323550838804720797270420007407665252685546875	-1.5721266199286683	0.4831750591655024	FMR1;ARX;HPRT;AFF2
MP0002160_abnormal_reproductive_system_	13/1010	0.09284996698332133313602554380850051529705524444580078125	0.73540161503557943678544006615993566811084747314453125	0.00702438392148449670948640033429910545237362384796142578125	0.04003373213323550838804720797270420007407665252685546875	-1.2982773700888037	0.39901063766374795	EDA;SYCP2;CITED1;SUV39H1;FMR1;ARX;AGAP2;BMP8B;HPRT;ZFX;SOX3;CCNE2;ROR2
MP0004196_abnormal_prenatal_growth/weig_	10/786	0.13710877568459955977431263818289153277873992919921875	0.73540161503557943678544006615993566811084747314453125	0.0196616476930962132130265018759018857963383197784423828125	0.0594699897395287724322088251938112080097198486328125	-0.9175538585491271	0.2819996393879044	FGF16;C330007P06RIK;LIG1;CITED1;SUV39H1;BMP8B;LSR;HPRT;ROR2;ZFX
MP0002169_no_abnormal_phenotype_	16/1371	0.12732916882001632519205713833798654377460479736328125	0.73540161503557943678544006615993566811084747314453125	0.006785378327667034893677655560395578504540026187896728515625	0.04003373213323550838804720797270420007407665252685546875	-0.633941968945111	0.19483478268846247	ZRSR1;ARX;HPRT;CRHR1;HS6ST2;WDR44;PDZD4;MED14;LRCH2;EFNB3;GNAS;SOX6;TAF9B;HOXA5;PLEC;A830080D01RIK
MP0002873_normal_phenotype_	16/1371	0.12732916882001632519205713833798654377460479736328125	0.73540161503557943678544006615993566811084747314453125	0.006785378327667034893677655560395578504540026187896728515625	0.04003373213323550838804720797270420007407665252685546875	-0.5668507120989118	0.17421505550795008	ZRSR1;ARX;HPRT;CRHR1;HS6ST2;WDR44;PDZD4;MED14;LRCH2;EFNB3;GNAS;SOX6;TAF9B;HOXA5;PLEC;A830080D01RIK
MP0000001_mammalian_phenotype_	16/1459	0.1831640244996488586792793284985236823558807373046875	0.900556453789940203336072954698465764522552490234375	0.01209559113346347913875433732755482196807861328125	0.0594699897395287724322088251938112080097198486328125	-0.4471395615470144	0.04683448186760749	ZRSR1;ARX;HPRT;CRHR1;HS6ST2;WDR44;PDZD4;MED14;LRCH2;EFNB3;GNAS;SOX6;TAF9B;HOXA5;PLEC;A830080D01RIK
MP0002095_abnormal_skin_pigmentation_	2/112	0.2485245266689400656101582853807485662400722503662109375	0.975597965969007052677852698252536356449127197265625	0.15002020758099476882563294566352851688861846923828125	0.065926262172243565995444214422605000436305999755859375	-1.6960005092124142	0.041899179616533506	HPRT;ANK1
MP0005508_abnormal_skeleton_morphology_	13/1244	0.2668596988081375354084912032703869044780731201171875	0.975597965969007052677852698252536356449127197265625	0.034284620713080520004734097483378718607127666473388671875	0.065926262172243565995444214422605000436305999755859375	-1.1603034630888995	0.028664946116215357	EDA;UNCX;CASK;ANK1;QDPR;RAI1;RPS6KA3;NDST1;GNAS;HOXB3;ROR2;SOX6;HOXA5
MP0010678_abnormal_skin_adnexa_	6/582	0.37972892365053134700048076410894282162189483642578125	0.975597965969007052677852698252536356449127197265625	0.1411243621002649939466522255315794609487056732177734375	0.065926262172243565995444214422605000436305999755859375	-0.9525645373711603	0.023532818788001723	EDA;CITED1;AGAP2;GNAS;CASK;HPRT
MP0000003_abnormal_adipose_tissue_	6/613	0.4270794039584664414377357388730160892009735107421875	0.975597965969007052677852698252536356449127197265625	0.1671972996833581970310689257530611939728260040283203125	0.065926262172243565995444214422605000436305999755859375	-0.7765158309763849	0.019183588743301762	RPS6KA3;RAI1;SH3KBP1;GNAS;GPR50;ROR2
MP0001919_abnormal_reproductive_system_	13/1240	0.263179898792519961769897918202332220971584320068359375	0.975597965969007052677852698252536356449127197265625	0.0335169856811190214340712145713041536509990692138671875	0.065926262172243565995444214422605000436305999755859375	-0.6663171126291633	0.01646116273666915	SYCP2;SUV39H1;AGAP2;BMP8B;CASK;LSR;ZFX;LPP;SOX3;RPS6KA3;CCNE2;ROR2;SLC12A6
MP0002102_abnormal_ear_morphology_	4/369	0.387886698815825103903165427254862152040004730224609375	0.975597965969007052677852698252536356449127197265625	0.186223697044301028657997676418744958937168121337890625	0.065926262172243565995444214422605000436305999755859375	-0.6545404014259094	0.016170222648316045	GNAS;ROR2;SLC12A6;HOXA5
