Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
negative regulation of microtubule depolymerization (GO:0007026)	4/23	0.000320753046364265193522713470741791752516292035579681396484375	0.1865440397261495519831697720292140729725360870361328125	0.000467349543437204782876659425738807840389199554920196533203125	0.2446077215090334266989202660624869167804718017578125	-2.8008122974670404	4.702810122403681	MID1IP1;FGF13;GAS2L2;HDAC6
regulation of microtubule depolymerization (GO:0031114)	4/25	0.0004477773397171136578708006137361508081085048615932464599609375	0.1865440397261495519831697720292140729725360870361328125	0.000619102647390950481913474146011822085711173713207244873046875	0.2446077215090334266989202660624869167804718017578125	-2.6902158818597814	4.517109015874781	MID1IP1;FGF13;GAS2L2;HDAC6
negative regulation of protein depolymerization (GO:1901880)	6/52	0.000108558858638723503497146294360931051414809189736843109130859375	0.17170048140271176873028480258653871715068817138671875	0.00013669060685115525855849727410173954922356642782688140869140625	0.2066433715784741220744535894482396543025970458984375	-2.3467946806624993	4.135060927691737	DMTN;MID1IP1;SHROOM2;FGF13;GAS2L2;HDAC6
negative regulation of protein complex disassembly (GO:0043242)	6/56	0.00016485883956093304899929996576446455947007052600383758544921875	0.17170048140271176873028480258653871715068817138671875	0.00019840938221648979898105447094991404810571111738681793212890625	0.2066433715784741220744535894482396543025970458984375	-2.3415058186626894	4.125741933240465	DMTN;MID1IP1;SHROOM2;FGF13;GAS2L2;HDAC6
regulation of protein depolymerization (GO:1901879)	6/67	0.0004429833352172251638434463671956109465099871158599853515625	0.1865440397261495519831697720292140729725360870361328125	0.000485143862556668072245902312289445035276003181934356689453125	0.2446077215090334266989202660624869167804718017578125	-2.2899369324810546	3.8450054634068778	DMTN;MID1IP1;SHROOM2;FGF13;GAS2L2;HDAC6
negative regulation of microtubule polymerization or depolymerization (GO:0031111)	4/32	0.00117443780869734017667516123850646181381307542324066162109375	0.2718171061685066280944056416046805679798126220703125	0.0014249586935764541224813672926075014402158558368682861328125	0.32979877319108374944534034511889331042766571044921875	-2.615049249629226	3.406430732351773	MID1IP1;FGF13;GAS2L2;HDAC6
negative regulation of cytoskeleton organization (GO:0051494)	7/101	0.000716831486355119069063535075514437266974709928035736083984375	0.2488599976796188328886927365601877681910991668701171875	0.00070458297122141170902576146062301631900481879711151123046875	0.2446077215090334266989202660624869167804718017578125	-2.320790840954893	3.227906286429906	DMTN;MID1IP1;SHROOM2;ESPN;FGF13;GAS2L2;HDAC6
erythrocyte development (GO:0048821)	3/16	0.00151294626557204291150693364897961146198213100433349609375	0.31514670711865655494676730086212046444416046142578125	0.0020835848958109478602784836454020478413440287113189697265625	0.3752074963667393348032419453375041484832763671875	-2.630004013148222	3.036910374804796	DMTN;SOX6;ANK1
regulation of protein complex disassembly (GO:0043244)	6/80	0.00113854311410937028038736773538630586699582636356353759765625	0.2718171061685066280944056416046805679798126220703125	0.00115714809613783986379231816243873254279606044292449951171875	0.301292435531890057109905001198058016598224639892578125	-2.2983334248898295	2.993868514272176	DMTN;MID1IP1;SHROOM2;FGF13;GAS2L2;HDAC6
regulation of microtubule polymerization or depolymerization (GO:0031110)	5/52	0.00096524254200684440722912693644275350379757583141326904296875	0.2718171061685066280944056416046805679798126220703125	0.001075077122802479794028140958062067511491477489471435546875	0.301292435531890057109905001198058016598224639892578125	-2.2524031383048873	2.9340385360066215	FES;MID1IP1;FGF13;GAS2L2;HDAC6
negative regulation of organelle organization (GO:0010639)	10/237	0.0026971019683544989430090677018370115547440946102142333984375	0.468171950006868453630914927998674102127552032470703125	0.0021665950992805853812794847357281469157896935939788818359375	0.376084799316788231937636055590701289474964141845703125	-2.4076330016851233	1.82719996126069	DMTN;MID1IP1;TBC1D30;SHROOM2;BCOR;ESPN;SLC25A5;FGF13;GAS2L2;HDAC6
Wnt signaling pathway (GO:0016055)	10/234	0.0024604243495238392429314000509066318045370280742645263671875	0.465914901823468896591151633401750586926937103271484375	0.0019814126068334772350076899982695977087132632732391357421875	0.3752074963667393348032419453375041484832763671875	-2.309893526780987	1.76418643757711	MED12;AMER1;PORCN;T;TMEM88;WNT7B;PLCG2;ROR2;ZBTB33;TBL1X
establishment or maintenance of cell polarity (GO:0007163)	6/100	0.003543889489573307828573778266445515328086912631988525390625	0.56784013898316920698761123276199214160442352294921875	0.003353564741731994251761062031391702475957572460174560546875	0.53734425823290343782190348065341822803020477294921875	-2.212129304681612	1.2518779193654477	DLG3;WNT7B;FOXJ1;FGF13;PRKCZ;ANK1
embryonic viscerocranium morphogenesis (GO:0048703)	2/11	0.01078089474575603078088104069820474251173436641693115234375	0.7120155745182759066125299796112813055515289306640625	0.0131726299280769641730781671640215790830552577972412109375	0.5438992094530143983632797244354151189327239990234375	-2.56332106988633	0.8706460829552505	NDST1;FOXC2
establishment or maintenance of apical/basal cell polarity (GO:0035088)	3/25	0.005638135376761639096232503476358033367432653903961181640625	0.7120155745182759066125299796112813055515289306640625	0.006435883186833868570275729581453560967929661273956298828125	0.5438992094530143983632797244354151189327239990234375	-2.5433230015338886	0.8638536291802357	DLG3;FOXJ1;ANK1
establishment or maintenance of bipolar cell polarity (GO:0061245)	3/25	0.005638135376761639096232503476358033367432653903961181640625	0.7120155745182759066125299796112813055515289306640625	0.006435883186833868570275729581453560967929661273956298828125	0.5438992094530143983632797244354151189327239990234375	-2.535196455811773	0.8610934032826543	DLG3;FOXJ1;ANK1
parturition (GO:0007567)	2/10	0.00890630506902489148257640039219040772877633571624755859375	0.7120155745182759066125299796112813055515289306640625	0.011246583822164708810209532430235412903130054473876953125	0.5438992094530143983632797244354151189327239990234375	-2.517404373705863	0.8550502248548283	NRK;CRHR1
