Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0003123_paternal_imprinting_	5/14	0.00005085971739181058379371258570955660616164095699787139892578125	0.006764342413110808159559805829985634773038327693939208984375	0.000066362373326474266566066262384993024170398712158203125	0.00000000000015987355386390953665504436654072914386387656293653236616592039354145526885986328125	-1.8775522865254446	9.380420628179163	CITED1;RASGRF1;GRB10;GNAS;GPC3
MP0002873_normal_phenotype_	77/1375	0.0000008904786174728232437967164088210569872217092779465019702911376953125	0.000300619868803287033399984640169577687629498541355133056640625	0.000000000002903070832581030887673224347913589617024843203552109116571955382823944091796875	0.00000000000015987355386390953665504436654072914386387656293653236616592039354145526885986328125	-1.0812799841946958	8.768817346260073	RAB9;PLEKHB1;RASGRF1;HMGB3;SCX;HCCS;TCIRG1;DACH2;ARHGAP6;SAT1;HS6ST2;WDR44;AKAP12;ADAMTS4;TRO;MED12;ADAMTS5;EFEMP2;SEPT6;PEG12;SCN5A;ABCD1;HOXA5;TGIF1;FBXW7;VBP1;SPHK1;ATP11C;ACSL4;ZBTB33;POU3F1;VAV1;KIF4;CYP26C1;SCNN1A;PKP3;ENG;PLEC;NLGN3;MTMR1;TAGLN;SHC1;SEMA3B;ARX;XIAP;DTX1;TXLNG;FOXO4;PIK3R1;LRRC10;CRHR1;CENPB;THBS4;HDAC6;CECR2;PDZD4;FAM120C;LMNA;MBP;TAF9B;RBM10;ZRSR1;USP9X;HPRT;FER;H1F0;LRCH2;CLCN5;PARVG;FES;GNAS;SNAI1;RLIM;TAB3;APBA2;TJP3;A830080D01RIK
MP0002169_no_abnormal_phenotype_	76/1370	0.00000150686651029216557776796957257570142019176273606717586517333984375	0.000300619868803287033399984640169577687629498541355133056640625	0.000000000006714994342416733213534140142668809052468870124386057796073146164417266845703125	0.00000000000015987355386390953665504436654072914386387656293653236616592039354145526885986328125	-1.0554201375762615	8.559102679463354	RAB9;PLEKHB1;RASGRF1;HMGB3;SCX;HCCS;TCIRG1;DACH2;ARHGAP6;SAT1;HS6ST2;WDR44;AKAP12;ADAMTS4;TRO;MED12;ADAMTS5;EFEMP2;SEPT6;PEG12;SCN5A;ABCD1;HOXA5;TGIF1;FBXW7;VBP1;SPHK1;ATP11C;ACSL4;ZBTB33;POU3F1;VAV1;KIF4;CYP26C1;SCNN1A;PKP3;ENG;PLEC;NLGN3;MTMR1;TAGLN;SHC1;SEMA3B;ARX;XIAP;DTX1;TXLNG;FOXO4;PIK3R1;LRRC10;CRHR1;CENPB;THBS4;HDAC6;CECR2;PDZD4;FAM120C;LMNA;TAF9B;RBM10;ZRSR1;USP9X;HPRT;FER;H1F0;LRCH2;CLCN5;PARVG;FES;GNAS;SNAI1;RLIM;TAB3;APBA2;TJP3;A830080D01RIK
MP0000432_abnormal_head_morphology_	27/424	0.0005437593808578001543241331461331355967558920383453369140625	0.0309942847088946100975181963121940498240292072296142578125	0.000010139617540835620842208132652562113662497722543776035308837890625	0.00057795819982763029822037115224020453752018511295318603515625	-2.0103150083788184	6.983738760135145	NPR2;LEF1;COL11A2;TCIRG1;LTBP1;PTHLH;NDST1;CECR2;SOX3;ZIC3;LMNA;TGIF1;FOXH1;HUWE1;CASK;SHROOM3;HIC1;CLCN5;FES;PIGA;GTF2IRD1;BCOR;ROR2;IRF6;SIM2;BRWD3;ENG
MP0005380_embryogenesis_phenotype_	30/468	0.0002443342582648497956533673036716436399728991091251373291015625	0.0162482281746125119259449576247789082117378711700439453125	0.000002775385074653849716542174108635521179166971705853939056396484375	0.000184563107464481000220823947444159784936346113681793212890625	-1.6098015903976322	6.6320145704034115	PLA2G3;SCX;HCCS;HOXD11;ARHGAP6;AIFM1;ZIC3;CDH1;GRB10;TGIF1;PDHA1;FBXW7;FOXH1;HUWE1;SHROOM3;BMP8B;HNF1B;HPRT;ZDHHC15;KLF8;FGF16;NR4A3;SLC7A7;CTTN;RLIM;SNAI1;GTF2IRD1;BCAR1;BRWD3;ENG
MP0001672_abnormal_embryogenesis/_devel_	30/468	0.0002443342582648497956533673036716436399728991091251373291015625	0.0162482281746125119259449576247789082117378711700439453125	0.000002775385074653849716542174108635521179166971705853939056396484375	0.000184563107464481000220823947444159784936346113681793212890625	-1.5951683393954619	6.571728921266494	PLA2G3;SCX;HCCS;HOXD11;ARHGAP6;AIFM1;ZIC3;CDH1;GRB10;TGIF1;PDHA1;FBXW7;FOXH1;HUWE1;SHROOM3;BMP8B;HNF1B;HPRT;ZDHHC15;KLF8;FGF16;NR4A3;SLC7A7;CTTN;RLIM;SNAI1;GTF2IRD1;BCAR1;BRWD3;ENG
MP0002116_abnormal_craniofacial_bone_	28/467	0.0010934080608726894079385516533875488676130771636962890625	0.043626981628820303560356563821187592111527919769287109375	0.000019681860008252143241259946027099658749648369848728179931640625	0.00078530621432926044078737248810284654609858989715576171875	-1.9939931300045248	6.245344956445872	DDR1;EDA;NPR2;COL11A2;LEF1;LTBP1;PTHLH;MED12;NDST1;EFNB1;RPS6KA3;ZIC3;LMNA;GPC3;OFD1;NFATC2;SHROOM3;CASK;HIC1;PIGA;GNAS;SNAI1;HOXB3;GTF2IRD1;IRF6;ROR2;SIM2;HMX1
MP0002088_abnormal_embryonic_growth/wei_	25/385	0.0006508826303364967369446958400658331811428070068359375	0.03246277118803277128566975306966924108564853668212890625	0.00001612031202937247846584435662098400143804610706865787506103515625	0.00078530621432926044078737248810284654609858989715576171875	-1.6243281804839182	5.56764692094239	SCX;HCCS;ARHGAP6;AIFM1;ZIC3;GRB10;TGIF1;PDHA1;FBXW7;FOXH1;HUWE1;BMP8B;HNF1B;HPRT;ZFX;ZDHHC15;KLF8;FGF16;NR4A3;SLC7A7;SNAI1;GTF2IRD1;BCAR1;BRWD3;ENG
MP0009764_decreased_sensitivity_to_	8/67	0.00126296846996730937305597475273089003167115151882171630859375	0.045811310865177860829344780313476803712546825408935546875	0.0004045440315668045170617583838890141123556531965732574462890625	0.0028464835067033996372776183392261373228393495082855224609375	-1.7904018594895215	5.52021044157799	NOS3;SPHK1;PDE4B;AQP4;S1PR3;A4GALT;DRD2;ANK1
MP0003984_embryonic_growth_retardation_	24/376	0.001048307681944109746863258436633259407244622707366943359375	0.043626981628820303560356563821187592111527919769287109375	0.0000311810018732023905133933505684495912646525539457798004150390625	0.00078530621432926044078737248810284654609858989715576171875	-1.6091478804279493	5.039979049066961	TGIF1;PDHA1;FBXW7;FOXH1;HUWE1;BMP8B;SCX;HNF1B;HCCS;HPRT;ARHGAP6;ZDHHC15;KLF8;FGF16;NR4A3;SLC7A7;AIFM1;ZIC3;SNAI1;GRB10;GTF2IRD1;BCAR1;BRWD3;ENG
