Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
X-linked recessive inheritance (HP:0001419)	43/111	0.00000000000000000000000000000000000000000250319120708674416793033959370890521168170674687804757807775272531369003465623577906460074402288532357393970213810252545272305724211037158966064453125	0.0000000000000000000000000000000000000025832933257135199175804340154094990973003054520696728769320586048189766728098011885481519073092912162047107837992143686278723180294036865234375	0.0000000000000000000000000001809155763402365433604466144632608981418983278172420395201356508930635668915866409722781327218399383127689361572265625	0.000000000000000000000000186704874783124123330586908707103766498444887312840408213318176773088709341497093419093289412558078765869140625	-2.0928581235265966	185.95411422555964	EDA;ABCB7;IGSF1;FHL1;ARX;TAZ;PHF6;CHRDL1;SAT1;FGD1;AFF2;MECP2;MED12;AIFM1;OPHN1;PGK1;GPC3;IDS;ATP7A;PAK3;ABCD1;EMD;GRIA3;GPR179;OFD1;TRAPPC2;IGBP1;PDHA1;GK;IQSEC2;ATP2B3;PHKA1;UBE2A;SMC1A;FGF16;CLCN5;SLC6A8;PIGA;SMS;UBA1;MAMLD1;MBTPS2;BRWD3
X-linked dominant inheritance (HP:0001423)	23/62	0.0000000000000000000001274751135399016498161522561920722657371134436355326435995533908285270996429972001351416110992431640625	0.00000000000000000006577715858658925713558654427365532864528376153827340607795071125707409009919501841068267822265625	0.000000000000008830791698330530270681817082515778253326587700355876364710638881660997867584228515625	0.00000000000455668851633855343665608760330340272319549210777722692000679671764373779296875	-1.9176835215642711	84.7002732201068	OFD1;SLC35A2;CDKL5;PDHA1;EDA;GK;FMR1;FHL1;NDUFA1;CASK;HCCS;WDR45;HDAC6;MECP2;EFNB1;RPS6KA3;PORCN;SLC9A6;LAMP2;NHS;PDK3;BCOR;SLC16A2
Macrotia (HP:0000400)	18/105	0.0000000000153818184298774493616917080385884789885120316199618173413909971714019775390625	0.00000000529134553987784229607861200017117353500140097821713425219058990478515625	0.00000036443244936077852136040318951903937971792402095161378383636474609375	0.00012536476258010779906600096200719463013228960335254669189453125	-2.1913712044818223	41.761384565859714	FMR1;CASK;PIK3R1;TAZ;SMC1A;PHF6;MECP2;SALL1;OPHN1;SLC9A6;NHS;GTF2IRD1;UBA1;SLC12A6;PAK3;SLC16A2;MBTPS2;BRWD3
Pectus excavatum (HP:0000767)	19/135	0.0000000001471805110674990432971717846890214072275160361868984182365238666534423828125	0.00000003797257185541475270538122588868945594953174804686568677425384521484375	0.00000250086228028710099756198002862728202444486669264733791351318359375	0.000645222468314072075158682739726145882741548120975494384765625	-2.325786665144848	39.73932530153923	IGBP1;FMR1;COL11A2;SMC1A;FGD1;MED12;MECP2;RPS6KA3;EFNB1;EFEMP2;ZDHHC9;SLC9A6;SMS;GPC3;GTF2IRD1;GPC4;ATP7A;SLC16A2;EMD
Cryptorchidism (HP:0000028)	29/379	0.00000000731123626680109798139250258121844827652324738664901815354824066162109375	0.000001257532637889788783316338989515248414363668416626751422882080078125	0.0003208515865099464937047757384647184153436683118343353271484375	0.0019464282836885670423254790506462086341343820095062255859375	-2.525816205835693	34.31664569181653	FMR1;ARX;PHF6;FGD1;PHF8;MECP2;MED12;EFNB1;SOX3;PORCN;SALL1;OPHN1;AP1S2;GPC3;GPC4;RBM10;OFD1;TBX1;GK;BDNF;SMC1A;ANK1;SMS;GTF2IRD1;UBA1;IRF6;BCOR;BRWD3;MBTPS2
Long face (HP:0000276)	15/95	0.000000002539764725382168385048363431848693350101342502966872416436672210693359375	0.0000005242074393188796162162197862788293178937237826175987720489501953125	0.0000092920486239525597218884278571948698299820534884929656982421875	0.0019178788359838082507036194357397107523865997791290283203125	-2.088683771645148	30.205246284457935	OFD1;TBX1;MOCS2;FMR1;PHF8;MED12;SLC6A8;OPHN1;SLC9A6;AP1S2;NHS;BCOR;SLC12A6;ATP7A;BRWD3
Autism (HP:0000717)	14/109	0.00000012799708356517673990014930494873990340920499875210225582122802734375	0.000012801985403538955295339209217164722076631733216345310211181640625	0.000146076977968188394252369022296988987363874912261962890625	0.004583471929791417022459487640162478783167898654937744140625	-2.2734160911383468	25.61210173327822	TBX1;CDKL5;FMR1;SMC1A;FTSJ1;MED12;MECP2;SOX3;SLC6A8;SLC9A6;OPHN1;NHS;GTF2IRD1;GRIA3
Tapered finger (HP:0001182)	10/42	0.00000001962927416752759700827537137253486765331444985349662601947784423828125	0.0000025321763676110601662687556168140901036167633719742298126220703125	0.000015088591346423001050380645338133689392634551040828227996826171875	0.0019464282836885670423254790506462086341343820095062255859375	-1.9798051552921052	25.512623320331997	OFD1;RPS6KA3;CDKL5;ARX;HUWE1;AMMECR1;KCNE1L;ACSL4;SLC12A6;PHF6
Patent ductus arteriosus (HP:0001643)	15/125	0.0000001139548152367832636695644372114288866981723913340829312801361083984375	0.000012801985403538955295339209217164722076631733216345310211181640625	0.0001669077673406331387313816794204512916621752083301544189453125	0.004583471929791417022459487640162478783167898654937744140625	-2.2463032082704575	25.306650427201152	TBX1;IGBP1;COL18A1;FOXC2;ARX;AMMECR1;ACSL4;ANK1;PORCN;SALL1;ZIC3;GPC3;GTF2IRD1;KCNE1L;BCOR
Narrow face (HP:0000275)	11/53	0.00000001793703990497653848729036414784421271662040453520603477954864501953125	0.0000025321763676110601662687556168140901036167633719742298126220703125	0.000017154256417213639500894684086773622766486369073390960693359375	0.0019464282836885670423254790506462086341343820095062255859375	-1.9189035858867987	24.727819423998373	MED12;TBX1;SLC6A8;SLC9A6;ZDHHC9;FMR1;NHS;GTF2IRD1;BCOR;SLC16A2;ATP7A
