Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0003123_paternal_imprinting_	3/14	0.0002546739335656487425961491677384174181497655808925628662109375	0.0697806577969877495082329232900519855320453643798828125	0.00016994210419223165883968740264009511520271189510822296142578125	0.004462104468805010160092905380224692635238170623779296875	-1.9871361469483468	5.29054813108718	CITED1;GNAS;GPC3
MP0002249_abnormal_larynx_morphology_	3/35	0.003977061605009614940475781708073554909788072109222412109375	0.342465773972189690965706176939420402050018310546875	0.001911280627106741979159831856804885319434106349945068359375	0.004462104468805010160092905380224692635238170623779296875	-2.168932141258548	2.3241920172628627	RAI1;HOXB3;HOXA5
MP0003121_genomic_imprinting_	3/45	0.0080663380713454947701368524803910986520349979400634765625	0.342465773972189690965706176939420402050018310546875	0.0037404654103885457382128176817559506162069737911224365234375	0.004462104468805010160092905380224692635238170623779296875	-2.075440070209187	2.224007451283675	CITED1;GNAS;GPC3
MP0002932_abnormal_joint_morphology_	5/136	0.0083397660841255071006994370463871746324002742767333984375	0.342465773972189690965706176939420402050018310546875	0.002237103539259529226546074909265371388755738735198974609375	0.004462104468805010160092905380224692635238170623779296875	-1.9484145580479504	2.0878890012234717	RAI1;UNCX;HOXB3;ROR2;HOXA5
MP0009703_decreased_birth_body_	5/144	0.01051721041872528093763516920944312005303800106048583984375	0.360214456841340846526833274765522219240665435791015625	0.0028431956099964120730783090351678765728138387203216552734375	0.004462104468805010160092905380224692635238170623779296875	-1.8202470398366473	1.8585736362763152	CITED1;GNAS;ROR2;HPRT;UBE2A
MP0001943_abnormal_respiration_	10/438	0.007231671253065223570200004132857429794967174530029296875	0.342465773972189690965706176939420402050018310546875	0.000612777584430888346000987354500466608442366123199462890625	0.004462104468805010160092905380224692635238170623779296875	-1.698410676268891	1.8199889525025128	NDST1;MUSK;GNAS;UNCX;CASK;ROR2;AQP5;SOX6;CRHR1;IL13RA1
MP0002063_abnormal_learning/memory/cond_	10/403	0.004088834759271248696366196639928602962754666805267333984375	0.342465773972189690965706176939420402050018310546875	0.000322751832104665905935625414002743127639405429363250732421875	0.004462104468805010160092905380224692635238170623779296875	-1.6604978267694923	1.7793621664071857	RPS6KA3;RAI1;SH3KBP1;FMR1;ARX;GNAS;HPRT;SLC12A6;CRHR1;AFF2
MP0002114_abnormal_axial_skeleton_	11/567	0.01551557119687181802991648993383932975120842456817626953125	0.452792175312450695390253940786351449787616729736328125	0.0012063980780915796627017488873434558627195656299591064453125	0.004462104468805010160092905380224692635238170623779296875	-1.8188074808205148	1.4410812406808262	QDPR;RAI1;RPS6KA3;MUSK;GPC3;UNCX;CASK;HOXB3;ROR2;SOX6;HOXA5
MP0002572_abnormal_emotion/affect_behav_	8/372	0.0214828404345323333013428879212369793094694614410400390625	0.452792175312450695390253940786351449787616729736328125	0.0032038324733872337000961660891107385396026074886322021484375	0.004462104468805010160092905380224692635238170623779296875	-1.7708194248567237	1.4030592466240592	RAI1;SH3KBP1;FMR1;ARX;GNAS;HPRT;SLC12A6;CRHR1
MP0004782_abnormal_surfactant_physiolog_	2/23	0.018569938326543487805420085123842000029981136322021484375	0.452792175312450695390253940786351449787616729736328125	0.01145261608179246916316973425864489399828016757965087890625	0.004462104468805010160092905380224692635238170623779296875	-1.7664701801231741	1.3996132441951377	NDST1;HOXA5
MP0002081_perinatal_lethality_	17/981	0.00874912561242820359386218598274354008026421070098876953125	0.342465773972189690965706176939420402050018310546875	0.000174188160653072801435647942724926906521432101726531982421875	0.004462104468805010160092905380224692635238170623779296875	-1.3032534448353763	1.3965449611526757	EDA;CITED1;MUSK;ARX;UNCX;CASK;HPRT;ZFX;LPP;ANK1;NDST1;GPC3;GNAS;HOXB3;ROR2;SOX6;HOXA5
MP0003122_maternal_imprinting_	2/24	0.02013775681824060692637345937328063882887363433837890625	0.452792175312450695390253940786351449787616729736328125	0.01235508516416831958917299516542698256671428680419921875	0.004462104468805010160092905380224692635238170623779296875	-1.7495850254452907	1.386234764114709	GNAS;GPC3
MP0002116_abnormal_craniofacial_bone_	9/467	0.0283401890524132178683647254047173191793262958526611328125	0.503163173618282666410550518776290118694305419921875	0.00363092636212612208945760272627012454904615879058837890625	0.004462104468805010160092905380224692635238170623779296875	-1.9160677671716269	1.3160334426752764	NDST1;RAI1;RPS6KA3;EDA;GNAS;GPC3;CASK;HOXB3;ROR2
MP0009672_abnormal_birth_weight_	3/73	0.029381791160191690626124483287640032358467578887939453125	0.503163173618282666410550518776290118694305419921875	0.013354772316566336509691126366305979900062084197998046875	0.004462104468805010160092905380224692635238170623779296875	-1.8164842716468266	1.2476354388601005	CITED1;GNAS;UBE2A
MP0001731_abnormal_postnatal_growth_	13/732	0.017367819756674472697621780525878421030938625335693359375	0.452792175312450695390253940786351449787616729736328125	0.000931488836633544083250246803373784132418222725391387939453125	0.004462104468805010160092905380224692635238170623779296875	-1.554779691160332	1.2318862056317814	LIG1;SUV39H1;ARX;CASK;GPR50;AQP5;SOX3;RAI1;CLDN7;GNAS;GPC3;HOXA5;PLEC
MP0003959_abnormal_lean_body_	3/70	0.0263743515228955956175571628818943281657993793487548828125	0.503163173618282666410550518776290118694305419921875	0.0119799569585553704331726265763791161589324474334716796875	0.004462104468805010160092905380224692635238170623779296875	-1.777413560369686	1.2208000818070837	SH3KBP1;GNAS;ROR2
MP0001175_abnormal_lung_morphology_	8/402	0.032031959791450848040739174393820576369762420654296875	0.51627982252103132854159639464342035353183746337890625	0.005067749654814909625322183472917458857409656047821044921875	0.004462104468805010160092905380224692635238170623779296875	-1.5838216676111867	1.0470745914697688	NDST1;GNAS;GPC3;SPEG;HPRT;ROR2;CRHR1;HOXA5
MP0009745_abnormal_behavioral_response_	6/325	0.07872568428571884158184701618665712885558605194091796875	0.68933487343264487900995618474553339183330535888671875	0.0207461772921170885253250304458561004139482975006103515625	0.004462104468805010160092905380224692635238170623779296875	-1.9585529794752163	0.7286367394687217	SH3KBP1;ARX;GNAS;SLC12A6;GPRASP1;CRHR1
