Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
X-linked recessive inheritance (HP:0001419)	25/111	0.0000000000000000000000292928318976616331675458250912325830997927424396515155741272198354485656324186493293382227420806884765625	0.0000000000000000000226140662249947816281914225460328097311555732189829444962921034534275577243533916771411895751953125	0.00000000000000001400234112742924243276037703837715059734090567258348036805415404160157777369022369384765625	0.000000000000010809807350375374837616268327591114312632449533102541039397692657075822353363037109375	-2.0928581235265966	94.67193327824909	EDA;IGSF1;FHL1;PHF6;SAT1;FGD1;RPGR;AFF2;MED12;AIFM1;OPHN1;GPC3;EMD;TRAPPC2;PDHA1;GK;IQSEC2;ALG13;UBE2A;FGF16;ARHGEF9;SLC6A8;PIGA;SMS;MBTPS2
X-linked dominant inheritance (HP:0001423)	17/62	0.000000000000000008885530732779373892638240249237181753655717814078217331452691496451734565198421478271484375	0.0000000000000034298148628528384766327562871844204013893424830283773729888707748614251613616943359375	0.0000000000003418149406945658785336023419220082911478171550090365826690685935318470001220703125	0.0000000001319405671081024342636544932646602661108214959995166282169520854949951171875	-1.9176835215642711	63.87088535669896	SLC35A2;CDKL5;PDHA1;EDA;GK;FMR1;FHL1;NDUFA1;CASK;HDAC6;EFNB1;RPS6KA3;PORCN;NHS;PDK3;BCOR;SLC16A2
Mandibular prognathia (HP:0000303)	11/97	0.000000122567140730963168755379504547275981707343817106448113918304443359375	0.000031540610881434521140138926842411137840826995670795440673828125	0.000020020781416091773638639417232099049215321429073810577392578125	0.005152014417740950237567520986203817301429808139801025390625	-2.102639152368907	21.79224547143388	RPS6KA3;RAI1;SLC6A8;CDKL5;OPHN1;FMR1;SMS;AP1S2;NHS;GPC3;GPC4
Autism (HP:0000717)	10/109	0.00000330675907390872058085420394368814100971576408483088016510009765625	0.0003808149599205524864220517855528669315390288829803466796875	0.000254837256681654717761775774675925276824273169040679931640625	0.023720019414060648788034058043194818310439586639404296875	-2.3125168592702967	18.206900730204786	MED12;SOX3;RAI1;SLC6A8;CDKL5;OPHN1;GP1BB;FMR1;NHS;FTSJ1
Long face (HP:0000276)	10/95	0.000000931922673474264869110665794604830836078690481372177600860595703125	0.00017986107598053310851517194723925285870791412889957427978515625	0.000088811730145481307852235730582179940029163844883441925048828125	0.01714066391807789191403799122781492769718170166015625	-2.098168874023096	18.09319379497467	MED12;SLC6A8;OPHN1;GP1BB;FMR1;AP1S2;NHS;BCOR;SLC12A6;PHF8
Cryptorchidism (HP:0000028)	18/379	0.000007995927048292927535942491157339162555217626504600048065185546875	0.000771606960160267467407901875731113250367343425750732421875	0.00216547851739985232344398724535494693554937839508056640625	0.03232260808230950910324708047482999972999095916748046875	-2.504462283961606	17.949569487847427	GK;GP1BB;FMR1;ANK1;PHF6;FGD1;PHF8;MED12;EFNB1;SOX3;PORCN;OPHN1;SMS;AP1S2;GPC3;GPC4;BCOR;MBTPS2
Deeply set eye (HP:0000490)	9/81	0.00000208304995893929893713801548837949439985095523297786712646484375	0.0003216229136602277477625932977645106802810914814472198486328125	0.00014141046918941045759839092443854724479024298489093780517578125	0.021833776442844975151924558076643734239041805267333984375	-2.040920464362771	16.413349274256714	SEPT9;RAI1;CDKL5;OPHN1;FMR1;AP1S2;UBE2A;PHF6;PLEC
Wide mouth (HP:0000154)	9/86	0.00000345298538788065703208744749996839118466596119105815887451171875	0.0003808149599205524864220517855528669315390288829803466796875	0.00021507789624148257305071008094188300674431957304477691650390625	0.023720019414060648788034058043194818310439586639404296875	-2.084352364110948	16.410516718183192	MED12;RPS6KA3;RAI1;CDKL5;AP1S2;GPC3;GPC4;UBE2A;HDAC6
Coarse facial features (HP:0000280)	10/129	0.00001489832326189845603837957899173716214136220514774322509765625	0.001269313415746940558459510128841429832391440868377685546875	0.000891008458984089766856395709027083285036496818065643310546875	0.03232260808230950910324708047482999972999095916748046875	-2.21746558113815	14.788896948875577	SLC35A2;MED12;RPS6KA3;FOXE1;FMR1;PIGA;AP1S2;GPC3;GPC4;PHF6
Pectus excavatum (HP:0000767)	10/135	0.00002215667571407646820025837131051815731552778743207454681396484375	0.00155499578647882107616806646177565198740921914577484130859375	0.00123790845500787991852187364116844037198461592197418212890625	0.038484275880640191058734700391141814179718494415283203125	-2.2576987333948346	14.598917681367169	MED12;RPS6KA3;EFNB1;FMR1;SMS;GPC3;GPC4;SLC16A2;EMD;FGD1
