Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0003122_maternal_imprinting_	4/24	0.0003291192786962442010968710182083896143012680113315582275390625	0.036125485673261258090516179208862013183534145355224609375	0.0002343836445134375831740591866747536187176592648029327392578125	0.00009379449962472106126776250079046803875826299190521240234375	-2.1907020439117666	7.274788464605827	MEG3;PLAGL1;GPC3;IGF2R
MP0003121_genomic_imprinting_	5/45	0.0004142795594279355983306778465902198149706237018108367919921875	0.036125485673261258090516179208862013183534145355224609375	0.00021338842652558255054418001606109100976027548313140869140625	0.00009379449962472106126776250079046803875826299190521240234375	-2.15841945729309	7.167585849173088	MEG3;CITED1;PLAGL1;GPC3;IGF2R
MP0002249_abnormal_larynx_morphology_	4/35	0.0014359716595816929447793075524941741605289280414581298828125	0.06820865383013041682858101921738125383853912353515625	0.000857626337679679253724052134799649138585664331912994384765625	0.00009379449962472106126776250079046803875826299190521240234375	-2.045080515431059	5.491417137582003	RAI1;ZIC3;HOXB3;HOXA5
MP0003123_paternal_imprinting_	3/14	0.00089971840380616741224273358312757409294135868549346923828125	0.05128394901695154661780406968318857252597808837890625	0.00079390740779746826576157570087843851069919764995574951171875	0.00009379449962472106126776250079046803875826299190521240234375	-1.7679684261025423	5.251533563636012	MEG3;CITED1;GPC3
MP0002169_no_abnormal_phenotype_	35/1370	0.0004746513486832268564376280384209394469507969915866851806640625	0.036125485673261258090516179208862013183534145355224609375	0.000001702748106397662310686658311553731692811197717674076557159423828125	0.00009379449962472106126776250079046803875826299190521240234375	-1.0398894323129881	3.453219787547118	MTMR1;SHC1;IGSF1;XIAP;HMGB3;SCX;TXLNG;FOXO4;ARHGAP6;SAT1;HS6ST2;HDAC6;WDR44;MED12;PDZD4;MED14;NKRF;PCK1;TAF9B;HOXA5;CDX1;USP9X;MSN;ATP11C;HPRT;ZBTB33;FTSJ1;IGF2R;BACE1;LRCH2;RLIM;RBM41;TAB3;PLEC;A830080D01RIK
MP0002873_normal_phenotype_	35/1375	0.00050702436032647375287185642633858151384629309177398681640625	0.036125485673261258090516179208862013183534145355224609375	0.0000018504332716017069939231677599966729985681013204157352447509765625	0.00009379449962472106126776250079046803875826299190521240234375	-1.0346713471969906	3.4358917964975424	MTMR1;SHC1;IGSF1;XIAP;HMGB3;SCX;TXLNG;FOXO4;ARHGAP6;SAT1;HS6ST2;HDAC6;WDR44;MED12;PDZD4;MED14;NKRF;PCK1;TAF9B;HOXA5;CDX1;USP9X;MSN;ATP11C;HPRT;ZBTB33;FTSJ1;IGF2R;BACE1;LRCH2;RLIM;RBM41;TAB3;PLEC;A830080D01RIK
MP0002572_abnormal_emotion/affect_behav_	12/372	0.006801314135834189526785831247934765997342765331268310546875	0.215374947634749347447069567351718433201313018798828125	0.00105900310266037194113775132819910140824504196643829345703125	0.00009379449962472106126776250079046803875826299190521240234375	-1.829464622386954	2.8089139285926743	BACE1;RAI1;ARHGEF9;TRPC5;PCSK1N;OPHN1;SH3KBP1;FMR1;CAMK2A;ARAF;HPRT;SLC12A6
MP0002063_abnormal_learning/memory/cond_	13/403	0.004944006914424378153205541508441456244327127933502197265625	0.1861594848079316244504610722287907265126705169677734375	0.0006518864505215536155058320133548477315343916416168212890625	0.00009379449962472106126776250079046803875826299190521240234375	-1.6035709617152376	2.6958457716799034	SH3KBP1;FMR1;CAMK2A;HPRT;AFF2;BACE1;RPS6KA3;RAI1;ARHGEF9;DLG3;OPHN1;NPTX2;SLC12A6
MP0003635_abnormal_synaptic_transmissio_	14/453	0.0052255293981173789319427669397555291652679443359375	0.1861594848079316244504610722287907265126705169677734375	0.000606037694381645415837855939145129013922996819019317626953125	0.00009379449962472106126776250079046803875826299190521240234375	-1.4605017325080845	2.4553247184656097	TRPC5;SHC1;FMR1;CAMK2A;CASK;DOC2B;AFF2;BACE1;ARHGEF9;OPHN1;DLG3;DPYSL4;SLC12A6;S1PR4
MP0004859_abnormal_synaptic_plasticity_	3/34	0.0120203199960328376005858075359356007538735866546630859375	0.31143556353357804145076670465641655027866363525390625	0.00773002370042788662651833675454327021725475788116455078125	0.00009379449962472106126776250079046803875826299190521240234375	-1.8024957604152252	2.1027245387374585	ARHGEF9;DPYSL4;CAMK2A
