Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002177_abnormal_outer_ear_	6/120	0.0002167207471728356993519171158624203599174506962299346923828125	0.030882706472129088648426176177963498048484325408935546875	0.000062686689752986120803546210566992158419452607631683349609375	0.004601002757710346592612271621192121529020369052886962890625	-2.172969730808324	7.556630254711218	DDR1;LMNA;GNAS;HOXA5;HIC1;HMX1
MP0010030_abnormal_orbit_morphology_	3/16	0.00018337648129632157776615353217408710406743921339511871337890625	0.030882706472129088648426176177963498048484325408935546875	0.0001435053441643593268896295089831482982845045626163482666015625	0.004601002757710346592612271621192121529020369052886962890625	-2.0949568311825755	7.285335800300945	RARG;LMNA;GTF2IRD1
MP0002116_abnormal_craniofacial_bone_	11/467	0.00051269153946346501631026182366213106433860957622528076171875	0.0487056962490291789347196527160122059285640716552734375	0.0000484316079758983898217832020360873457320849411189556121826171875	0.004601002757710346592612271621192121529020369052886962890625	-2.1030886379705818	6.355448246439824	DDR1;NDST1;EFNB1;RARG;COL11A2;LMNA;GNAS;GTF2IRD1;LTBP1;HIC1;HMX1
MP0005508_abnormal_skeleton_morphology_	5/127	0.0021371481671557499178171202203202483360655605792999267578125	0.1522718069098471793676452534782583825290203094482421875	0.0007652067431399046937290364667205722071230411529541015625	0.05452098044871821203027906221905141137540340423583984375	-1.9415882426705913	3.654240227037031	EFNB1;RARG;LMNA;SCX;HOXA5
MP0002282_abnormal_trachea_morphology_	3/45	0.00399825852556437606744044188644693349488079547882080078125	0.186873119441793023032261089610983617603778839111328125	0.002287827550141737810440734079975300119258463382720947265625	0.05489520946356214736727707759200711734592914581298828125	-2.0319692749464977	3.408273672976921	EFNB1;RARG;HOXA5
MP0002060_abnormal_skin_morphology_	4/90	0.003881998409804324375038664385328956996090710163116455078125	0.186873119441793023032261089610983617603778839111328125	0.0017355430974121933106191217888181199668906629085540771484375	0.05489520946356214736727707759200711734592914581298828125	-1.9208679427399769	3.2219205867068945	RARG;LMNA;GNAS;PLEC
MP0010771_integument_phenotype_	6/217	0.004589866091552811076803575218718833639286458492279052734375	0.186873119441793023032261089610983617603778839111328125	0.00134830339033310537925902661271493343519978225231170654296875	0.05489520946356214736727707759200711734592914581298828125	-1.830287996361622	3.0699885420901585	RARG;FOXE1;LMNA;GNAS;PKP3;PLEC
MP0005390_skeleton_phenotype_	6/265	0.01172130282491117177212647249007204663939774036407470703125	0.259955615834506159611549946930608712136745452880859375	0.003590161589421781047903881045613161404617130756378173828125	0.057263509824307452789060590703229536302387714385986328125	-1.9982225475476083	2.692094078924544	EFNB1;RARG;LMNA;SCX;PIK3CD;HOXA5
MP0000383_abnormal_hair_follicle_	2/23	0.01148580252529787272541828002658803598023951053619384765625	0.259955615834506159611549946930608712136745452880859375	0.00821507321392200319520870976930382312275469303131103515625	0.057263509824307452789060590703229536302387714385986328125	-1.8957588705116704	2.554050466819465	FOXE1;PKP3
MP0004782_abnormal_surfactant_physiolog_	2/23	0.01148580252529787272541828002658803598023951053619384765625	0.259955615834506159611549946930608712136745452880859375	0.00821507321392200319520870976930382312275469303131103515625	0.057263509824307452789060590703229536302387714385986328125	-1.8498200178971276	2.492159606230399	NDST1;HOXA5
MP0000858_altered_metastatic_potential_	3/72	0.01462936785367547308511770864924983470700681209564208984375	0.259955615834506159611549946930608712136745452880859375	0.0080448323362739930508791275087787653319537639617919921875	0.057263509824307452789060590703229536302387714385986328125	-1.7984040529383605	2.4228897368669657	LEP;ITGAL;HIC1
MP0009764_decreased_sensitivity_to_	3/67	0.01205521248194854448676505143112080986611545085906982421875	0.259955615834506159611549946930608712136745452880859375	0.006648903312807688016639051653555725351907312870025634765625	0.057263509824307452789060590703229536302387714385986328125	-1.7690356414878199	2.383323309858897	SPHK1;A4GALT;ANK1
MP0001286_abnormal_eye_development_	5/195	0.012815400628648478120741316388375707902014255523681640625	0.259955615834506159611549946930608712136745452880859375	0.004726465192429048396693946898494687047787010669708251953125	0.057263509824307452789060590703229536302387714385986328125	-1.7442000702452054	2.3498637263049993	NDST1;COL18A1;EFNB1;MAB21L1;SLC12A6
MP0004885_abnormal_endolymph_	2/21	0.0096223107395966567256806456498452462255954742431640625	0.259955615834506159611549946930608712136745452880859375	0.006976941518443123026183005919165225350297987461090087890625	0.057263509824307452789060590703229536302387714385986328125	-1.7241687861538297	2.322876691571641	ESPN;SLC12A6
MP0003935_abnormal_craniofacial_develop_	6/268	0.0123359012978748912303661455780456890352070331573486328125	0.259955615834506159611549946930608712136745452880859375	0.003789470332729882352806871637085350812412798404693603515625	0.057263509824307452789060590703229536302387714385986328125	-1.6808103953358133	2.264462343612184	NDST1;EFNB1;FOXE1;GTF2IRD1;LTBP1;HIC1
MP0000163_abnormal_cartilage_morphology_	6/282	0.0155061244532863316825110899799256003461778163909912109375	0.259955615834506159611549946930608712136745452880859375	0.004830470487658757028359701735098497010767459869384765625	0.057263509824307452789060590703229536302387714385986328125	-1.6779790477785121	2.26064782655364	EFNB1;RARG;LEP;COL11A2;GNAS;HOXA5
MP0003755_abnormal_palate_morphology_	5/212	0.0177823984163863850482822925869186292402446269989013671875	0.28155464159278442703993050599819980561733245849609375	0.006649169910839281515124721266829510568641126155853271484375	0.057263509824307452789060590703229536302387714385986328125	-1.698686279270752	2.152963813243579	EFNB1;NDST1;FOXE1;LMNA;HIC1
