Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0009701_abnormal_birth_body_	7/145	0.00645442643979540243981407598994337604381144046783447265625	0.0888569136992845287625897299221833236515522003173828125	0.00099942097344076310551364006329322364763356745243072509765625	0.000048975465841256273879893157197074060604791156947612762451171875	-1.8781214789101874	4.546421090347669	GRB10;FOXJ1;APEX2;ESRRG;ROR2;UBE2A;IGF2R
MP0001672_abnormal_embryogenesis/_devel_	32/1271	0.003035211740772141876532064230787000269629061222076416015625	0.060704234815442841000088236569354194216430187225341796875	0.000001734364441504341141611807153299906758547876961529254913330078125	0.0000346872888300868228322361430659981351709575392305850982666015625	-1.2201153397371027	3.418448168945141	MESP2;FOXC2;OTUD5;SUV39H1;HCCS;FGF4;MED12;EFNB1;PORCN;SALL1;AIFM1;ZIC3;NSD1;GRB10;GPC3;PDHA1;USP9X;WNT7B;HUWE1;BMP8B;ALG13;FOXJ1;NFATC2;ZFX;EPOR;IGF2R;ZDHHC15;DLG3;RLIM;BCOR;ROR2;BRWD3
MP0002169_no_abnormal_phenotype_	34/1371	0.0028734761555933041078658707334625432849861681461334228515625	0.060704234815442841000088236569354194216430187225341796875	0.000001013481702286214365104906158510100766534378635697066783905029296875	0.00003040445106858643222369660563675353159851511009037494659423828125	-1.1585655079500647	3.246001431396036	RAB9;MTMR1;GALNT13;ARX;TXLNG;HCCS;FOXO4;SAT1;CRHR1;HDAC6;FGF4;WDR44;MED12;SEPT6;SALL1;PEG12;CCRL2;SOX6;TAF9B;RBM10;ST8SIA1;VBP1;USP9X;ATP11C;ACSL4;ZBTB33;EPOR;IGF2R;FES;RLIM;TAB3;APBA2;PLEC;A830080D01RIK
MP0002873_normal_phenotype_	34/1371	0.0028734761555933041078658707334625432849861681461334228515625	0.060704234815442841000088236569354194216430187225341796875	0.000001013481702286214365104906158510100766534378635697066783905029296875	0.00003040445106858643222369660563675353159851511009037494659423828125	-1.090174008979759	3.0543861088013453	RAB9;MTMR1;GALNT13;ARX;TXLNG;HCCS;FOXO4;SAT1;CRHR1;HDAC6;FGF4;WDR44;MED12;SEPT6;SALL1;PEG12;CCRL2;SOX6;TAF9B;RBM10;ST8SIA1;VBP1;USP9X;ATP11C;ACSL4;ZBTB33;EPOR;IGF2R;FES;RLIM;TAB3;APBA2;PLEC;A830080D01RIK
MP0004196_abnormal_prenatal_growth/weig_	20/786	0.0159021069206335859125278631154287722893059253692626953125	0.159021069206335852186384727247059345245361328125	0.0002028399151296612456900347876143086978117935359477996826171875	0.00202839915129661256532056512469353037886321544647216796875	-1.2266529474711942	2.2554695593594993	MESP2;PDHA1;USP9X;SUV39H1;HUWE1;BMP8B;FOXJ1;NFATC2;HCCS;ZFX;IGF2R;ZDHHC15;SALL1;AIFM1;ZIC3;FES;GRB10;GPC3;ROR2;BRWD3
MP0000001_mammalian_phenotype_	34/1459	0.007404742808273710730215810826848610304296016693115234375	0.0888569136992845287625897299221833236515522003173828125	0.0000040812888201046897723354121845229514065067633055150508880615234375	0.000048975465841256273879893157197074060604791156947612762451171875	-0.9127436509836888	2.209504034489356	RAB9;MTMR1;GALNT13;ARX;TXLNG;HCCS;FOXO4;SAT1;CRHR1;HDAC6;FGF4;WDR44;MED12;SEPT6;SALL1;PEG12;CCRL2;SOX6;TAF9B;RBM10;ST8SIA1;VBP1;USP9X;ATP11C;ACSL4;ZBTB33;EPOR;IGF2R;FES;RLIM;TAB3;APBA2;PLEC;A830080D01RIK
MP0003121_genomic_imprinting_	3/46	0.031841712659578892685718898292179801501333713531494140625	0.272928965653533361912508325985982082784175872802734375	0.01413144252685278288994563666847170679830014705657958984375	0.0025614284283115413241860292004048460512422025203704833984375	-1.4999251271509577	1.9477183494215258	GRB10;GPC3;IGF2R
MP0002127_abnormal_cardiovascular_syste_	26/1223	0.0480657169776186610210544358778861351311206817626953125	0.36049287733213997153569607689860276877880096435546875	0.0003415237904415388179267532020588760133250616490840911865234375	0.0025614284283115413241860292004048460512422025203704833984375	-1.0220121508901099	1.0427417053114822	MESP2;FOXC2;COL18A1;HCCS;MOSPD3;TULP1;MED12;SALL1;AIFM1;ZIC3;GPC3;SPEG;PDHA1;USP9X;WNT7B;HUWE1;ALG13;FOXJ1;ANK1;EPOR;IGF2R;FES;MAB21L2;ROR2;BCOR;PLEC
MP0002133_abnormal_respiratory_system_	14/622	0.088541654186236773416140977133181877434253692626953125	0.59027769457491185978170733505976386368274688720703125	0.00589094251994220531598589474242544383741915225982666015625	0.01856973507307524418052935288869775831699371337890625	-1.1899615944331086	0.6273027530464319	FOXC2;WNT7B;NFATC2;CASK;AQP5;IGF2R;CRHR1;NDST1;RNF128;TLX3;GPC3;ROR2;SOX6;IL13RA1
MP0002132_abnormal_respiratory_system_	11/529	0.176054250562017233772138524727779440581798553466796875	0.960330227804121694390460106660611927509307861328125	0.024014942645899796380692947650459245778620243072509765625	0.01856973507307524418052935288869775831699371337890625	-1.2948930291501888	0.05241476598163836	NDST1;EFNB1;ZIC3;WNT7B;GRB10;GPC3;SPEG;ROR2;CRHR1;IGF2R;EPOR
