Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002873_normal_phenotype_	76/1371	0.00000247812401186836928640845438553963475669661420397460460662841796875	0.000084256216403524549808656818328245208249427378177642822265625	0.0000000000156612780757416960462922772727160556326120310899341347976587712764739990234375	0.00000000053248345457521762033749767827864492197864620948166702874004840850830078125	-1.155589421089865	10.841333419527773	RAB9;PLEKHB1;RASGRF1;HMGB3;SCX;HCCS;TCIRG1;DACH2;ARHGAP6;SAT1;HS6ST2;WDR44;AKAP12;ADAMTS4;TRO;MED12;ADAMTS5;EFEMP2;SEPT6;PEG12;SCN5A;ABCD1;HOXA5;TGIF1;FBXW7;VBP1;SPHK1;ATP11C;ACSL4;ZBTB33;POU3F1;VAV1;KIF4;CYP26C1;SCNN1A;PKP3;ENG;PLEC;NLGN3;MTMR1;TAGLN;SHC1;SEMA3B;ARX;XIAP;DTX1;TXLNG;FOXO4;PIK3R1;LRRC10;CRHR1;CENPB;THBS4;HDAC6;CECR2;PDZD4;FAM120C;LMNA;TAF9B;RBM10;ZRSR1;USP9X;HPRT;FER;H1F0;LRCH2;CLCN5;PARVG;FES;GNAS;SNAI1;RLIM;TAB3;APBA2;TJP3;A830080D01RIK
MP0002169_no_abnormal_phenotype_	76/1371	0.00000247812401186836928640845438553963475669661420397460460662841796875	0.000084256216403524549808656818328245208249427378177642822265625	0.0000000000156612780757416960462922772727160556326120310899341347976587712764739990234375	0.00000000053248345457521762033749767827864492197864620948166702874004840850830078125	-1.0929875655744454	10.254024834023694	RAB9;PLEKHB1;RASGRF1;HMGB3;SCX;HCCS;TCIRG1;DACH2;ARHGAP6;SAT1;HS6ST2;WDR44;AKAP12;ADAMTS4;TRO;MED12;ADAMTS5;EFEMP2;SEPT6;PEG12;SCN5A;ABCD1;HOXA5;TGIF1;FBXW7;VBP1;SPHK1;ATP11C;ACSL4;ZBTB33;POU3F1;VAV1;KIF4;CYP26C1;SCNN1A;PKP3;ENG;PLEC;NLGN3;MTMR1;TAGLN;SHC1;SEMA3B;ARX;XIAP;DTX1;TXLNG;FOXO4;PIK3R1;LRRC10;CRHR1;CENPB;THBS4;HDAC6;CECR2;PDZD4;FAM120C;LMNA;TAF9B;RBM10;ZRSR1;USP9X;HPRT;FER;H1F0;LRCH2;CLCN5;PARVG;FES;GNAS;SNAI1;RLIM;TAB3;APBA2;TJP3;A830080D01RIK
MP0000001_mammalian_phenotype_	78/1459	0.000006883190205780437051345278798297755429302924312651157379150390625	0.00015601897799768992230844133484168878567288629710674285888671875	0.000000000042555788566988971394117481659841975734359653671390333329327404499053955078125	0.0000000009645978741850832740518138241100735974509206016591633670032024383544921875	-1.0457733908227387	9.166761067679923	RAB9;PLEKHB1;RASGRF1;HMGB3;SCX;HCCS;TCIRG1;DACH2;ARHGAP6;SAT1;HS6ST2;WDR44;AKAP12;ADAMTS4;TRO;MED12;ADAMTS5;EFEMP2;SEPT6;PEG12;SCN5A;ABCD1;HOXA5;TGIF1;FBXW7;VBP1;SPHK1;ATP11C;ACSL4;ZBTB33;POU3F1;VAV1;KIF4;CYP26C1;SCNN1A;PKP3;ENG;PLEC;NLGN3;MTMR1;TAGLN;SHC1;SEMA3B;ARX;XIAP;DTX1;TXLNG;FOXO4;PIK3R1;LRRC10;CRHR1;CENPB;THBS4;HDAC6;CECR2;PDZD4;FAM120C;LMNA;TAF9B;DRD2;RBM10;ZRSR1;USP9X;NOS3;HPRT;FER;H1F0;LRCH2;CLCN5;PARVG;FES;GNAS;SNAI1;RLIM;TAB3;APBA2;TJP3;A830080D01RIK
MP0000428_abnormal_craniofacial_morphol_	45/896	0.002265916095070698473012971163598194834776222705841064453125	0.0308164588929615013146445789971039630472660064697265625	0.0000070941342909416203307208619033286112198766204528510570526123046875	0.000096480226356806031754419217261187213807716034352779388427734375	-1.8034951927627156	6.275633678221925	DDR1;FOXE1;ITGB4;NPR2;LEF1;COL11A2;AKAP6;TCIRG1;HOXC13;LTBP1;PTHLH;MED12;SOX3;NDST1;EFNB1;RPS6KA3;CECR2;ZIC3;LMNA;GPC3;HOXA5;TGIF1;OFD1;FOXH1;HUWE1;CASK;NFATC2;SHROOM3;HPRT;HIC1;FGF16;CLCN5;FES;PIGA;GNAS;SNAI1;HOXB3;GTF2IRD1;IRF6;BCOR;ROR2;SIM2;BRWD3;ENG;HMX1
MP0002133_abnormal_respiratory_system_	33/622	0.003720049015674980856516196325856071780435740947723388671875	0.042160555510983112326162114413818926550447940826416015625	0.000050468091793078541829227490200793226904352195560932159423828125	0.000520411798837785012465662060066051708417944610118865966796875	-1.3779869588660496	4.363079041888246	CNP;CEBPE;ITGB4;DTX1;AQP5;PTHLH;CRHR1;NDST1;EFEMP2;LMNA;GPC3;TEKT2;SLIT3;IL12A;FFAR2;DRD2;HOXA5;IL13RA1;IL1R1;NOS3;WNT7B;NFATC2;CASK;POU3F1;RNF128;CROCC;SCNN1A;GNAS;PTPN6;ROR2;SIM2;LAT;ENG
MP0001672_abnormal_embryogenesis/_devel_	60/1271	0.00196488307029296475902935270596572081558406352996826171875	0.0308164588929615013146445789971039630472660064697265625	0.000001055133323750723537171893572084169221625415957532823085784912109375	0.00001793726650376230034368042753900596153471269644796848297119140625	-1.1555990717992146	4.02114543061014	DDR1;OTUD5;CITED1;SUV39H1;SCX;HCCS;ARHGAP6;MED12;AIFM1;ZIC3;CDH1;GRB10;SCN5A;TGIF1;OFD1;FBXW7;SPHK1;FOXH1;SHROOM3;HNF1B;ZFX;DUSP9;VAV1;HIC1;ZDHHC15;SLC7A7;CTTN;PIGA;HOXB3;ROR2;ENG;SHC1;PLA2G3;HOXD11;LTBP1;EFNB1;CECR2;NSD1;GPC3;RBBP7;PDHA1;USP9X;NOS3;WNT7B;HUWE1;BMP8B;NFATC2;HPRT;HOPX;KLF8;FGF16;NR4A3;DLG3;RLIM;SNAI1;GTF2IRD1;BCOR;MEGF8;BCAR1;BRWD3
MP0003121_genomic_imprinting_	5/46	0.01583032286641004870997306852586916647851467132568359375	0.1345577443644854209736649863771162927150726318359375	0.007679947993868156512486944365036833914928138256072998046875	0.000636033371236279713827055370956031765672378242015838623046875	-1.3984053151741809	2.804868026342133	CITED1;RASGRF1;GNAS;GRB10;GPC3
MP0002132_abnormal_respiratory_system_	26/529	0.0225883366216905155654526282660299330018460750579833984375	0.153600689027495518335086899242014624178409576416015625	0.00098740332926832981123854704463838061201386153697967529296875	0.000636033371236279713827055370956031765672378242015838623046875	-1.2948930291501888	2.425851270207069	EDA;ITGB4;NPR2;CRHR1;NDST1;EFNB1;EFEMP2;ZIC3;GRB10;TEKT2;GPC3;SPEG;S1PR3;HOXA5;OFD1;NOS3;WNT7B;FOXH1;HPRT;GNAS;HOXB3;PTPN6;ROR2;MEGF8;SIM2;ENG
MP0002163_abnormal_gland_morphology_	50/1129	0.01444615970038094603100642387971674907021224498748779296875	0.1345577443644854209736649863771162927150726318359375	0.0000535718028215366928583042460676466589575284160673618316650390625	0.000520411798837785012465662060066051708417944610118865966796875	-1.0840142874849275	2.1742744982957998	KLB;DDR1;EDA;CITED1;FOXE1;FMR1;RASGRF1;PIK3CD;YBX2;TCIRG1;SOX3;NDST1;BOLL;CDH3;CDH1;MAEL;GRB10;PAPOLB;ABCD1;HOXA5;HNF1B;ACSL4;BHLHA15;ZFX;HOXB3;ROR2;DDX4;CNP;SHC1;NPR2;LEF1;ARX;LHB;AGAP2;XIAP;CRHR1;PTHLH;CENPB;EFNB1;LMNA;DRD2;NKX2-2;NOS3;LIMK2;LIF;BMP8B;HPRT;ZGLP1;GNAS;SLC25A31
MP0004196_abnormal_prenatal_growth/weig_	36/786	0.0223471939301741091832287366969467257149517536163330078125	0.153600689027495518335086899242014624178409576416015625	0.0003781190964901208549468758501888032697024755179882049560546875	0.000636033371236279713827055370956031765672378242015838623046875	-1.041193494117954	1.9505708219736049	CITED1;SUV39H1;SCX;HCCS;ARHGAP6;AIFM1;ZIC3;GRB10;GPC3;SCN5A;TGIF1;OFD1;PDHA1;FBXW7;NOS3;USP9X;FOXH1;HUWE1;BMP8B;NFATC2;HNF1B;HPRT;ZFX;HIC1;ZDHHC15;KLF8;FGF16;NR4A3;SLC7A7;FES;SNAI1;GTF2IRD1;ROR2;BCAR1;BRWD3;ENG
