Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002169_no_abnormal_phenotype_	67/1370	0.0000000049999198757259574858873525985379637770478211677982471883296966552734375	0.00000102335163322720812718066678292938576078086043708026409149169921875	0.00000000000001635588297340323163025368505637028142884006366719606972992551163770258426666259765625	0.0000000000034392004891015755561865221187824536819115095465093645543674938380718231201171875	-1.0709508428395347	14.771011751575497	RAB9;SYAP1;HMGB3;SCX;HCCS;SLC4A2;DACH2;ARHGAP6;SAT1;HS6ST2;WDR44;COMP;ADAMTS4;TRO;MED12;ADAMTS5;EFEMP2;MED14;SALL1;NKRF;SCN5A;SOX6;ATP7A;ABCD1;HOXA5;CTPS2;ATP11C;ACSL4;ZBTB33;FTSJ1;KIF4;CYP26C1;PKP3;PLEC;MTMR1;IGSF1;SEMA3B;ARX;TWIST2;XIAP;TXLNG;FOXO4;PIK3R1;CRHR1;HDAC6;ENOX2;CECR2;PDZD4;FAM120C;TAF9B;RBM10;TBX1;CDX4;BDNF;USP9X;MSN;HPRT;IGF2R;FER;H1F0;LRCH2;CLCN5;RBM41;TAB3;APBA2;TJP3;A830080D01RIK
MP0002873_normal_phenotype_	67/1375	0.00000000578164764535145864007370267666739704903733354512951336801052093505859375	0.00000102335163322720812718066678292938576078086043708026409149169921875	0.00000000000001943051123786200870287742380995603148970021605002056475086646969430148601531982421875	0.0000000000034392004891015755561865221187824536819115095465093645543674938380718231201171875	-1.0657437718621274	14.699193603139626	RAB9;SYAP1;HMGB3;SCX;HCCS;SLC4A2;DACH2;ARHGAP6;SAT1;HS6ST2;WDR44;COMP;ADAMTS4;TRO;MED12;ADAMTS5;EFEMP2;MED14;SALL1;NKRF;SCN5A;SOX6;ATP7A;ABCD1;HOXA5;CTPS2;ATP11C;ACSL4;ZBTB33;FTSJ1;KIF4;CYP26C1;PKP3;PLEC;MTMR1;IGSF1;SEMA3B;ARX;TWIST2;XIAP;TXLNG;FOXO4;PIK3R1;CRHR1;HDAC6;ENOX2;CECR2;PDZD4;FAM120C;TAF9B;RBM10;TBX1;CDX4;BDNF;USP9X;MSN;HPRT;IGF2R;FER;H1F0;LRCH2;CLCN5;RBM41;TAB3;APBA2;TJP3;A830080D01RIK
MP0002088_abnormal_embryonic_growth/wei_	20/385	0.00072133479427675777084782993142653140239417552947998046875	0.0638381292934930566485007830124231986701488494873046875	0.000036803095496399667219296347742130137703497894108295440673828125	0.0031774428118539099936967762261019743164069950580596923828125	-1.6823269050864906	4.628762034679031	C330007P06RIK;PDHA1;ABCB7;HUWE1;BMP8B;SCX;HCCS;HPRT;ZFX;ARHGAP6;IGF2R;KLF8;FGF16;NR4A3;SALL1;AIFM1;ZIC3;GRB10;GTF2IRD1;BRWD3
MP0002116_abnormal_craniofacial_bone_	21/467	0.0031559582080723101900343596781794985872693359851837158203125	0.18713678648004472560018029980710707604885101318359375	0.00016756536682591011426686489205195584872853942215442657470703125	0.0031774428118539099936967762261019743164069950580596923828125	-2.0719184928374226	3.4723602154099362	TBX1;DDR1;OFD1;FOXC2;EDA;COL11A2;SHROOM3;CASK;LTBP1;HIC1;MECP2;MED12;NDST1;EFNB1;RPS6KA3;ZIC3;PIGA;GPC3;IDS;GTF2IRD1;IRF6
MP0000432_abnormal_head_morphology_	19/424	0.005038059088013848059450783267720908042974770069122314453125	0.2185208730549794420294773544810595922172069549560546875	0.0003615624019812324857307828107622071911464445292949676513671875	0.0031774428118539099936967762261019743164069950580596923828125	-1.9949481856029339	3.034064308450057	BDNF;COL11A2;HUWE1;CASK;SHROOM3;SLC4A2;LTBP1;HIC1;MECP2;NDST1;CECR2;SOX3;CLCN5;ZIC3;PIGA;GTF2IRD1;BCOR;IRF6;BRWD3
MP0003984_embryonic_growth_retardation_	18/376	0.003171809940339741229475833961259922944009304046630859375	0.18713678648004472560018029980710707604885101318359375	0.000242507175005223624651706781918392152874730527400970458984375	0.0031774428118539099936967762261019743164069950580596923828125	-1.6526294128517958	2.7696671678161153	C330007P06RIK;PDHA1;ABCB7;HUWE1;BMP8B;SCX;HCCS;HPRT;ARHGAP6;KLF8;FGF16;NR4A3;SALL1;AIFM1;ZIC3;GRB10;GTF2IRD1;BRWD3
MP0003123_paternal_imprinting_	3/14	0.0037323158074405132604567381093829681049101054668426513671875	0.188748542261991669732879017828963696956634521484375	0.003179201601597355687778279076383114443160593509674072265625	0.0031774428118539099936967762261019743164069950580596923828125	-1.6583845656796403	2.765090281600702	CITED1;GRB10;GPC3
MP0005508_abnormal_skeleton_morphology_	8/127	0.0096112697629242606345290056424346403218805789947509765625	0.2407055489542170023664624523007660172879695892333984375	0.0028890759204851664508628683591950903064571321010589599609375	0.037936302115480768915034559540799818933010101318359375	-1.7913302312660069	2.551178267025522	COMP;EFNB1;EDA;IDS;SCX;IRF6;ATP7A;HOXA5
MP0003755_abnormal_palate_morphology_	11/212	0.01087934684538833900180332392437776434235274791717529296875	0.2407055489542170023664624523007660172879695892333984375	0.002207287615110909741178435439223903813399374485015869140625	0.037936302115480768915034559540799818933010101318359375	-1.7296312182769125	2.4633077123464675	TBX1;OFD1;FOXC2;EFNB1;NDST1;EDA;FOXE1;PIGA;CASK;IRF6;HIC1
MP0002063_abnormal_learning/memory/cond_	18/403	0.00644931267916228935510591924185064272023737430572509765625	0.2185208730549794420294773544810595922172069549560546875	0.00053768810834020110134279235580834210850298404693603515625	0.0031774428118539099936967762261019743164069950580596923828125	-1.5751075291881103	2.39553967906001	IGBP1;BDNF;SH3KBP1;FMR1;ARX;CRMP1;HTR2C;HPRT;CRHR1;AFF2;MECP2;RPS6KA3;DLG3;OPHN1;GTF2IRD1;PAK3;SLC12A6;APBA2
