Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
post-embryonic morphogenesis (GO:0009886)	1/11	0.00658187629745509740486486549571054638363420963287353515625	0.09408595682065189202969435200429870747029781341552734375	0.005035835126779966523791198795834134216420352458953857421875	0.0473695648043428452211855983478017151355743408203125	-2.9111883910569953	6.880729075144404	GNAS
positive regulation of cAMP-mediated signaling (GO:0043950)	1/13	0.00777430585710612957750509366405822220258414745330810546875	0.09408595682065189202969435200429870747029781341552734375	0.005873082731294998470872315010637976229190826416015625	0.0473695648043428452211855983478017151355743408203125	-2.893476483335026	6.838866157988918	GNAS
adrenergic receptor signaling pathway (GO:0071875)	1/14	0.00837002849309591116788720199792805942706763744354248046875	0.09408595682065189202969435200429870747029781341552734375	0.006291486316133735288980144417791962041519582271575927734375	0.0473695648043428452211855983478017151355743408203125	-2.7726803338939963	6.553358844144966	GNAS
genetic imprinting (GO:0071514)	1/25	0.0149013736689392432832601542713746312074363231658935546875	0.09408595682065189202969435200429870747029781341552734375	0.0108842488559157853089676137869901140220463275909423828125	0.0473695648043428452211855983478017151355743408203125	-2.737942718757121	6.4712548761545285	GNAS
negative regulation of multicellular organism growth (GO:0040015)	1/13	0.00777430585710612957750509366405822220258414745330810546875	0.09408595682065189202969435200429870747029781341552734375	0.005873082731294998470872315010637976229190826416015625	0.0473695648043428452211855983478017151355743408203125	-2.7343934709679054	6.462866064034651	GNAS
vocalization behavior (GO:0071625)	1/13	0.00777430585710612957750509366405822220258414745330810546875	0.09408595682065189202969435200429870747029781341552734375	0.005873082731294998470872315010637976229190826416015625	0.0473695648043428452211855983478017151355743408203125	-2.7038846277477404	6.390756995023905	SHANK2
cellular response to monoamine stimulus (GO:0071868)	1/20	0.01193748463407017131043819091473778826184570789337158203125	0.09408595682065189202969435200429870747029781341552734375	0.00879882737279244313277626332592262770049273967742919921875	0.0473695648043428452211855983478017151355743408203125	-2.686060130050036	6.348627966227555	GNAS
cellular response to prostaglandin stimulus (GO:0071379)	1/11	0.00658187629745509740486486549571054638363420963287353515625	0.09408595682065189202969435200429870747029781341552734375	0.005035835126779966523791198795834134216420352458953857421875	0.0473695648043428452211855983478017151355743408203125	-2.682903664681958	6.341167513616677	GNAS
cellular response to osmotic stress (GO:0071470)	1/20	0.01193748463407017131043819091473778826184570789337158203125	0.09408595682065189202969435200429870747029781341552734375	0.00879882737279244313277626332592262770049273967742919921875	0.0473695648043428452211855983478017151355743408203125	-2.6761327094322116	6.325164046167936	SLC12A6
cAMP biosynthetic process (GO:0006171)	1/16	0.00956049029927965275665879829602999961934983730316162109375	0.09408595682065189202969435200429870747029781341552734375	0.0071278532562975109587721789239367353729903697967529296875	0.0473695648043428452211855983478017151355743408203125	-2.6739625125648954	6.320034685000654	GNAS
cellular response to catecholamine stimulus (GO:0071870)	1/20	0.01193748463407017131043819091473778826184570789337158203125	0.09408595682065189202969435200429870747029781341552734375	0.00879882737279244313277626332592262770049273967742919921875	0.0473695648043428452211855983478017151355743408203125	-2.6657773194618355	6.300688600651421	GNAS
response to monoamine (GO:0071867)	1/23	0.0137167974281684930393243604385133949108421802520751953125	0.09408595682065189202969435200429870747029781341552734375	0.01005051946342644560161705413747768034227192401885986328125	0.0473695648043428452211855983478017151355743408203125	-2.65989246727353	6.286779478974724	GNAS
ectodermal placode formation (GO:0060788)	1/14	0.00837002849309591116788720199792805942706763744354248046875	0.09408595682065189202969435200429870747029781341552734375	0.006291486316133735288980144417791962041519582271575927734375	0.0473695648043428452211855983478017151355743408203125	-2.648888341834652	6.260770717024992	GNAS
response to catecholamine (GO:0071869)	1/23	0.0137167974281684930393243604385133949108421802520751953125	0.09408595682065189202969435200429870747029781341552734375	0.01005051946342644560161705413747768034227192401885986328125	0.0473695648043428452211855983478017151355743408203125	-2.6472402962950694	6.256875484790554	GNAS
adenylate cyclase-activating dopamine receptor signaling pathway (GO:0007191)	1/10	0.005985169044889513366436428754013832076452672481536865234375	0.09408595682065189202969435200429870747029781341552734375	0.00461699102460195846819868137345110881142318248748779296875	0.0473695648043428452211855983478017151355743408203125	-2.624711989206945	6.203628783865521	GNAS
negative regulation of microtubule depolymerization (GO:0007026)	1/23	0.0137167974281684930393243604385133949108421802520751953125	0.09408595682065189202969435200429870747029781341552734375	0.01005051946342644560161705413747768034227192401885986328125	0.0473695648043428452211855983478017151355743408203125	-2.622831091667404	6.199183195106152	GAS2L2
response to salt stress (GO:0009651)	1/25	0.0149013736689392432832601542713746312074363231658935546875	0.09408595682065189202969435200429870747029781341552734375	0.0108842488559157853089676137869901140220463275909423828125	0.0473695648043428452211855983478017151355743408203125	-2.6186503245342343	6.189301757663636	SLC12A6
endochondral ossification (GO:0001958)	1/30	0.01785711079174508164602031001777504570782184600830078125	0.09408595682065189202969435200429870747029781341552734375	0.01296601273329998742223079233326643588952720165252685546875	0.0473695648043428452211855983478017151355743408203125	-2.61498494382444	6.180638459988079	GNAS
regulation of cAMP-mediated signaling (GO:0043949)	1/23	0.0137167974281684930393243604385133949108421802520751953125	0.09408595682065189202969435200429870747029781341552734375	0.01005051946342644560161705413747768034227192401885986328125	0.0473695648043428452211855983478017151355743408203125	-2.614189920974101	6.17875938652841	GNAS
response to prostaglandin (GO:0034694)	1/20	0.01193748463407017131043819091473778826184570789337158203125	0.09408595682065189202969435200429870747029781341552734375	0.00879882737279244313277626332592262770049273967742919921875	0.0473695648043428452211855983478017151355743408203125	-2.6124393810632713	6.17462190408356	GNAS
replacement ossification (GO:0036075)	1/30	0.01785711079174508164602031001777504570782184600830078125	0.09408595682065189202969435200429870747029781341552734375	0.01296601273329998742223079233326643588952720165252685546875	0.0473695648043428452211855983478017151355743408203125	-2.5952402438443833	6.13397094384583	GNAS
response to prostaglandin E (GO:0034695)	1/14	0.00837002849309591116788720199792805942706763744354248046875	0.09408595682065189202969435200429870747029781341552734375	0.006291486316133735288980144417791962041519582271575927734375	0.0473695648043428452211855983478017151355743408203125	-2.5705211562542956	6.075546231376293	GNAS
cellular response to ketone (GO:1901655)	1/29	0.017266614539958501095551213211365393362939357757568359375	0.09408595682065189202969435200429870747029781341552734375	0.0125499523199040820264915652160198078490793704986572265625	0.0473695648043428452211855983478017151355743408203125	-2.5674389580177124	6.068261312582661	GNAS
regulation of microtubule depolymerization (GO:0031114)	1/25	0.0149013736689392432832601542713746312074363231658935546875	0.09408595682065189202969435200429870747029781341552734375	0.0108842488559157853089676137869901140220463275909423828125	0.0473695648043428452211855983478017151355743408203125	-2.53742559660874	5.997323337862807	GAS2L2
body morphogenesis (GO:0010171)	1/12	0.0071782551796375319852483443128221551887691020965576171875	0.09408595682065189202969435200429870747029781341552734375	0.005454532348689907460259629345955545431934297084808349609375	0.0473695648043428452211855983478017151355743408203125	-2.535439926699399	5.992630114737566	GNAS
dopamine receptor signaling pathway (GO:0007212)	1/26	0.01549317259307191572970108239815090200863778591156005859375	0.09408595682065189202969435200429870747029781341552734375	0.01130089407604026492670801218309861724264919757843017578125	0.0473695648043428452211855983478017151355743408203125	-2.4818313660848994	5.865923789983742	GNAS
cellular response to fatty acid (GO:0071398)	1/27	0.01608464560360960138307717670613783411681652069091796875	0.09408595682065189202969435200429870747029781341552734375	0.01171739303229164287645236441903762170113623142242431640625	0.0473695648043428452211855983478017151355743408203125	-2.4773395612666858	5.855307200515503	GNAS
embryonic cranial skeleton morphogenesis (GO:0048701)	1/29	0.017266614539958501095551213211365393362939357757568359375	0.09408595682065189202969435200429870747029781341552734375	0.0125499523199040820264915652160198078490793704986572265625	0.0473695648043428452211855983478017151355743408203125	-2.458037139461828	5.809685029397555	GNAS
potassium ion import (GO:0010107)	1/13	0.00777430585710612957750509366405822220258414745330810546875	0.09408595682065189202969435200429870747029781341552734375	0.005873082731294998470872315010637976229190826416015625	0.0473695648043428452211855983478017151355743408203125	-2.4548681569483883	5.802194991931813	SLC12A6
long term synaptic depression (GO:0060292)	1/14	0.00837002849309591116788720199792805942706763744354248046875	0.09408595682065189202969435200429870747029781341552734375	0.006291486316133735288980144417791962041519582271575927734375	0.0473695648043428452211855983478017151355743408203125	-2.4541462318941942	5.8004886885109395	SHANK2
negative regulation of microtubule polymerization or depolymerization (GO:0031111)	1/32	0.0190371276734107551520391865551573573611676692962646484375	0.09408595682065189202969435200429870747029781341552734375	0.013797695304069525212842250994071946479380130767822265625	0.0473695648043428452211855983478017151355743408203125	-2.430270792258458	5.744057977194514	GAS2L2
regulation of cytoskeleton organization (GO:0051493)	2/350	0.017949468641830092219269232600709074176847934722900390625	0.09408595682065189202969435200429870747029781341552734375	0.0085225098975548578550398559627865324728190898895263671875	0.0473695648043428452211855983478017151355743408203125	-2.4050333737623144	5.684408165536344	ARHGEF10L;GAS2L2
positive regulation of osteoclast differentiation (GO:0045672)	1/22	0.0131240197834685649869168599934710073284804821014404296875	0.09408595682065189202969435200429870747029781341552734375	0.00963343520782077196440429389667770010419189929962158203125	0.0473695648043428452211855983478017151355743408203125	-2.393857697640971	5.657993935574879	GNAS
activation of adenylate cyclase activity (GO:0007190)	1/32	0.0190371276734107551520391865551573573611676692962646484375	0.09408595682065189202969435200429870747029781341552734375	0.013797695304069525212842250994071946479380130767822265625	0.0473695648043428452211855983478017151355743408203125	-2.39363211421033	5.657460758651376	GNAS
long-term synaptic potentiation (GO:0060291)	1/30	0.01785711079174508164602031001777504570782184600830078125	0.09408595682065189202969435200429870747029781341552734375	0.01296601273329998742223079233326643588952720165252685546875	0.0473695648043428452211855983478017151355743408203125	-2.3874691066779623	5.642894203890247	SHANK2
cyclic nucleotide biosynthetic process (GO:0009190)	1/34	0.0202158448157149193968873390758744790218770503997802734375	0.09408595682065189202969435200429870747029781341552734375	0.01462879380825010851296941183363742311485111713409423828125	0.0473695648043428452211855983478017151355743408203125	-2.377696622998243	5.619796484485353	GNAS
cyclic purine nucleotide metabolic process (GO:0052652)	1/33	0.0196266486312824083027006594193153432570397853851318359375	0.09408595682065189202969435200429870747029781341552734375	0.014213317543965688083407172825900488533079624176025390625	0.0473695648043428452211855983478017151355743408203125	-2.37552948594997	5.614674355342601	GNAS
embryonic hindlimb morphogenesis (GO:0035116)	1/30	0.01785711079174508164602031001777504570782184600830078125	0.09408595682065189202969435200429870747029781341552734375	0.01296601273329998742223079233326643588952720165252685546875	0.0473695648043428452211855983478017151355743408203125	-2.3552887268059943	5.566834380309456	GNAS
positive regulation of adenylate cyclase activity (GO:0045762)	1/37	0.0219814863609146989020803886205612798221409320831298828125	0.09408595682065189202969435200429870747029781341552734375	0.0158743471558347622185625169777267728932201862335205078125	0.0473695648043428452211855983478017151355743408203125	-2.34506532236116	5.542670888717284	GNAS
response to parathyroid hormone (GO:0071107)	1/8	0.00479076877405600586035117061101118451915681362152099609375	0.09408595682065189202969435200429870747029781341552734375	0.0037788620140585447125525231371057088836096227169036865234375	0.0473695648043428452211855983478017151355743408203125	-2.3391516182000216	5.528693574061748	GNAS
positive regulation of Ras GTPase activity (GO:0032320)	2/292	0.0127297010272736897673606648595523438416421413421630859375	0.09408595682065189202969435200429870747029781341552734375	0.00600737515421880495514184161720550036989152431488037109375	0.0473695648043428452211855983478017151355743408203125	-2.3253784125115877	5.496139962234538	GNAS;ARHGEF10L
regulation of Ras GTPase activity (GO:0032318)	2/349	0.01785284048887182672959994533812277950346469879150390625	0.09408595682065189202969435200429870747029781341552734375	0.0084756866864052031462772873737776535563170909881591796875	0.0473695648043428452211855983478017151355743408203125	-2.315409118825533	5.472577073231883	GNAS;ARHGEF10L
cognition (GO:0050890)	2/227	0.00785373879593354029537977112340740859508514404296875	0.09408595682065189202969435200429870747029781341552734375	0.0036860086058787878450504482685801121988333761692047119140625	0.0473695648043428452211855983478017151355743408203125	-2.2986959755012006	5.4330747821530725	GNAS;SHANK2
superoxide metabolic process (GO:0006801)	1/32	0.0190371276734107551520391865551573573611676692962646484375	0.09408595682065189202969435200429870747029781341552734375	0.013797695304069525212842250994071946479380130767822265625	0.0473695648043428452211855983478017151355743408203125	-2.2582845964995073	5.337560609549948	NRROS
positive regulation of stress fiber assembly (GO:0051496)	1/39	0.0231569598426155931480963090507430024445056915283203125	0.09408595682065189202969435200429870747029781341552734375	0.0167039869267397271535013913990042055957019329071044921875	0.0473695648043428452211855983478017151355743408203125	-2.2388792853794643	5.291695254753234	ARHGEF10L
skin development (GO:0043588)	1/35	0.02080471638979668191904437435368890874087810516357421875	0.09408595682065189202969435200429870747029781341552734375	0.01504412413725326851110519754683991777710616588592529296875	0.0473695648043428452211855983478017151355743408203125	-2.237956751541467	5.289514803147487	GNAS
hypotonic response (GO:0006971)	1/8	0.00479076877405600586035117061101118451915681362152099609375	0.09408595682065189202969435200429870747029781341552734375	0.0037788620140585447125525231371057088836096227169036865234375	0.0473695648043428452211855983478017151355743408203125	-2.2371161798380568	5.28752807285646	SLC12A6
DNA methylation (GO:0006306)	1/42	0.024917741989031093330364541316157556138932704925537109375	0.09408595682065189202969435200429870747029781341552734375	0.0179473537130138971473769515796448104083538055419921875	0.0473695648043428452211855983478017151355743408203125	-2.2301200512544415	5.270992397766999	GNAS
DNA alkylation (GO:0006305)	1/42	0.024917741989031093330364541316157556138932704925537109375	0.09408595682065189202969435200429870747029781341552734375	0.0179473537130138971473769515796448104083538055419921875	0.0473695648043428452211855983478017151355743408203125	-2.2247632324508078	5.258331307538118	GNAS
