Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Progressive disorder (HP:0003676)	2/145	0.0032850041497216216079824135931630735285580158233642578125	0.0438367683140361841243048957039718516170978546142578125	0.006497058200958476421871257144857736420817673206329345703125	0.07224308016790008390994870524082216434180736541748046875	-2.172662866205167	6.794530243812954	GNAS;SLC12A6
Psychosis (HP:0000709)	2/45	0.0003220659871445697678034314481720912226592190563678741455078125	0.03059626877873412864605739969192654825747013092041015625	0.00066903143710522034424970083676953436224721372127532958984375	0.06355798652499593248688114499600487761199474334716796875	-1.9334933250002568	6.74185381603271	GNAS;SLC12A6
Hyperthyroidism (HP:0000836)	1/24	0.01430924866783118802604501951236670720390975475311279296875	0.0438367683140361841243048957039718516170978546142578125	0.0240143331107834888393792738270349218510091304779052734375	0.07224308016790008390994870524082216434180736541748046875	-2.1365605277559965	6.681628037823809	GNAS
Facial asymmetry (HP:0000324)	2/68	0.0007354170532549038873104674252090262598358094692230224609375	0.03493231002960793529776850618873140774667263031005859375	0.00148717228863333114120826028425881304428912699222564697265625	0.0706406837100832241116421528204227797687053680419921875	-1.95982971019503	6.573941244475872	GNAS;SLC12A6
Growth hormone excess (HP:0000845)	1/13	0.00777430585710612957750509366405822220258414745330810546875	0.0438367683140361841243048957039718516170978546142578125	0.013495961566097718076218114902076194994151592254638671875	0.07224308016790008390994870524082216434180736541748046875	-1.8909377549209618	5.9134962744675486	GNAS
Abnormality of calcium-phosphate metabolism (HP:0100530)	1/17	0.0101552297965470210427962882704377989284694194793701171875	0.0438367683140361841243048957039718516170978546142578125	0.017329522454274937093288144751568324863910675048828125	0.07224308016790008390994870524082216434180736541748046875	-1.879011319820999	5.87619894442706	GNAS
Pathologic fracture (HP:0002756)	1/23	0.0137167974281684930393243604385133949108421802520751953125	0.0438367683140361841243048957039718516170978546142578125	0.023061222108018995802236617009839392267167568206787109375	0.07224308016790008390994870524082216434180736541748046875	-1.8673912562885493	5.839859724783581	GNAS
2-3 toe syndactyly (HP:0004691)	1/22	0.0131240197834685649869168599934710073284804821014404296875	0.0438367683140361841243048957039718516170978546142578125	0.0221074907920602858890646302825189195573329925537109375	0.07224308016790008390994870524082216434180736541748046875	-1.8478455596008756	5.778734812425341	SLC12A6
EMG: neuropathic changes (HP:0003445)	1/20	0.01193748463407017131043819091473778826184570789337158203125	0.0438367683140361841243048957039718516170978546142578125	0.0201981664141303272896887932574827573262155055999755859375	0.07224308016790008390994870524082216434180736541748046875	-1.845389233196237	5.771053186203163	SLC12A6
Hyperparathyroidism (HP:0000843)	1/18	0.0107496419094705586427807020299951545894145965576171875	0.0438367683140361841243048957039718516170978546142578125	0.0182863583622171303744163850524273584596812725067138671875	0.07224308016790008390994870524082216434180736541748046875	-1.8248816920374098	5.706920314602489	GNAS
Thickened calvaria (HP:0002684)	1/18	0.0107496419094705586427807020299951545894145965576171875	0.0438367683140361841243048957039718516170978546142578125	0.0182863583622171303744163850524273584596812725067138671875	0.07224308016790008390994870524082216434180736541748046875	-1.8238908391818751	5.703821637951446	GNAS
Generalized hypotonia (HP:0001290)	1/20	0.01193748463407017131043819091473778826184570789337158203125	0.0438367683140361841243048957039718516170978546142578125	0.0201981664141303272896887932574827573262155055999755859375	0.07224308016790008390994870524082216434180736541748046875	-1.8158599265740063	5.678706706662133	SLC12A6
Aqueductal stenosis (HP:0002410)	1/10	0.005985169044889513366436428754013832076452672481536865234375	0.0438367683140361841243048957039718516170978546142578125	0.0106142571307926737722571175481789396144449710845947265625	0.07224308016790008390994870524082216434180736541748046875	-1.8087386544155448	5.656436477899214	SLC12A6
Agitation (HP:0000713)	1/12	0.0071782551796375319852483443128221551887691020965576171875	0.0438367683140361841243048957039718516170978546142578125	0.01253601602098776933436052871684296405874192714691162109375	0.07224308016790008390994870524082216434180736541748046875	-1.7892643870850988	5.595534945309426	GNAS
