Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
histone H2A ubiquitination (GO:0033522)	2/15	0.00152559117566687988364060313273284918977878987789154052734375	0.26850404691737084217351139159291051328182220458984375	0.0018310830665358404818754411991221786593087017536163330078125	0.32227061971030790399339593932381831109523773193359375	-2.6419807345716717	3.473912179748389	BCOR;UBE2A
organ morphogenesis (GO:0009887)	7/405	0.00101820605939123760320941247670134544023312628269195556640625	0.26850404691737084217351139159291051328182220458984375	0.000855691176442394444388861440842219963087700307369232177734375	0.32227061971030790399339593932381831109523773193359375	-2.364164565594647	3.1086146737857683	FGF16;SOX3;FHL1;SHROOM2;PRKX;BCOR;FGD1
negative regulation of protein depolymerization (GO:1901880)	3/52	0.00109910354453426374610192084446680382825434207916259765625	0.26850404691737084217351139159291051328182220458984375	0.0011581568464887896825754598495450409245677292346954345703125	0.32227061971030790399339593932381831109523773193359375	-2.342997555449262	3.0807823987844025	MID1IP1;SHROOM2;GAS2L2
negative regulation of protein complex disassembly (GO:0043242)	3/56	0.0013632757574985744468409887275583969312720000743865966796875	0.26850404691737084217351139159291051328182220458984375	0.00141995141923958036016262251877151356893591582775115966796875	0.32227061971030790399339593932381831109523773193359375	-2.337852298199289	3.074016955117563	MID1IP1;SHROOM2;GAS2L2
negative regulation of microtubule depolymerization (GO:0007026)	2/23	0.0036024392257956762419812690723119885660707950592041015625	0.374015859798655314616411260431050322949886322021484375	0.003961926370122561234798919116428805864416062831878662109375	0.372578678443478139570288476534187793731689453125	-2.7775973575801314	2.731647777224175	MID1IP1;GAS2L2
regulation of microtubule depolymerization (GO:0031114)	2/25	0.00425018022498471932657526650700674508698284626007080078125	0.374015859798655314616411260431050322949886322021484375	0.00461316466158167258482247774509232840500771999359130859375	0.372578678443478139570288476534187793731689453125	-2.669380842961912	2.6252214801192038	MID1IP1;GAS2L2
regulation of protein depolymerization (GO:1901879)	3/67	0.0022847230067553152797754645320083000115118920803070068359375	0.32168899935114836363680979047785513103008270263671875	0.00232215974386740416079977222807428915984928607940673828125	0.326960091936530528045068422215990722179412841796875	-2.2865876621660215	2.593379221832353	MID1IP1;SHROOM2;GAS2L2
negative regulation of microtubule polymerization or depolymerization (GO:0031111)	2/32	0.006904186260787397409754984067831173888407647609710693359375	0.388869900749413244245289433820289559662342071533203125	0.007249977440293983894925577970980157260783016681671142578125	0.372578678443478139570288476534187793731689453125	-2.615049249629226	2.469941308699885	MID1IP1;GAS2L2
negative regulation of cellular component organization (GO:0051129)	6/474	0.01048648665985676443901386534207631484605371952056884765625	0.388869900749413244245289433820289559662342071533203125	0.00910690588472780858386723679132046527229249477386474609375	0.372578678443478139570288476534187793731689453125	-2.4728684240979466	2.3356500350902007	LYPLA1;CITED1;MID1IP1;SHROOM2;BCOR;GAS2L2
histone ubiquitination (GO:0016574)	2/32	0.006904186260787397409754984067831173888407647609710693359375	0.388869900749413244245289433820289559662342071533203125	0.007249977440293983894925577970980157260783016681671142578125	0.372578678443478139570288476534187793731689453125	-2.4669421969746153	2.3300526517220943	BCOR;UBE2A
