Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0003122_maternal_imprinting_	5/24	0.00001462043680961212427696881144267848640083684585988521575927734375	0.00139381497584968919688230837294895536615513265132904052734375	0.000010680651573012220630185149794488808083769981749355792999267578125	0.000000133032414192397461779874992364447461312693121726624667644500732421875	-2.1104989496451347	13.878030534803884	MEG3;PLAGL1;GNAS;GPC3;IGF2R
MP0003121_genomic_imprinting_	6/45	0.00002936670290414026095854836684306832239599316380918025970458984375	0.00167977540611682278452743144470105107757262885570526123046875	0.000013394661612309347370930630305441155769585748203098773956298828125	0.000000133032414192397461779874992364447461312693121726624667644500732421875	-2.075440070209187	13.260184151731549	MEG3;CITED1;PLAGL1;GNAS;GPC3;IGF2R
MP0003123_paternal_imprinting_	4/14	0.00002880842644284109795396221775920508889612392522394657135009765625	0.00167977540611682278452743144470105107757262885570526123046875	0.0000299999594389186143776442061703590979959699325263500213623046875	0.000000133032414192397461779874992364447461312693121726624667644500732421875	-1.8227603563139936	11.645789409261633	MEG3;CITED1;GNAS;GPC3
MP0002169_no_abnormal_phenotype_	41/1370	0.000001164156634856406672781539528294114660411651129834353923797607421875	0.00018260362235636442792587053052244527862058021128177642822265625	0.0000000001793429196907244360301763385249032047019657198916320339776575565338134765625	0.00000002865027026639970539917292961795691752513448591344058513641357421875	-1.0709508428395347	9.218951283445941	NLGN3;RAB9;MTMR1;IGSF1;ARX;XIAP;HMGB3;SCX;TXLNG;HCCS;FOXO4;DACH2;ARHGAP6;SAT1;HS6ST2;HDAC6;WDR44;TRO;MED12;PDZD4;MED14;TAF9B;ABCD1;HOXA5;RBM10;USP9X;MSN;ATP11C;ACSL4;HPRT;ZBTB33;FTSJ1;IGF2R;KIF4;LRCH2;CLCN5;GNAS;RLIM;TAB3;PLEC;A830080D01RIK
MP0002873_normal_phenotype_	41/1375	0.00000127694840808646454575841187872864423979990533553063869476318359375	0.00018260362235636442792587053052244527862058021128177642822265625	0.000000000200351540324473455653160914604303532993156977681792341172695159912109375	0.00000002865027026639970539917292961795691752513448591344058513641357421875	-1.0657437718621274	9.174127812797293	NLGN3;RAB9;MTMR1;IGSF1;ARX;XIAP;HMGB3;SCX;TXLNG;HCCS;FOXO4;DACH2;ARHGAP6;SAT1;HS6ST2;HDAC6;WDR44;TRO;MED12;PDZD4;MED14;TAF9B;ABCD1;HOXA5;RBM10;USP9X;MSN;ATP11C;ACSL4;HPRT;ZBTB33;FTSJ1;IGF2R;KIF4;LRCH2;CLCN5;GNAS;RLIM;TAB3;PLEC;A830080D01RIK
MP0009672_abnormal_birth_weight_	6/73	0.00044837011788363017629477358383383034379221498966217041015625	0.0213723089524530396321466696463176049292087554931640625	0.00016342691386861111948851366104662474754150025546550750732421875	0.000000133032414192397461779874992364447461312693121726624667644500732421875	-2.0251530804112314	7.788048512405735	CITED1;PLAGL1;GNAS;APEX2;UBE2A;IGF2R
MP0002572_abnormal_emotion/affect_behav_	13/372	0.0016679323653746754019255860157500137574970722198486328125	0.068146950928165306304862269826116971671581268310546875	0.0001693420754286664654982008659800385430571623146533966064453125	0.000000133032414192397461779874992364447461312693121726624667644500732421875	-1.8587872211520688	4.992867652381763	NLGN3;TRPC5;SH3KBP1;FMR1;ARX;ARAF;HTR2C;HPRT;ARHGEF9;PCSK1N;OPHN1;GNAS;IDS
MP0002088_abnormal_embryonic_growth/wei_	13/385	0.0022524191606785350094899200712461606599390506744384765625	0.07175042307346483905217127130526932887732982635498046875	0.00023463072784644887765030663029364177418756298720836639404296875	0.000000133032414192397461779874992364447461312693121726624667644500732421875	-1.6243281804839182	4.279392532930712	C330007P06RIK;PDHA1;ABCB7;HUWE1;SCX;HCCS;HPRT;ZFX;ARHGAP6;IGF2R;FGF16;AIFM1;ZIC3
MP0002063_abnormal_learning/memory/cond_	13/403	0.0033305785856021737946497385252087042317725718021392822265625	0.09525454754822217096066339081517071463167667388916015625	0.0003599842307175172358320314192070554781821556389331817626953125	0.0102955489985209931724785548112777178175747394561767578125	-1.5608758129245466	3.6699351491671823	NLGN3;IGBP1;SH3KBP1;FMR1;ARX;HTR2C;HPRT;AFF2;RPS6KA3;ARHGEF9;DLG3;OPHN1;GNAS
MP0002084_abnormal_developmental_patter_	13/421	0.004796143546958418768522136588217108510434627532958984375	0.12469973222091888798157555129364482127130031585693359375	0.000538605523952519443624253892011211064527742564678192138671875	0.01353632715373936749869709927907024393789470195770263671875	-1.5785809275187876	3.286363295239206	OFD1;OTUD5;USP9X;HUWE1;ALG13;SCX;HCCS;ARHGAP6;MED12;DLG3;ZIC3;RBBP7;BCOR
MP0002249_abnormal_larynx_morphology_	3/35	0.01146426861451322644358530311592403450049459934234619140625	0.2522139095192910129838992361328564584255218505859375	0.00704007373764660611403787271456167218275368213653564453125	0.038351911578276186298719352407715632580220699310302734375	-1.8283401702329536	2.5184978202605435	ZIC3;HOXB3;HOXA5
MP0009703_decreased_birth_body_	6/144	0.0133679104776655809094787485946653760038316249847412109375	0.25488149310749041998036545919603668153285980224609375	0.0046487732691258554229563060289365239441394805908203125	0.038351911578276186298719352407715632580220699310302734375	-1.707795233174727	2.3344819223274063	CITED1;PLAGL1;GNAS;APEX2;HPRT;UBE2A
MP0003984_embryonic_growth_retardation_	11/376	0.01326818074678125757015489938339669606648385524749755859375	0.25488149310749041998036545919603668153285980224609375	0.002218023183386682965767544573054692591540515422821044921875	0.038351911578276186298719352407715632580220699310302734375	-1.5366786597215385	2.100572997195626	FGF16;C330007P06RIK;PDHA1;AIFM1;ZIC3;ABCB7;HUWE1;SCX;HCCS;HPRT;ARHGAP6
MP0000266_abnormal_heart_morphology_	20/851	0.0113611704918861987356759613021495169959962368011474609375	0.2522139095192910129838992361328564584255218505859375	0.000567957782674378985378338402512099492014385759830474853515625	0.01353632715373936749869709927907024393789470195770263671875	-1.3410064203669612	1.8472064452969232	OFD1;PDHA1;USP9X;HUWE1;ALG13;HCCS;HPRT;MOSPD3;IGF2R;MED12;FGF16;IRAK1;AIFM1;ZIC3;PLAGL1;LAMP2;GPC3;GNAS;BCOR;PLEC
MP0002116_abnormal_craniofacial_bone_	12/467	0.02478821631846588047221047190760145895183086395263671875	0.399561928238445662753264286948251537978649139404296875	0.003963505164739888377012366760254735709168016910552978515625	0.038351911578276186298719352407715632580220699310302734375	-1.9004826946050473	1.7434771892277328	OFD1;MED12;EFNB1;RPS6KA3;EDA;ZIC3;PIGA;GNAS;GPC3;IDS;CASK;HOXB3
MP0005508_abnormal_skeleton_morphology_	5/127	0.028681489089731955488549175470325280912220478057861328125	0.41754230190633079278228478870005346834659576416015625	0.01198111178207672024298435786704430938698351383209228515625	0.038351911578276186298719352407715632580220699310302734375	-1.6911582236629505	1.4770058733648213	EFNB1;EDA;IDS;SCX;HOXA5
MP0009333_abnormal_splenocyte_physiolog_	3/51	0.0312022268368367695912102277588928700424730777740478515625	0.4249446131112055713430208925274200737476348876953125	0.0183730316063191768949369730989928939379751682281494140625	0.038351911578276186298719352407715632580220699310302734375	-1.5773459627818327	1.3498870606091893	RNF128;APEX2;HPRT
MP0001672_abnormal_embryogenesis/_devel_	12/468	0.025147254224797278843173131690491572953760623931884765625	0.399561928238445662753264286948251537978649139404296875	0.004030158652860333333423081825230838148854672908782958984375	0.038351911578276186298719352407715632580220699310302734375	-1.437784404966325	1.3190040194536479	FGF16;C330007P06RIK;PDHA1;AIFM1;ZIC3;ABCB7;RLIM;HUWE1;SCX;HCCS;HPRT;ARHGAP6
MP0005380_embryogenesis_phenotype_	12/468	0.025147254224797278843173131690491572953760623931884765625	0.399561928238445662753264286948251537978649139404296875	0.004030158652860333333423081825230838148854672908782958984375	0.038351911578276186298719352407715632580220699310302734375	-1.423796754947443	1.3061719379997887	FGF16;C330007P06RIK;PDHA1;AIFM1;ZIC3;ABCB7;RLIM;HUWE1;SCX;HCCS;HPRT;ARHGAP6
MP0003787_abnormal_imprinting_	2/20	0.0291987623710720824166120479503661044873297214508056640625	0.41754230190633079278228478870005346834659576416015625	0.021521264321713161338234243658007471822202205657958984375	0.038351911578276186298719352407715632580220699310302734375	-1.3148696354342682	1.1483669281039028	MEG3;GNAS
MP0010630_abnormal_cardiac_muscle_	7/230	0.03644965895818209900003381562783033587038516998291015625	0.47384556645636732863380302660516463220119476318359375	0.01158667928265526281261799113053712062537670135498046875	0.038351911578276186298719352407715632580220699310302734375	-1.5095391180933064	1.1274352468726425	FGF16;PDHA1;AIFM1;IRAK1;MOSPD3;EMD;PLEC
