Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002075_abnormal_coat/hair_pigmentati_	2/310	0.2267910406846505855238405047202832065522670745849609375	0.6114412708788050654362677960307337343692779541015625	0.1394653821596324727583038338707410730421543121337890625	0.11286042679015619027982353372863144613802433013916015625	-2.4864312271425377	1.223165951012316	EDA;GPC3
MP0000545_abnormal_limbs/digits/tail_mo_	5/913	0.1244691283999574127339116103030391968786716461181640625	0.6114412708788050654362677960307337343692779541015625	0.038970220842501734903606802618014626204967498779296875	0.07357806290913136704201491511412314139306545257568359375	-2.454784665972222	1.2075978566014989	RPS6KA3;EDA;ZIC3;GPC3;CASK
MP0001968_abnormal_touch/_nociception_	2/211	0.12495269608852006826271718864518334157764911651611328125	0.6114412708788050654362677960307337343692779541015625	0.07342818226485521571067494051021640188992023468017578125	0.07357806290913136704201491511412314139306545257568359375	-1.701711253718913	0.8371336561741676	FMR1;AFF2
MP0003121_genomic_imprinting_	1/46	0.1251864886826526135354953339628991670906543731689453125	0.6114412708788050654362677960307337343692779541015625	0.09469255620525902916728711034011212177574634552001953125	0.07357806290913136704201491511412314139306545257568359375	-1.4999251271509577	0.7378677216450903	GPC3
MP0004196_abnormal_prenatal_growth/weig_	5/786	0.0770783300278232996749494532195967622101306915283203125	0.6114412708788050654362677960307337343692779541015625	0.022076238637179397550358572743789409287273883819580078125	0.07357806290913136704201491511412314139306545257568359375	-1.473932218608848	0.7250808645828807	AIFM1;ZIC3;GPC3;ZFX;ARHGAP6
MP0002092_abnormal_eye_morphology_	5/939	0.135567545055954419286337042649392969906330108642578125	0.6114412708788050654362677960307337343692779541015625	0.04321741587693818387183597451439709402620792388916015625	0.07357806290913136704201491511412314139306545257568359375	-1.4539664017199627	0.7152589531074941	EDA;AIFM1;ZIC3;NHS;CASK
MP0001672_abnormal_embryogenesis/_devel_	8/1271	0.029494810977431222542843869405260193161666393280029296875	0.6114412708788050654362677960307337343692779541015625	0.0032775129309608012906362972671558964066207408905029296875	0.07357806290913136704201491511412314139306545257568359375	-1.349147875612879	0.6636949079129593	OTUD5;AIFM1;ZIC3;RLIM;GPC3;RBBP7;ARHGAP6;ZFX
MP0002877_abnormal_melanocyte_morpholog_	1/55	0.1478119564014938325247072725687758065760135650634765625	0.6114412708788050654362677960307337343692779541015625	0.11182065495643722652374663084628991782665252685546875	0.07357806290913136704201491511412314139306545257568359375	-1.3483956622322602	0.6633248667933719	EDA
MP0000462_abnormal_digestive_system_	4/690	0.1395734854407829350630976250613457523286342620849609375	0.6114412708788050654362677960307337343692779541015625	0.05456826869845356198229779920438886620104312896728515625	0.07357806290913136704201491511412314139306545257568359375	-1.1626034991079899	0.5719269445754711	EDA;ZIC3;GPC3;CASK
MP0000358_abnormal_cell_content/_	2/275	0.1896831438106987288705340688466094434261322021484375	0.6114412708788050654362677960307337343692779541015625	0.114767561641786530746145444936701096594333648681640625	0.11286042679015619027982353372863144613802433013916015625	-1.0946911882081252	0.5385184089037482	AIFM1;FMR1
MP0010678_abnormal_skin_adnexa_	3/582	0.2381814774419690194928733717461000196635723114013671875	0.6114412708788050654362677960307337343692779541015625	0.12276303263716327462962141225943923927843570709228515625	0.255902392889051200075556380397756583988666534423828125	-1.085126332441975	0.5338131084828941	EDA;AIFM1;CASK
MP0002873_normal_phenotype_	7/1371	0.1003947403806500215939223608074826188385486602783203125	0.6114412708788050654362677960307337343692779541015625	0.0194854379327088871043383022652051295153796672821044921875	0.07357806290913136704201491511412314139306545257568359375	-1.024758596869653	0.5041160238075872	PDZD4;MED14;RLIM;ZBTB33;ARHGAP6;HS6ST2;A830080D01RIK
MP0002160_abnormal_reproductive_system_	5/1010	0.1680406281693410941446842343793832696974277496337890625	0.6114412708788050654362677960307337343692779541015625	0.056249628871982204625368240158422850072383880615234375	0.07357806290913136704201491511412314139306545257568359375	-0.9882068123731119	0.4861348716418426	EDA;FMR1;GPC3;RLIM;ZFX
MP0002132_abnormal_respiratory_system_	3/529	0.197962561857786045749207914923317730426788330078125	0.6114412708788050654362677960307337343692779541015625	0.09909973994419150888912639629779732786118984222412109375	0.11286042679015619027982353372863144613802433013916015625	-0.9770323601471063	0.48063775218208915	EDA;ZIC3;GPC3
MP0002169_no_abnormal_phenotype_	7/1371	0.1003947403806500215939223608074826188385486602783203125	0.6114412708788050654362677960307337343692779541015625	0.0194854379327088871043383022652051295153796672821044921875	0.07357806290913136704201491511412314139306545257568359375	-0.9618316808232071	0.47315998518082053	PDZD4;MED14;RLIM;ZBTB33;ARHGAP6;HS6ST2;A830080D01RIK
MP0002089_abnormal_postnatal_growth/wei_	10/2459	0.16941385660096852650013943275553174316883087158203125	0.6114412708788050654362677960307337343692779541015625	0.0203513791025256955691258298202228615991771221160888671875	0.07357806290913136704201491511412314139306545257568359375	-0.881589633560171	0.43368600376511	RPS6KA3;PCSK1N;AIFM1;ZIC3;FMR1;GPC3;CASK;GPR50;ZFX;AFF2
MP0005253_abnormal_eye_physiology_	2/329	0.24717838609994247089929331195889972150325775146484375	0.6114412708788050654362677960307337343692779541015625	0.1533477846990539961158361847992637194693088531494140625	0.255902392889051200075556380397756583988666534423828125	-0.8623987580800375	0.4242453141529574	EDA;AIFM1
MP0000428_abnormal_craniofacial_morphol_	4/896	0.261437601877142988815450053152744658291339874267578125	0.61437836441128601538963494022027589380741119384765625	0.11609075693301233733745192466813023202121257781982421875	0.255902392889051200075556380397756583988666534423828125	-0.8202819196638818	0.3995956713539838	RPS6KA3;ZIC3;GPC3;CASK
MP0004924_abnormal_behavior_	9/2336	0.231740650518428237258916624341509304940700531005859375	0.6114412708788050654362677960307337343692779541015625	0.04082185649856713560712506705385749228298664093017578125	0.11286042679015619027982353372863144613802433013916015625	-0.7564526062658966	0.37212654886188345	RPS6KA3;PCSK1N;OPHN1;AIFM1;FMR1;CASK;GPR50;ZFX;AFF2
MP0000001_mammalian_phenotype_	7/1459	0.12791284769516997332772234585718251764774322509765625	0.6114412708788050654362677960307337343692779541015625	0.0266557912837855383314522583759753615595400333404541015625	0.07357806290913136704201491511412314139306545257568359375	-0.7131990412251141	0.35084854710569463	PDZD4;MED14;RLIM;ZBTB33;ARHGAP6;HS6ST2;A830080D01RIK
MP0005508_abnormal_skeleton_morphology_	5/1244	0.29236208658841944529882539427489973604679107666015625	0.6543341937931292928709581246948800981044769287109375	0.11433936703553350400230925743016996420919895172119140625	0.255902392889051200075556380397756583988666534423828125	-0.7657491953116488	0.32478261113882384	RPS6KA3;EDA;ZIC3;GPC3;CASK
MP0005266_abnormal_metabolism_	2/437	0.3627250312284733269052594550885260105133056640625	0.7412207159886194940412451614974997937679290771484375	0.2364066078324628394913275997168966569006443023681640625	0.318235433546346924149617052535177208483219146728515625	-0.4999896308972145	0.14972531275399473	AIFM1;GPC3
MP0000003_abnormal_adipose_tissue_	2/613	0.53446494894449170232064716401509940624237060546875	0.900550184274120812943920100224204361438751220703125	0.375535610546725739933293652939028106629848480224609375	0.318235433546346924149617052535177208483219146728515625	-0.7097808426114838	0.07434910786632215	RPS6KA3;GPR50
MP0000516_abnormal_urinary_system_	2/629	0.548516727837924378263778635300695896148681640625	0.900550184274120812943920100224204361438751220703125	0.387900242412131668334751566362683661282062530517578125	0.318235433546346924149617052535177208483219146728515625	-0.25739522400955744	0.02696199182236581	EDA;GPC3
MP0001533_abnormal_skeleton_physiology_	1/383	0.674726686131449593375464246491901576519012451171875	0.900550184274120812943920100224204361438751220703125	0.56232003088817916758301862500957213342189788818359375	0.73044680168823961086133067510672844946384429931640625	-0.11138879933526315	0.011667908401707545	RPS6KA3
MP0005164_abnormal_response_to_	1/342	0.6327889421632466593337085214443504810333251953125	0.900550184274120812943920100224204361438751220703125	0.52123796654741549883027573741856031119823455810546875	0.6565351679665398787477670339285396039485931396484375	-0.10214337480862362	0.010699455853915518	AIFM1
MP0002133_abnormal_respiratory_system_	2/622	0.5424045569559929891312322070007212460041046142578125	0.900550184274120812943920100224204361438751220703125	0.382501335496605587849217045004479587078094482421875	0.318235433546346924149617052535177208483219146728515625	-0.06180940783546131	0.0064744975553357636	GPC3;CASK
MP0003878_abnormal_ear_physiology_	1/399	0.68978311986953932954946822064812295138835906982421875	0.900550184274120812943920100224204361438751220703125	0.57742054456822311525598934167646802961826324462890625	0.73044680168823961086133067510672844946384429931640625	-0.0509934515618905	0.00534153277045594	FMR1
MP0002102_abnormal_ear_morphology_	1/369	0.66096480847364069699523270173813216388225555419921875	0.900550184274120812943920100224204361438751220703125	0.54868580516557130533072950129280798137187957763671875	0.73044680168823961086133067510672844946384429931640625	-0.0152678970526996	0.0015993028505623104	ZIC3
MP0002127_abnormal_cardiovascular_syste_	4/1223	0.47725350477880346122816490606055594980716705322265625	0.900550184274120812943920100224204361438751220703125	0.255294575069053675253627488928032107651233673095703125	0.318235433546346924149617052535177208483219146728515625	0.023089080957809097	-0.0024185670669137032	EDA;AIFM1;ZIC3;GPC3
MP0001919_abnormal_reproductive_system_	4/1240	0.488154645564836842108746850499301217496395111083984375	0.900550184274120812943920100224204361438751220703125	0.263498273428487694847177635892876423895359039306640625	0.318235433546346924149617052535177208483219146728515625	0.02499003591532943	-0.002617690932620885	RPS6KA3;ZIC3;CASK;ZFX
MP0003633_abnormal_nervous_system_	5/1361	0.360300659902209663432159914009389467537403106689453125	0.7412207159886194940412451614974997937679290771484375	0.1517624914172595873562698898240341804921627044677734375	0.318235433546346924149617052535177208483219146728515625	0.02545088280937569	-0.007621440832004808	AIFM1;OPHN1;FMR1;CASK;AFF2
MP0008872_abnormal_physiological_respon_	1/376	0.66791579911457998885992992654792033135890960693359375	0.900550184274120812943920100224204361438751220703125	0.5555528208097733067205581392045132815837860107421875	0.73044680168823961086133067510672844946384429931640625	0.12927811946792933	-0.013541803711850207	AIFM1
MP0002138_abnormal_hepatobiliary_system_	1/619	0.8389613467306222815977889695204794406890869140625	0.9648759009000860142890587667352519929409027099609375	0.740738186181941760111158146173693239688873291015625	0.82584619620534527317801121171214617788791656494140625	0.4386462938376046	-0.015684143019340468	ZIC3
MP0001790_abnormal_immune_system_	2/2039	0.98526108664941336456877252203412353992462158203125	0.98526108664941325354647005951846949756145477294921875	0.94745548311370775262929555537994019687175750732421875	0.94745548311370775262929555537994019687175750732421875	1.1312362337378383	-0.016797286042571028	EDA;GPC3
MP0001544_abnormal_cardiovascular_syste_	1/1130	0.96589039209976501609844490303657948970794677734375	0.98526108664941325354647005951846949756145477294921875	0.92021013529999173830020708919619210064411163330078125	0.9402147034586871843231392631423659622669219970703125	1.2869164682200604	-0.019108921182767958	AIFM1
MP0002060_abnormal_skin_morphology_	1/630	0.8441852650860963702683648079982958734035491943359375	0.9648759009000860142890587667352519929409027099609375	0.7470670711787057438613146587158553302288055419921875	0.82584619620534527317801121171214617788791656494140625	0.5360669113481362	-0.019167493772631737	CASK
MP0002396_abnormal_hematopoietic_system_	3/1853	0.914410352860915764949822914786636829376220703125	0.98526108664941325354647005951846949756145477294921875	0.777807617425530839483371892129071056842803955078125	0.85016181439534765917898084808257408440113067626953125	1.3098241391093104	-0.019449068261706892	ZIC3;GPC3;ZFX
MP0000685_abnormal_immune_system_	2/1575	0.94906262044553002521496409826795570552349090576171875	0.98526108664941325354647005951846949756145477294921875	0.86681342975424857666411071477341465651988983154296875	0.88741707229123611977428254249389283359050750732421875	1.4178198565202842	-0.021052654588438004	ZIC3;GPC3
MP0001764_abnormal_homeostasis_	4/2652	0.9587713618756568134671169900684617459774017333984375	0.98526108664941325354647005951846949756145477294921875	0.84965464368309839837678509866236709058284759521484375	0.88741707229123611977428254249389283359050750732421875	1.468758032803878	-0.02180901571974236	RPS6KA3;AIFM1;GPC3;GPR50
MP0002108_abnormal_muscle_morphology_	1/644	0.85059358564107778732932274579070508480072021484375	0.9648759009000860142890587667352519929409027099609375	0.75490892436968570766708808150724507868289947509765625	0.82584619620534527317801121171214617788791656494140625	0.6219906860304393	-0.02223976587389278	AIFM1
MP0002106_abnormal_muscle_physiology_	1/671	0.86222952846390665815334841681760735809803009033203125	0.9648759009000860142890587667352519929409027099609375	0.76938194003111493035618195790448226034641265869140625	0.85016181439534765917898084808257408440113067626953125	0.8342485193498145	-0.0298292115423632	AIFM1
