Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0001968_abnormal_touch/_nociception_	4/211	0.00935137425240978141516290378376652370207011699676513671875	0.23899380624960564478698188395355828106403350830078125	0.00499811522493908040598586950409298879094421863555908203125	0.052984645051638079582545515222591347992420196533203125	-2.0256728381945246	2.8993812715650784	FMR1;ARX;HPRT;AFF2
MP0009701_abnormal_birth_body_	3/145	0.01911950449996845102784703840370639227330684661865234375	0.23899380624960564478698188395355828106403350830078125	0.01211431166665813581595489978326440905220806598663330078125	0.052984645051638079582545515222591347992420196533203125	-1.8781214789101874	2.688188407822935	CITED1;HPRT;UBE2A
MP0002169_no_abnormal_phenotype_	11/1371	0.0169995280233409019887691471240032115019857883453369140625	0.23899380624960564478698188395355828106403350830078125	0.0032647393010942671494334366144585146685130894184112548828125	0.052984645051638079582545515222591347992420196533203125	-1.0929875655744454	1.5644123858147614	PDZD4;MED14;LRCH2;ARX;TAB3;HPRT;ZBTB33;TAF9B;HS6ST2;A830080D01RIK;WDR44
MP0002873_normal_phenotype_	11/1371	0.0169995280233409019887691471240032115019857883453369140625	0.23899380624960564478698188395355828106403350830078125	0.0032647393010942671494334366144585146685130894184112548828125	0.052984645051638079582545515222591347992420196533203125	-1.024758596869653	1.4667550591670917	PDZD4;MED14;LRCH2;ARX;TAB3;HPRT;ZBTB33;TAF9B;HS6ST2;A830080D01RIK;WDR44
MP0002160_abnormal_reproductive_system_	8/1010	0.042797902672760977649257796429083100520074367523193359375	0.3566491889396747883012039892491884529590606689453125	0.0144891895195501142767913194120410480536520481109619140625	0.12074324599625095577604128038728958927094936370849609375	-1.360291481631942	1.4024641146735985	SOX3;EDA;CITED1;SUV39H1;FMR1;ARX;HPRT;ZFX
MP0000001_mammalian_phenotype_	11/1459	0.0256344843910133353415137236197551828809082508087158203125	0.25634484391013334647624333229032345116138458251953125	0.005298464505163808478671594315301263122819364070892333984375	0.052984645051638079582545515222591347992420196533203125	-0.9127436509836888	1.2424555866104428	PDZD4;MED14;LRCH2;ARX;TAB3;HPRT;ZBTB33;TAF9B;HS6ST2;A830080D01RIK;WDR44
MP0001672_abnormal_embryogenesis/_devel_	9/1271	0.05863558557063826282007568124754470773041248321533203125	0.41882561121884476218468762453994713723659515380859375	0.018457505590794252847697265451643033884465694427490234375	0.1318393256485303755010107806810992769896984100341796875	-0.9620502679855504	0.837272971672853	FGF16;C330007P06RIK;OTUD5;CITED1;SUV39H1;HPRT;RBBP7;BCOR;ZFX
MP0004196_abnormal_prenatal_growth/weig_	6/786	0.0861551471953686254234838770571514032781124114990234375	0.53846966997105394359124375114333815872669219970703125	0.04044523510126511733897558542594197206199169158935546875	0.25278271938290697296025655305129475891590118408203125	-1.1030133119023673	0.6827918305698906	FGF16;C330007P06RIK;CITED1;SUV39H1;HPRT;ZFX
MP0000428_abnormal_craniofacial_morphol_	6/896	0.1366406919045647649912922361181699670851230621337890625	0.74472462827232399629195924717350862920284271240234375	0.06837717162369794099419095800840295851230621337890625	0.30469123008177512179628365629469044506549835205078125	-1.5413049866030266	0.45428539607071056	SOX3;FGF16;RPS6KA3;CASK;HPRT;BCOR
MP0010678_abnormal_skin_adnexa_	4/582	0.1920355863256268114103164634798304177820682525634765625	0.74472462827232399629195924717350862920284271240234375	0.1208869484410689809639194436385878361761569976806640625	0.30469123008177512179628365629469044506549835205078125	-1.4828117176544198	0.43704504579431686	EDA;CITED1;CASK;HPRT
