Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0003122_maternal_imprinting_	5/24	0.00001654769684693642941186904338213281562275369651615619659423828125	0.001577547099407939669435396723429221310652792453765869140625	0.000012163173342047615041439621863528230960582732222974300384521484375	0.0000002288593535030172735790098166586137296008018893189728260040283203125	-2.1104989496451347	13.616694631057067	MEG3;PLAGL1;GNAS;GPC3;IGF2R
MP0003121_genomic_imprinting_	6/45	0.0000339095811625234771526093968674331335932947695255279541015625	0.00193962804249634269797286645342637712019495666027069091796875	0.00001560381310914033770541851919855247388113639317452907562255859375	0.0000002288593535030172735790098166586137296008018893189728260040283203125	-2.075440070209187	12.961660891503987	MEG3;CITED1;PLAGL1;GNAS;GPC3;IGF2R
MP0003123_paternal_imprinting_	4/14	0.000031854438537098355593325804679949442288489080965518951416015625	0.00193962804249634269797286645342637712019495666027069091796875	0.0000333154993315739952485128594350527464484912343323230743408203125	0.0000002288593535030172735790098166586137296008018893189728260040283203125	-1.8227603563139936	11.383610620294935	MEG3;CITED1;GNAS;GPC3
MP0002169_no_abnormal_phenotype_	42/1370	0.000000903645814136937570881943047884643505085477954708039760589599609375	0.00014204441283806917470898534272549795787199400365352630615234375	0.0000000001209760387316476681230885440747791111093523142017147620208561420440673828125	0.000000019373614481508794147240088020199555440825633922941051423549652099609375	-1.0709508428395347	9.487950606866507	NLGN3;RAB9;MTMR1;IGSF1;ARX;XIAP;HMGB3;SCX;TXLNG;HCCS;FOXO4;DACH2;ARHGAP6;SAT1;HS6ST2;HDAC6;WDR44;ENOX2;TRO;MED12;PDZD4;MED14;TAF9B;ABCD1;HOXA5;RBM10;USP9X;MSN;ATP11C;ACSL4;HPRT;ZBTB33;FTSJ1;IGF2R;KIF4;LRCH2;CLCN5;GNAS;RLIM;TAB3;PLEC;A830080D01RIK
MP0002873_normal_phenotype_	42/1375	0.000000993317572294190090682213835349134711805163533426821231842041015625	0.00014204441283806917470898534272549795787199400365352630615234375	0.000000000135479821549012542507366551678272929837287819054836290888488292694091796875	0.000000019373614481508794147240088020199555440825633922941051423549652099609375	-1.0657437718621274	9.441819234385305	NLGN3;RAB9;MTMR1;IGSF1;ARX;XIAP;HMGB3;SCX;TXLNG;HCCS;FOXO4;DACH2;ARHGAP6;SAT1;HS6ST2;HDAC6;WDR44;ENOX2;TRO;MED12;PDZD4;MED14;TAF9B;ABCD1;HOXA5;RBM10;USP9X;MSN;ATP11C;ACSL4;HPRT;ZBTB33;FTSJ1;IGF2R;KIF4;LRCH2;CLCN5;GNAS;RLIM;TAB3;PLEC;A830080D01RIK
MP0009672_abnormal_birth_weight_	6/73	0.000513460905783324410116275071658265005680732429027557373046875	0.0244749698423384620671328093521879054605960845947265625	0.00018911673813919223515432610494002574341720901429653167724609375	0.0000002288593535030172735790098166586137296008018893189728260040283203125	-2.0251530804112314	7.513529197861376	CITED1;PLAGL1;GNAS;APEX2;UBE2A;IGF2R
MP0002572_abnormal_emotion/affect_behav_	13/372	0.0020909103089076018326675221459254316869191825389862060546875	0.08542862119251058705682311256168759427964687347412109375	0.00022165581703159211259847316544124851134256459772586822509765625	0.0000002288593535030172735790098166586137296008018893189728260040283203125	-1.8587872211520688	4.5727542844900935	NLGN3;TRPC5;SH3KBP1;FMR1;ARX;ARAF;HTR2C;HPRT;ARHGEF9;PCSK1N;OPHN1;GNAS;IDS
MP0002088_abnormal_embryonic_growth/wei_	13/385	0.0028122448058543413583476588968323994777165353298187255859375	0.0917113411135785927541519413352943956851959228515625	0.000306083630430233478818269343690872119623236358165740966796875	0.0000002288593535030172735790098166586137296008018893189728260040283203125	-1.6243281804839182	3.8806974503318563	C330007P06RIK;PDHA1;ABCB7;HUWE1;SCX;HCCS;HPRT;ZFX;ARHGAP6;IGF2R;FGF16;AIFM1;ZIC3
MP0002063_abnormal_learning/memory/cond_	13/403	0.004135298519072215690794980247346757096238434314727783203125	0.11826953764546536962409817306252080015838146209716796875	0.0004674355962328352793490326977376980721601285040378570556640625	0.0133686580522590879593902712940689525566995143890380859375	-1.5608758129245466	3.3321405814173497	NLGN3;IGBP1;SH3KBP1;FMR1;ARX;HTR2C;HPRT;AFF2;RPS6KA3;ARHGEF9;DLG3;OPHN1;GNAS
MP0002084_abnormal_developmental_patter_	13/421	0.005922096804668412588223969095224674674682319164276123046875	0.1539745169213787290285466724526486359536647796630859375	0.000696139483206542294436991458184138537035323679447174072265625	0.01776290640603332693370219885764527134597301483154296875	-1.5785809275187876	2.9534746609440528	OFD1;OTUD5;USP9X;HUWE1;ALG13;SCX;HCCS;ARHGAP6;MED12;DLG3;ZIC3;RBBP7;BCOR
