Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Depressed nasal bridge (HP:0005280)	2/228	0.01075846984210964037143032356880212319083511829376220703125	0.062258776259888411186427248367181164212524890899658203125	0.01565040847811217938900796298185014165937900543212890625	0.0898173913680739843812261824496090412139892578125	-2.3953816064524602	6.650671081341326	AMMECR1;UBE2A
Malar flattening (HP:0000272)	2/187	0.0073493529917707280108007950047976919449865818023681640625	0.062258776259888411186427248367181164212524890899658203125	0.0106560003247418884353425738709120196290314197540283203125	0.0898173913680739843812261824496090412139892578125	-2.3657039553583012	6.568272395736332	AMMECR1;UBE2A
Downslanted palpebral fissures (HP:0000494)	2/188	0.007425414042692839687587191832562893978320062160491943359375	0.062258776259888411186427248367181164212524890899658203125	0.0107669465627785419792328269750214531086385250091552734375	0.0898173913680739843812261824496090412139892578125	-2.339662290393639	6.4959688647983285	AMMECR1;GPC4
Short neck (HP:0000470)	2/182	0.0069744705198943983404102908707500318996608257293701171875	0.062258776259888411186427248367181164212524890899658203125	0.01010951340580853834161256799006878281943500041961669921875	0.0898173913680739843812261824496090412139892578125	-2.3113994631167887	6.417498374943699	GPC4;UBE2A
Wide mouth (HP:0000154)	2/86	0.00160816859067033023598936036790973957977257668972015380859375	0.062258776259888411186427248367181164212524890899658203125	0.00234803705021648101425313370782532729208469390869140625	0.0898173913680739843812261824496090412139892578125	-2.140272183922117	5.94237105330823	GPC4;UBE2A
Nephroblastoma (Wilms tumor) (HP:0002667)	1/20	0.013913856217370894341467391086553107015788555145263671875	0.062258776259888411186427248367181164212524890899658203125	0.0201981664141303272896887932574827573262155055999755859375	0.0898173913680739843812261824496090412139892578125	-2.136899137309823	5.933005938580801	GPC4
Embryonal renal neoplasm (HP:0011794)	1/21	0.01460480747034339187029328144262763089500367641448974609375	0.062258776259888411186427248367181164212524890899658203125	0.0211531389613717722697483480942537426017224788665771484375	0.0898173913680739843812261824496090412139892578125	-2.1299217286798315	5.913633472134041	GPC4
Supernumerary nipples (HP:0002558)	1/19	0.01322245510584363348272063376498408615589141845703125	0.062258776259888411186427248367181164212524890899658203125	0.01924257294829463671437252969553810544312000274658203125	0.0898173913680739843812261824496090412139892578125	-2.0202431418646967	5.609115726982742	GPC4
Prominent supraorbital ridges (HP:0000336)	1/22	0.01529530913099154225409659346723856288008391857147216796875	0.062258776259888411186427248367181164212524890899658203125	0.0221074907920602858890646302825189195573329925537109375	0.0898173913680739843812261824496090412139892578125	-1.997514852506712	5.546011636864352	UBE2A
Increased number of teeth (HP:0011069)	1/20	0.013913856217370894341467391086553107015788555145263671875	0.062258776259888411186427248367181164212524890899658203125	0.0201981664141303272896887932574827573262155055999755859375	0.0898173913680739843812261824496090412139892578125	-1.9945318708963102	5.5377295203619	AMMECR1
