Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0003632_abnormal_nervous_system_	222/1867	0.000000000000000000018877434422419821275387726935876525134631901623602775000011766426410986241535283625125885009765625	0.000000000000000001340297843991807388793432603178689814957968932788469340611214875025325454771518707275390625	0.000000000000000000000000009338310842238576756113578692817451816560365473356161013103196119424279607323935437079853727482259273529052734375	0.0000000000000000000000006630200697989389697730788717506166077383732546525250899641621232208539560293303338767145760357379913330078125	-1.2046514726681243	49.57579280637558	PRRXL1;NCKAP1;GFI1;GLDN;SOX3;DPYSL4;OPHN1;EPHB2;EPHB1;SCN1B;MNX1;EPHB3;UNC5A;EPHA8;CACNA2D2;SOX11;UNC5C;EBF3;MAPK8IP2;OVOL2;BCAN;SFRP2;PARD3;HOXB6;UGT8A;COL13A1;FOXG1;HPN;GATA4;GJC1;NKX2-1;B4GALNT1;APOE;NKX2-2;EGR3;CADM1;ST8SIA2;NFATC2;GRIN2C;GDF7;GRIN3A;GJB6;ID4;FAT4;SIM1;VSX1;VSX2;CDKN1C;GABRB3;BARHL1;HRK;MESP1;BARHL2;HMX3;PTPRS;GLI3;PTPRF;GLI2;MED12;AIFM1;NEFM;NEFH;SLC18A3;OFD1;FOXD3;EDN3;SPHK1;EN2;PAX3;PAX6;IL17RD;UCHL5;ZDHHC15;BACE1;KCNMA1;RARA;HMX2;HMX1;FOXC2;SEZ6;HOXD12;HOXD11;HOXD10;EGFR;RELN;EGFLAM;GBX2;CHN2;MSX1;FOXB1;GSX1;CDKN2A;GABRA5;WHRN;USP9X;GAD1;GSX2;HUWE1;KLHL1;UNCX;VAX1;POU4F2;SKI;KIF26A;PTF1A;NEUROG1;MIXL1;NEUROG2;CRLF1;FMR1;IHH;CELSR1;CELSR3;FGF3;SALL1;SALL3;PITX2;PITX1;CADPS2;AGTPBP1;NKX6-2;SLC30A3;LMO2;TRP73;TBR1;POU3F1;POU3F2;POU3F3;PYGO1;LMX1A;SCN8A;LMX1B;ROR2;NPTXR;RTN4R;DLX2;SHC2;CNP;CHRNA4;NPR2;SLC1A1;SLC1A2;EFNA5;HOXB13;LTBP1;EFNB2;EFNB1;EFNB3;PLXNA1;OTX1;NPTX1;NPTX2;NKX6-1;DRD2;WNT4;PDHA1;BDNF;FOXN4;HPRT;KY;IGF2R;FGF17;BMP2;MAFB;GDNF;TLX3;LHX3;NBEA;TLX2;DLG5;TLX1;GNAS;LHX6;ALPL;LHX5;LHX4;SLC26A4;FGFR2;FGFR1;UCN;DOCK3;DAGLA;NR2E1;SLC2A8;ZIC2;ZIC3;ABCD1;NEO1;NKX3-2;EMX1;AMN;GRID1;SHROOM3;OLIG1;NAV2;POMGNT1;ADAMTS20;DNAJC6;ALDH1A2;HAND1;PLEC;ZFP423;DBX1;CRMP1;SEMA3F;DLL1;LRP6;HLX;CNR1;SLIT1;NCAM2;TBX1;KCNJ6;TCF7L1;SLC12A5;NOS3;ATP2B2;ZIC5;TBX18;NOVA1;BCOR;RECK
MP0002163_abnormal_gland_morphology_	140/1129	0.00000000000002075989989615179803612273295767717435906900280695452920554089359939098358154296875	0.000000000000604909056390300671257605359330832117789773783034235066224937327206134796142578125	0.00000000000000002928317859732382871298425109956984846763573487426861319260495974958757869899272918701171875	0.000000000000000025521540975933956271380305058618957130615100621813529091497230183449573814868927001953125	-1.4089246196268665	39.63826013121376	FMR1;IHH;SLC4A2;HOXA13;HOXA11;RIMS2;SOX3;GRB10;PAPOLB;EPHB2;PITX2;PITX1;MNX1;HOXA5;LHCGR;AGTPBP1;IGFBP3;TRP73;CACNA2D2;SOX11;HNF1B;OVOL1;POU3F2;SFRP2;CCNE2;AMPH;ROR2;ATF3;MAGEL2;DLX3;DDX4;CNP;FOXG1;NPR2;LHB;GATA4;HOXB13;CRHR1;EFNB1;NKX2-1;B4GALNT1;OTX1;APOE;DRD2;NKX6-1;NKX2-2;WNT4;EGR4;CADM1;INHBB;HPRT;NR2F2;HSPA2;TDRD6;MAFA;EIF2S2;GDF7;DAZL;CPEB1;MAFB;LHX3;NBEA;GDNF;GNAS;SDC1;ALPL;LHX4;SIM1;SLC26A4;FGFR2;LHX9;VSX2;FGFR1;CDKN1C;DDR1;SPAG16;ZMYND15;HMX3;RARG;EDA;PTPRS;ONECUT2;CITED1;FOXE1;MEI1;RASGRF1;PIK3CD;YBX2;GLI3;PTPRF;GLI2;BOLL;ADAMTS1;RSPO2;RSPO1;NEO1;ABCD1;NKX3-2;EMX1;PAX3;PAX6;FOXL2;FOXL1;AVPR1A;ZFX;SSTR5;NRG3;VGF;PAX7;ALDH1A2;RARA;HMX2;DLL1;BARX2;EGFR;ARNTL;NEURL1A;MIR375;HLX;IGF2BP1;MSX1;TBX1;TUB;FOXB1;KCNJ6;GSN;GSX1;DMRT1;CDKN2A;NOS3;WHRN;CADPS;BMP8A;DKKL1;BMP8B;KLF4;KLF5;INSM1;SLC25A31;PTF1A
MP0002102_abnormal_ear_morphology_	60/369	0.0000000000250520278708815244963793507277074394494487119544601227971725165843963623046875	0.000000000254099139833226870548584550190047461060149913691930123604834079742431640625	0.00000000000936053480082633469563170142292081216291166345655483382870443165302276611328125	0.000000000000000025521540975933956271380305058618957130615100621813529091497230183449573814868927001953125	-1.613449157985724	35.646410813757605	DDR1;GABRB3;BARHL1;MESP1;HMX3;UCN;GFI1;LAMC2;CELSR1;TSPAN12;FGF3;GLI3;GLI2;ZIC3;EPHB2;PITX1;HOXA5;NKX3-2;ACVR1;OSR2;GRID1;PAX3;PAX6;POU3F3;OVOL2;LMX1A;ALDH1A2;KCNMA1;RARA;ROR2;ANK;HMX2;HMX1;FOXC2;DLX2;FOXG1;HPN;DLL1;EGFR;LRP6;EFNB2;EFNB1;GBX2;MSX1;OTX1;APOE;TUB;TBX1;BDNF;GABRA5;WHRN;ESRRB;ATP2B2;MAFB;GJB6;GNAS;FAT4;SLC26A4;FGFR2;FGFR1
MP0003633_abnormal_nervous_system_	160/1361	0.0000000000000255595375939563678133381964265071471277546155675963746034540235996246337890625	0.000000000000604909056390300671257605359330832117789773783034235066224937327206134796142578125	0.0000000000000000072482528657481659937908223500984096455524934875572738712801168503574444912374019622802734375	0.000000000000000025521540975933956271380305058618957130615100621813529091497230183449573814868927001953125	-1.176853377205884	33.10923782021669	CHRM3;GFI1;FMR1;CELSR1;CELSR3;CDH8;SOX1;DPYSL4;OPHN1;SCN1B;UNC13B;CADPS2;KCNH3;NKX6-2;AGTPBP1;UNC5A;CACNA2D1;TMOD2;TRP73;CACNA2D2;CASK;UNC5C;POU3F1;MAPK8IP2;ANK1;POU3F2;CLDN5;OLFM1;BCAN;RNF128;SLC9A6;SCN8A;AMPH;LMX1B;RTN4R;DLX2;MAGEL2;CNP;UGT8A;COL13A1;CHRNA4;FOXG1;HPN;SLC1A1;SLC1A2;EFNA5;NPAS2;CACNA1H;EFNB2;RAI1;EFNB3;B4GALNT1;APOE;OTX1;DRD2;NTSR1;DRD5;KL;EGR3;BDNF;ST8SIA2;HPRT;GRIN2C;KY;CPEB1;MAFB;GRIN3A;TLX3;NBEA;GDNF;GJB6;ALPL;LHX6;LHX5;SLC26A4;SIM1;FGF12;FGFR2;VSX2;FGFR1;GABRB3;BARHL1;HRK;HMX3;PTPRS;DOCK3;DAGLA;KCNK9;KCNC1;DOC2A;SH3KBP1;RASGRF1;CELF4;GRIK3;ADRA1D;DOC2B;SLC7A10;SLC6A2;PTPRF;AFF2;CALB2;JPH3;AIFM1;ZIC2;NEFM;SCN5A;FFAR1;ABCD1;NEFH;SLC18A3;EMX1;TRPC5;GRID1;SPHK1;PAX6;AVPR1A;AP3B2;ADRA2A;BACE1;VGF;SLC7A8;DNAJC6;KCNMA1;ITGA7;HMX2;CHST3;PLEC;CAMK2B;OPRD1;FOXC2;NLGN2;KCNA2;DBX1;SEZ6;CRMP1;SEMA3F;RELN;CNR1;S1PR4;FKTN;TUB;TBX1;GABBR2;KCNJ6;SLC12A5;GSN;GSX1;NOS3;CDKN2A;WHRN;GABRA5;GAD1;ATP2B2;USF2;POU4F2;HCRTR1;NOVA1;KCNK2;HCN2;NEUROG2
MP0000462_abnormal_digestive_system_	90/690	0.0000000000905167958205764341755295617964111910824787088358789333142340183258056640625	0.00000000080333656290761586946369619986947109568919955790988751687109470367431640625	0.0000000000034890450704600656014945100512328530519001734688799842842854559421539306640625	0.000000000000000025521540975933956271380305058618957130615100621813529091497230183449573814868927001953125	-1.287590987975609	26.965048965992022	CDKN1C;GABRB3;NCKAP1;EDA;FOXE1;IHH;ARAF;PIK3CD;LAMC2;SLC4A2;PTH1R;HOXC13;HOXA13;GLI3;CELSR3;PTPRF;GLI2;SALL1;SALL3;ZIC3;RSPO2;EPHB2;PITX2;PITX1;NKX3-2;HOXA5;RAB8A;MNX1;OFD1;ACVR1;OSR2;FOXD3;LHCGR;EDN3;RIPK4;TRP73;SHROOM3;PAX3;CASK;SOX11;PAX6;FOXL1;POMGNT1;OVOL2;MN1;PAX7;RARA;ROR2;FOXC2;DLX2;PKDCC;CNP;NPR2;FOXG1;GATA5;GATA4;HOXD12;EFNA5;EGFR;LRP6;EFNB2;EFNB1;GBX2;HLX;NKX2-1;IGF2BP1;ALX3;SLIT3;GCNT4;MSX1;RUNX1T1;TBX1;TCF7L1;BDNF;CDKN2A;GAD1;HPRT;KLF4;VAX1;KLF5;GDNF;TLX2;KIF26A;ALPL;INSM1;PTF1A;SIM2;FGFR2;MIXL1;FGFR1
MP0005508_abnormal_skeleton_morphology_	134/1244	0.0000000015933101361060011044351626888888016908563116658115177415311336517333984375	0.000000010284092696684189679991593027556795458821170541341416537761688232421875	0.0000000000036538942866214141766131545430805319975287037692623925977386534214019775390625	0.0000000000220981164313924492574364248680257052058484301682028672075830399990081787109375	-1.4233396416070667	26.179012815904112	IHH;SCX;SLC4A2;CELSR1;HS6ST1;HOXA13;FGF3;HOXA11;RPS6KA3;SALL1;SALL3;PITX2;SOX6;PITX1;HOXA6;HOXA5;ACVR1;OSR2;TRP73;CACNA2D2;CASK;SOX11;CARTPT;ANK1;POU3F3;SFRP2;LMX1A;SCN8A;ROR2;LMX1B;PFN1;HOXB7;NBL1;HOXB6;FBN2;DLX2;PKDCC;CNP;NPR2;FOXG1;NPR3;TWIST2;HOXB13;LTBP1;EFNB1;RAI1;ALX3;PLXNA1;ALX4;OTX1;APOE;DRD2;KL;PHC2;EGR3;NFATC2;BMP6;IGF2R;FOSL1;BMP3;BMP2;MAFB;GNAS;ID4;ALPL;FAT4;HOXD9;SIM2;FGFR2;HOXD8;FGFR1;CDKN1C;DDR1;MESP1;RARG;EDA;LAMC2;HOXC13;PTH1R;GLI3;PTPRF;GLI2;MED12;ADAMTS5;ZIC2;ZIC3;RSPO2;NKX3-2;SLC18A3;OFD1;FOXD3;EMX1;PAX3;SHROOM3;PAX6;GREM1;SLC7A7;RIPPLY2;PAX7;ALDH1A2;RARA;ITGA7;ANK;MATN3;HMX1;PTGER4;FOXC2;CEBPE;HOXD12;HOXD11;HOXD10;DLL1;EGFR;ARNTL;LRP6;GBX2;IGF2BP1;HAS2;MSX1;GSN;GSX1;NOS3;CDX1;CDKN2A;GAD1;UNCX;DMRT3;ZIC5;TBX5;VAX1;TBX18;SKI;NELL1;CLCN5
MP0004924_abnormal_behavior_	225/2336	0.00000000012913196620617989397289052580356828736629637432997697032988071441650390625	0.0000000010187077334043080409641834181027654493423284520758897997438907623291015625	0.00000000000000045056674173075760954987876205221820893065680542488582460691759479232132434844970703125	0.000000000000000025521540975933956271380305058618957130615100621813529091497230183449573814868927001953125	-1.260737534278894	26.103231434359678	PRRXL1;GFI1;ARAF;SCX;SLC4A2;RPS6KA3;HTR6;SOX1;OPHN1;EPHB2;SCN1B;UNC13B;ACVR1;EPHA6;PRKCE;CACNA2D1;CACNA2D3;CACNA2D2;UNC5C;MAPK8IP2;DKK3;PFN1;UGT8A;COL13A1;FOXG1;TWIST2;CRHR1;NKX2-1;ALX3;B4GALNT1;APOE;NTSR1;EGR3;BCL11B;ST8SIA2;NFATC2;GRIN2C;GRIN3B;GJB6;SIM1;GABRB3;BARHL1;CDKN1C;HMX3;BARHL2;KCNC1;DOC2A;SH3KBP1;ADM;HOXC13;SLC7A10;SLC6A2;PTPRF;GLI2;JPH3;AIFM1;FFAR1;NEFH;SLC18A3;EDN3;EN2;EN1;TACR3;PAWR;PAX3;PAX6;AVPR1A;AP3B2;ZFX;BACE1;SLC7A7;SLC7A8;PAX7;KCNMA1;HMX2;CHST3;OPRD1;PTGER4;KCNA2;SEZ6;ADCY7;HOXD10;ARNTL;ADCY5;NEURL1A;RELN;FRZB;CHN2;HAS2;GCNT4;MSX1;RUNX1T1;GABBR2;FOXB1;GSX1;CDKN2A;GABRA5;WHRN;GAD1;GSX2;KLHL1;GPR50;POU4F2;PTF1A;APBA2;NEUROG1;CRLF1;NEUROG2;CHRM3;FMR1;CELSR1;FGF3;CELSR3;CDH8;TGM1;RIMS2;SALL1;SALL3;CADPS2;KCNH3;LHCGR;KCNH5;AGTPBP1;NKX6-2;TMOD2;TRP73;CASK;TBR1;CARTPT;POU3F1;SCNN1G;SLC9A6;LMX1A;SCN8A;AMPH;LMX1B;FBN2;RTN4R;DLX2;MAGEL2;PKDCC;CNP;CHRNA4;NPR2;NPR3;SLC1A1;SLC1A2;LTBP4;NPAS2;EFNB2;RAI1;HRH1;EFNB3;OTX1;DRD2;NPTX2;NKX6-1;KL;BDNF;ESRRB;ESRRG;HPRT;IGF2R;SYT7;FGF17;GNAL;MAFB;NBEA;GDNF;TLX3;DLG5;GNAS;ALPL;LHX6;SLC26A4;FGF12;FGFR2;FGFR1;DOCK3;RASGRF1;CELF4;ADRA1D;LAMC2;NR2E1;AFF2;CALB2;ZIC2;SCN5A;A4GALT;ABCD1;EMX1;TRPC5;NPY5R;NAV2;ADRA2C;SEZ6L;POMGNT1;VGF;ITGA7;PLEC;CAMK2B;CEBPA;ZFP423;NLGN2;CRMP1;DLL1;LRP6;RASD2;CNR1;IGF2BP1;IGBP1;KCNJ6;SLC12A5;PPP1R14C;NOS3;ATP2B2;ZIC5;KLF4;USF2;HCRTR1;NELL1;NOVA1;KLF9;KCNK2;HCN2
MP0002169_no_abnormal_phenotype_	155/1371	0.0000000000016747062057325874913661831187670705491619960181282067424035631120204925537109375	0.000000000023780828121402740034798456142175744447431195993658548104576766490936279296875	0.000000000000000755784441459011670301966208818874728003953914097501343150042885099537670612335205078125	0.000000000000000025521540975933956271380305058618957130615100621813529091497230183449573814868927001953125	-0.9618316808232071	23.528462580250366	SEMA5A;GALNT13;SYAP1;SCX;KNDC1;SLC4A2;FZD10;SAT1;HS6ST2;FGF3;FGF4;RIMS2;SALL1;PEG12;GSC2;MAP3K9;PITX2;SOX6;EPHB2;SLC12A8;PCDHAC2;HOXA5;SCN1B;MNX1;OSR2;NKX6-2;IGFBP2;ATP11C;ZBTB33;POU3F1;PYGO1;SCNN1G;SFRP2;LMX1B;SLC27A2;NBL1;MTMR1;PKDCC;FOXG1;TWIST2;LPAR2;DTX1;GPR83;CRHR1;GLIS1;EFNB2;WNT6;PDZD4;BCL2L10;EFNB3;ALX3;ALX4;NTSR1;DRD5;WNT4;B3GALNT1;CADM1;BDNF;RAB3IP;FZD8;MSN;HPRT;GRIN2C;SYT7;IGF2R;FOSL1;POLA1;BMP2;H1F0;GRIN3A;GNAS;LHX6;TAB3;SIM1;FGFR2;FGFR1;ACVRL1;GABRB3;RAB9;HMX3;RARG;PPP1R13B;FLT1;KCNK9;RASGRF1;HMGB3;GLI2;WDR44;CALB2;MED12;ADAMTS5;MED14;LRRTM1;SIX2;SCN5A;ABCD1;EMX1;SPHK1;EN1;PAX3;PAWR;CTPS2;PAX6;IL17RD;ADRA2A;EPN2;KIF4;BACE1;CYP26C1;PAX7;ALDH1A2;HAND1;RARA;PLEC;PTGER4;CEBPA;ZFP423;PCOLCE2;ANKS1;SEZ6;TXLNG;EGFR;FSTL4;NEURL1A;GBX2;FRZB;FAM120C;MGAT3;SPOCK1;HAS2;GCNT4;NCAM2;SNCB;CACNG4;RUNX1T1;TBX1;GDF10;IRX2;CDX1;USP9X;GAD1;PRRX2;PCDH8;GSX2;KLF4;TBX5;POU4F2;CLCN5;KLF5;KCNS2;RLIM;APBA3;APBA2;CDK5R2;A830080D01RIK
MP0002873_normal_phenotype_	155/1371	0.0000000000016747062057325874913661831187670705491619960181282067424035631120204925537109375	0.000000000023780828121402740034798456142175744447431195993658548104576766490936279296875	0.000000000000000755784441459011670301966208818874728003953914097501343150042885099537670612335205078125	0.000000000000000025521540975933956271380305058618957130615100621813529091497230183449573814868927001953125	-0.8939277726494413	21.867387576823784	SEMA5A;GALNT13;SYAP1;SCX;KNDC1;SLC4A2;FZD10;SAT1;HS6ST2;FGF3;FGF4;RIMS2;SALL1;PEG12;GSC2;MAP3K9;PITX2;SOX6;EPHB2;SLC12A8;PCDHAC2;HOXA5;SCN1B;MNX1;OSR2;NKX6-2;IGFBP2;ATP11C;ZBTB33;POU3F1;PYGO1;SCNN1G;SFRP2;LMX1B;SLC27A2;NBL1;MTMR1;PKDCC;FOXG1;TWIST2;LPAR2;DTX1;GPR83;CRHR1;GLIS1;EFNB2;WNT6;PDZD4;BCL2L10;EFNB3;ALX3;ALX4;NTSR1;DRD5;WNT4;B3GALNT1;CADM1;BDNF;RAB3IP;FZD8;MSN;HPRT;GRIN2C;SYT7;IGF2R;FOSL1;POLA1;BMP2;H1F0;GRIN3A;GNAS;LHX6;TAB3;SIM1;FGFR2;FGFR1;ACVRL1;GABRB3;RAB9;HMX3;RARG;PPP1R13B;FLT1;KCNK9;RASGRF1;HMGB3;GLI2;WDR44;CALB2;MED12;ADAMTS5;MED14;LRRTM1;SIX2;SCN5A;ABCD1;EMX1;SPHK1;EN1;PAX3;PAWR;CTPS2;PAX6;IL17RD;ADRA2A;EPN2;KIF4;BACE1;CYP26C1;PAX7;ALDH1A2;HAND1;RARA;PLEC;PTGER4;CEBPA;ZFP423;PCOLCE2;ANKS1;SEZ6;TXLNG;EGFR;FSTL4;NEURL1A;GBX2;FRZB;FAM120C;MGAT3;SPOCK1;HAS2;GCNT4;NCAM2;SNCB;CACNG4;RUNX1T1;TBX1;GDF10;IRX2;CDX1;USP9X;GAD1;PRRX2;PCDH8;GSX2;KLF4;TBX5;POU4F2;CLCN5;KLF5;KCNS2;RLIM;APBA3;APBA2;CDK5R2;A830080D01RIK
MP0000001_mammalian_phenotype_	161/1459	0.0000000000042297976383703727892706090756298861928208498994763431255705654621124267578125	0.000000000050052605387382745211564585359164379109453424376852126442827284336090087890625	0.00000000000000126644934014059041590310322647103430118451579573790599653193567064590752124786376953125	0.000000000000000025521540975933956271380305058618957130615100621813529091497230183449573814868927001953125	-0.846228781064164	20.07080900328518	SEMA5A;GALNT13;SYAP1;SCX;KNDC1;SLC4A2;FZD10;SAT1;HS6ST2;FGF3;FGF4;RIMS2;SALL1;PEG12;GSC2;MAP3K9;PITX2;SOX6;EPHB2;SLC12A8;PCDHAC2;HOXA5;SCN1B;MNX1;OSR2;NKX6-2;IGFBP2;TRP73;ATP11C;ZBTB33;POU3F1;PYGO1;SCNN1G;SFRP2;LMX1B;SLC27A2;NBL1;MTMR1;PKDCC;FOXG1;TWIST2;LPAR2;DTX1;GPR83;CRHR1;GLIS1;EFNB2;WNT6;PDZD4;BCL2L10;EFNB3;ALX3;ALX4;DRD2;NTSR1;DRD5;WNT4;B3GALNT1;CADM1;BDNF;RAB3IP;FZD8;MSN;HPRT;GRIN2C;SYT7;IGF2R;FOSL1;POLA1;BMP2;H1F0;GRIN3A;GNAS;LHX6;TAB3;SIM1;FGFR2;FGFR1;ACVRL1;GABRB3;RAB9;HMX3;RARG;PPP1R13B;FLT1;KCNK9;RASGRF1;HMGB3;GLI3;GLI2;WDR44;CALB2;MED12;ADAMTS5;MED14;LRRTM1;SIX2;SCN5A;ABCD1;EMX1;SPHK1;EN1;PAX3;PAWR;CTPS2;PAX6;IL17RD;ADRA2A;EPN2;KIF4;BACE1;CYP26C1;PAX7;ALDH1A2;HAND1;RARA;PLEC;PTGER4;CEBPA;ZFP423;PCOLCE2;ANKS1;SEZ6;TXLNG;EGFR;FSTL4;NEURL1A;GBX2;FRZB;FAM120C;CNR1;MGAT3;SPOCK1;HAS2;GCNT4;NCAM2;SNCB;CACNG4;RUNX1T1;TBX1;GDF10;IRX2;CDX1;USP9X;NOS3;CDKN2A;GAD1;PRRX2;PCDH8;GSX2;KLF4;TBX5;POU4F2;CLCN5;KLF5;KCNS2;RLIM;APBA3;APBA2;CDK5R2;A830080D01RIK
