Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002116_abnormal_craniofacial_bone_	63/467	0.0000000000008350950345230774537383797488168194205100658411566882932675071060657501220703125	0.00000000007181817296898465859811995755929820393903550979075589566491544246673583984375	0.00000000000008678371074258158962537278908392381399539323993952422142683644779026508331298828125	0.000000000000000000000468741908790169334716251988809258296314158236895439232647998274716716338161859312094748020172119140625	-2.0719184928374226	48.39355899644565	CDKN1C;DDR1;EDA;IHH;CELSR1;GLI3;GLI2;MED12;RPS6KA3;FGF8;ZIC3;RSPO2;PRKG2;PITX2;PITX1;NKX3-2;OFD1;FOXD3;OSR2;WNT5A;TRP73;PAX3;SHROOM3;CASK;SOX11;POU3F3;PAX1;MN1;PAX7;IRF6;ROR2;LMX1B;HMX1;FOXC2;LAMA5;DLX2;HOXD1;FOXG1;NPR2;LTBP1;EGFR;RAI1;EFNB1;SCUBE1;GBX2;LMNA;ALX3;GPC3;ALX4;OTX2;OTX1;TBX1;CDX1;GAD1;NFATC2;DMRT3;SULF1;VAX1;NELL1;MAFB;GNAS;ALPL;SIM2
MP0002882_abnormal_neuron_morphology_	120/1006	0.000000000000000000438366267260947045191664181838403948543684245984608342794341950821035425178706645965576171875	0.0000000000000001884974949222072348250194424747740864305224650111780793082516538561321794986724853515625	0.000000000000000000000321588397219936890872041102026732532362217646499327537606732936581455106761495699174702167510986328125	0.000000000000000000000468741908790169334716251988809258296314158236895439232647998274716716338161859312094748020172119140625	-1.2925943260683388	46.80154049756083	PRRXL1;FMR1;IHH;CELSR1;CELSR3;GLDN;DPYSL4;OPHN1;PITX2;EPHB1;MNX1;EPHB3;CADPS2;NKX6-2;SLC30A3;WNT5A;TRP73;CACNA2D2;SOX11;MAPK8IP2;POU3F1;SOX10;ANK1;POU3F2;MAPK8IP1;CACNB3;SFRP2;LMX1B;ROR2;DLX2;SHC2;UGT8A;COL13A1;FOXG1;NPR2;ARX;SLC1A2;BHLHE22;BHLHE23;EFNB3;OTX2;OTX1;NKX6-1;DRD2;NKX2-2;PRPH;EGR3;BDNF;NFATC2;FOXN4;HPRT;KY;DAB1;GRIN3A;GDNF;TLX3;LHX3;NBEA;TLX2;FEV;GJB6;DLG5;FAT4;SLC26A4;VSX1;BARHL1;GABRB3;BARHL2;HMX3;UCN;DAGLA;NR2E1;GLI2;AIFM1;NEFM;FEZF2;NKX3-2;SLC18A3;OFD1;EDN3;GRID1;PAX3;OLIG1;PRSS12;UCHL5;BACE1;DNAJC6;ALDH1A2;KCNMA1;HMX2;PLEC;LAMA5;GUCY2E;DBX1;SEZ6;CRMP1;DLL1;HOXD10;EGFR;RELN;EGFLAM;GBX2;CNR1;LMNA;SLIT1;SLITRK5;TBX1;GDF15;GABRA5;CDKN2A;GAD1;ATP2B2;SULF1;VAX1;POU4F2;PTF1A;NEUROG1;NEUROG2;CRLF1;HCN1
MP0002752_abnormal_somatic_nervous_	84/675	0.000000000000012258771758082534618425719980933670985698454025669690281574730761349201202392578125	0.00000000000131781796399387240206100523850133075473047006287430349402711726725101470947265625	0.0000000000000002396292600467145145503346843042469113941827477294588266687469513271935284137725830078125	0.000000000000000000000468741908790169334716251988809258296314158236895439232647998274716716338161859312094748020172119140625	-1.471531585730671	40.253810987688546	PRRXL1;HRK;GABRB3;BARHL1;MESP1;BARHL2;HMX3;UCN;NR2E1;CELSR1;GLI3;FGF3;RPGR;FGF8;AIFM1;ZIC3;NEFM;EPHB1;MNX1;SLC18A3;FOXD3;NKX6-2;GRID1;TRP73;CACNA2D2;PAX3;SOX11;NAV2;POU3F1;SOX10;CACNB3;ALDH1A2;KCNMA1;LMX1B;ROR2;HMX2;LAMA5;FOXC2;SHC2;DLX2;GUCY2E;COL13A1;FOXG1;NPR2;HPN;BHLHE22;BHLHE23;DLL1;HOXD10;EGFR;EFNB1;SCUBE1;RELN;EGFLAM;GBX2;LMNA;OTX2;OTX1;PRPH;EGR3;BDNF;GDF15;GABRA5;CDKN2A;UNCX;NFATC2;ATP2B2;FOXN4;HPRT;VAX1;POU4F2;KY;DAB1;GDNF;LHX3;GJB6;ALPL;FAT4;SLC26A4;PTF1A;NEUROG1;NEUROG2;VSX1;HCN1
MP0002081_perinatal_lethality_	102/981	0.0000000000017728797242679337047643012082855725093655241408896472421474754810333251953125	0.0000000001089054687764587856444282935904749841371508267684475868009030818939208984375	0.0000000000000056271668568433289710434109076374385517534050700494407948326625046320259571075439453125	0.0000000000003456688212060902363948418565052928471694436429739738514399505220353603363037109375	-1.3032534448353763	29.89733891380357	IHH;SLC4A2;CELSR1;CXCL14;CELSR3;FGF3;HOXA11;TGM1;FGF8;GRB10;PITX2;PITX1;MNX1;HOXA5;OSR2;WNT5A;DIO3;CASK;SOX11;POU3F1;POU3F2;SOX10;ANK1;POU3F3;CLDN5;LOX;ROR2;LMX1B;MAGEL2;DLX2;FOXG1;CHRNA7;ARX;TWIST2;LTBP1;EFNB1;SCUBE1;ALX3;NKX2-1;ALX4;OTX2;OTX1;NKX6-1;BDNF;HPRT;IGF2R;MAFB;LHX3;DLG3;TLX3;GDNF;NBEA;GNAS;LHX4;FAT4;RLN1;CDKN1C;GABRB3;EDA;CITED1;CELF4;GLI3;GLI2;SIX2;RSPO2;NKX3-2;SLC18A3;OFD1;FOXD3;RIPK4;PAX3;SHROOM3;OLIG1;ZFX;ADAMTS20;GREM1;RIPPLY2;IRF6;HMX1;PTGER4;FOXC2;DBX1;NTN1;DLL1;EGFR;GBX2;PLAGL1;GPC3;SLIT1;SLC12A5;GAD1;WNT7B;UNCX;TBX5;VAX1;SULF1;NELL1;INSM1;PTF1A;NEUROG1;NEUROG2;CRLF1
MP0002169_no_abnormal_phenotype_	137/1370	0.0000000000000037421533587636858126525450452353544261705257066574770163924767985008656978607177734375	0.0000000000007168395778469013750152071189153133519596228229175949309137649834156036376953125	0.00000000000000000041558003517225802179359926489860101387680670471006069872921262486897830967791378498077392578125	0.000000000000000000000468741908790169334716251988809258296314158236895439232647998274716716338161859312094748020172119140625	-1.0554201375762615	29.513688853138625	GALNT13;SCX;SLC4A2;FZD10;DACH2;SAT1;FGF3;FGF4;RIMS2;FGF8;SOX17;GSC2;MAP3K9;PITX2;HOXA5;MNX1;OSR2;NKX6-2;IGFBP2;ATP11C;ZBTB33;POU3F1;SOX10;RBP4;SFRP2;LMX1B;NBL1;MTMR1;FOXG1;ARX;TWIST2;DTX1;GPR83;CRHR1;GLIS1;PDZD4;EFNB3;ALX3;ALX4;OTX2;NTSR1;RBM10;DRD5;ZRSR1;B3GALNT1;BDNF;ST8SIA1;MSN;HPRT;GRIN2C;SYT7;IGF2R;FOSL1;POLA1;FER;BMP2;H1F0;LRCH2;DAB1;GRIN3A;GNAS;TAB3;OGT;ACVRL1;GABRB3;RAB9;HMX3;KCNK9;RASGRF1;HMGB3;HCCS;ARHGAP6;GLI2;WDR44;AKAP12;CALB2;MED12;ADAMTS5;MED14;LRRTM1;SIX2;SCN5A;ABCD1;SPHK1;PAX3;CTPS2;IL17RD;EPN2;PAX1;KIF4;BACE1;PAX7;ALDH1A2;PLEC;PTGER4;ODC1;SEZ6;TXLNG;ASCL2;EGFR;THBS4;FSTL4;HDAC6;NEURL1A;ACVR1C;GBX2;FAM120C;LMNA;MGAT3;SPOCK1;SNCB;CACNG4;TBX1;GDF10;CDX4;EGF;GDF15;CDX1;USP9X;GAD1;PRRX2;PCDH8;TBX5;SULF1;POU4F2;CLCN5;KCNS2;RLIM;RBM41;TACC2;APBA3;APBA2;CDK5R2;LIMS2;HCN1;NEUROG3;A830080D01RIK
MP0002873_normal_phenotype_	137/1375	0.0000000000000050012063570714049016062359113573961321414884477476459068157055298797786235809326171875	0.0000000000007168395778469013750152071189153133519596228229175949309137649834156036376953125	0.00000000000000000056019560072681141285971956001481907058502735714493997974672279127617002814076840877532958984375	0.000000000000000000000468741908790169334716251988809258296314158236895439232647998274716716338161859312094748020172119140625	-1.050207559529559	29.367924715127792	GALNT13;SCX;SLC4A2;FZD10;DACH2;SAT1;FGF3;FGF4;RIMS2;FGF8;SOX17;GSC2;MAP3K9;PITX2;HOXA5;MNX1;OSR2;NKX6-2;IGFBP2;ATP11C;ZBTB33;POU3F1;SOX10;RBP4;SFRP2;LMX1B;NBL1;MTMR1;FOXG1;ARX;TWIST2;DTX1;GPR83;CRHR1;GLIS1;PDZD4;EFNB3;ALX3;ALX4;OTX2;NTSR1;RBM10;DRD5;ZRSR1;B3GALNT1;BDNF;ST8SIA1;MSN;HPRT;GRIN2C;SYT7;IGF2R;FOSL1;POLA1;FER;BMP2;H1F0;LRCH2;DAB1;GRIN3A;GNAS;TAB3;OGT;ACVRL1;GABRB3;RAB9;HMX3;KCNK9;RASGRF1;HMGB3;HCCS;ARHGAP6;GLI2;WDR44;AKAP12;CALB2;MED12;ADAMTS5;MED14;LRRTM1;SIX2;SCN5A;ABCD1;SPHK1;PAX3;CTPS2;IL17RD;EPN2;PAX1;KIF4;BACE1;PAX7;ALDH1A2;PLEC;PTGER4;ODC1;SEZ6;TXLNG;ASCL2;EGFR;THBS4;FSTL4;HDAC6;NEURL1A;ACVR1C;GBX2;FAM120C;LMNA;MGAT3;SPOCK1;SNCB;CACNG4;TBX1;GDF10;CDX4;EGF;GDF15;CDX1;USP9X;GAD1;PRRX2;PCDH8;TBX5;SULF1;POU4F2;CLCN5;KCNS2;RLIM;RBM41;TACC2;APBA3;APBA2;CDK5R2;LIMS2;HCN1;NEUROG3;A830080D01RIK
MP0003635_abnormal_synaptic_transmissio_	58/453	0.000000000058010967300570568430091035182577193819730698720604777918197214603424072265625	0.000000003118089492405668216291693664219374093615755327846272848546504974365234375	0.00000000000652929683072139286024882206891162337962508654953808218124322593212127685546875	0.000000000052235889562277466232851172006409882532518285103151356452144682407379150390625	-1.4605017325080845	28.60545318836104	GABRB3;DAGLA;DOC2A;FMR1;CTNND2;RASGRF1;GRIK3;ADRA1D;DOC2B;SLC6A2;AFF2;CALB2;OPHN1;NETO1;DPYSL4;SYNPO;SLC18A3;CADPS2;KCNH3;TRPC5;CACNA2D2;CASK;AVPR1A;MAPK8IP2;MAPK8IP1;BACE1;CACNB3;VGF;KCNMA1;LMX1B;CHST3;CAMK2B;COL13A1;CHRNA7;SEZ6;CRMP1;CACNA1H;EFNB3;CNR1;SLITRK5;DRD2;NTSR1;TBX1;GABBR2;EGR3;BDNF;GABRA5;GAD1;ATP2B2;GRIN2C;NR2F6;SLC6A5;CPEB1;GRIN3A;NBEA;DLG3;GDNF;FGF12
MP0003861_abnormal_nervous_system_	88/855	0.000000000112839410942277318074399605863180652554067506798674003221094608306884765625	0.00000000539121630057547159931639660346812392699433758025406859815120697021484375	0.000000000001093309316419760849766290707203901327003447985219963811687193810939788818359375	0.000000000052235889562277466232851172006409882532518285103151356452144682407379150390625	-1.370200170196627	26.086548840937144	MESP1;C330007P06RIK;DAGLA;EDA;FMR1;NR2E1;CELSR1;CELSR3;FGF3;GLI3;GLI2;MED12;FGF8;CDH2;OPHN1;ZIC3;NEFM;PITX2;FEZF2;SYNPO;EPHB1;MNX1;EPHB3;OFD1;CADPS2;AMN;NKX6-2;EDN3;SPHK1;TRP73;EN2;PAX3;SHROOM3;CACNA2D2;OLIG1;SOX11;POU3F2;SOX10;UCHL5;ZDHHC15;ADAMTS20;PAX1;SFRP2;ALDH1A2;PARD3;LMX1B;HMX1;FOXC2;LAMA5;DLX2;FOXG1;ARX;CRMP1;GATA4;HOXD12;HOXD11;DLL1;HOXD10;LTBP1;EGFR;EFNB3;SCUBE1;RELN;GBX2;CNR1;SLIT1;OTX2;OTX1;DRD2;TBX1;BDNF;CDKN2A;USP9X;GAD1;HPRT;VAX1;BMP2;MAFB;DAB1;DLG3;FEV;DLG5;FAT4;BCOR;PTF1A;NEUROG1;NEUROG2;HCN1
MP0002572_abnormal_emotion/affect_behav_	45/372	0.00000004739893782164014644535932866027672094588751861010678112506866455078125	0.000001567811020254250917380632081299385305328542017377912998199462890625	0.0000000088955746251644628905042562027997987694760695376317016780376434326171875	0.000000022334982273563592637707192999074745642928974120877683162689208984375	-1.7708194248567237	23.668471687459736	GABRB3;OPRD1;UCN;SH3KBP1;FMR1;CHRNA7;ARX;ADM;NR2E1;SLC6A2;ADCY7;CRHR1;RAI1;HRH1;OPHN1;CNR1;NKX2-1;SLITRK5;DRD2;SYNPO;GABBR2;CADPS2;TRPC5;KCNH5;BDNF;TRP73;CACNA2D3;EN2;NFATC2;HPRT;NAV2;AVPR1A;MAPK8IP2;PRSS12;BACE1;GRIN3B;GNAL;GJB6;FEV;GNAS;LMX1B;APBA2;FGF12;CHST3;HCN1
MP0002184_abnormal_innervation_	27/161	0.0000000337410464664899546301926928047743015071091576828621327877044677734375	0.000001209054165049223477921874932150547721221300889737904071807861328125	0.0000000297254756052411975668145070923753525704569256049580872058868408203125	0.000000022334982273563592637707192999074745642928974120877683162689208984375	-1.7061661514262203	23.247660673851286	GABRB3;PRRXL1;NPR2;SEZ6;CELSR3;GLI3;EGFR;EFNB3;RELN;GBX2;NPTX1;NPTX2;MNX1;SLC18A3;GABRA5;NFATC2;SOX11;ATP2B2;POU4F2;CACNB3;GDNF;TLX2;FEV;ALDH1A2;KCNMA1;LMX1B;PTF1A
