Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Cryptorchidism (HP:0000028)	15/379	0.0021711023089231429837597797671833177446387708187103271484375	0.1623185005068784325654718259102082811295986175537109375	0.01543393827165012895108464618942889501340687274932861328125	0.431912235012388567856334020689246244728565216064453125	-2.504462283961606	4.553600355065457	BDNF;FMR1;GATA5;SOX11;HNF1B;ANK1;EFNB1;FGF8;OPHN1;GJB6;SMS;ROR2;FAT4;BCOR;FKTN
Delayed eruption of teeth (HP:0000684)	7/86	0.000645225859686719845596802880294262649840675294399261474609375	0.147404996546797228962333292656694538891315460205078125	0.00312226951442303064798711176308643189258873462677001953125	0.431912235012388567856334020689246244728565216064453125	-2.1768521044809583	4.16773878546226	GJB6;LMNA;GNAS;FAT4;BCOR;ROR2;CHST3
Aplasia/Hypoplasia of the phalanges of the toes (HP:0010173)	3/13	0.00121678652809856214199457635771750574349425733089447021484375	0.147404996546797228962333292656694538891315460205078125	0.00417668521549670844483781451117465621791779994964599609375	0.431912235012388567856334020689246244728565216064453125	-2.1674808342491407	4.149796819476699	BMP2;IHH;ROR2
Increased number of teeth (HP:0011069)	4/20	0.000316960928041259211614122381917013626662082970142364501953125	0.147404996546797228962333292656694538891315460205078125	0.0014203360715656942504792059622786837280727922916412353515625	0.431912235012388567856334020689246244728565216064453125	-2.1630108825470438	4.141238777779872	AMMECR1;BCOR;FAT4;ROR2
Limited elbow extension (HP:0001377)	4/22	0.0004659195463532224521126245964097734031383879482746124267578125	0.147404996546797228962333292656694538891315460205078125	0.00193562420630548175093377238908942672424018383026123046875	0.431912235012388567856334020689246244728565216064453125	-2.1130154440768285	4.045518941058034	HUWE1;LMX1B;CRLF1;CHST3
Autosomal dominant inheritance (HP:0000006)	32/1134	0.00335508256776385384301253367311801412142813205718994140625	0.1623185005068784325654718259102082811295986175537109375	0.04234677286304988630405432559200562536716461181640625	0.431912235012388567856334020689246244728565216064453125	-2.18376678441171	3.9705134585407715	FOXE3;IHH;CRYBA2;AQP5;SLC6A2;FGF8;KCNT1;LMNA;NKX2-1;PITX2;DRD2;SNCB;MNX1;EGR2;GSN;BDNF;HNF1B;ANK1;IGF2R;MN1;BMP2;TST;GDNF;P2RX2;GJB6;SCN8A;KCNMA1;GNAS;ROR2;LMX1B;CHST3;PLEC
Hypothyroidism (HP:0000821)	7/120	0.0043895616712883896159969054906468954868614673614501953125	0.1816463193475294224388250086121843196451663970947265625	0.0166976952540215210774032783547227154485881328582763671875	0.431912235012388567856334020689246244728565216064453125	-2.227951809441957	3.8002035498577946	LHX3;FOXE1;FMR1;NKX2-1;GNAS;HNF1B;SLC26A4
Short distal phalanx of finger (HP:0009882)	6/69	0.001108539542497268860776760135422591702081263065338134765625	0.147404996546797228962333292656694538891315460205078125	0.004605843352063969213527894197568457457236945629119873046875	0.431912235012388567856334020689246244728565216064453125	-1.9811292957313817	3.7930134931256356	BMP2;LMNA;IHH;SOX11;ROR2;CHST3
Abnormality of the middle phalanges of the hand (HP:0009833)	4/36	0.003113957700663395888884821260944590903818607330322265625	0.1623185005068784325654718259102082811295986175537109375	0.00947497077738214399378335883739055134356021881103515625	0.431912235012388567856334020689246244728565216064453125	-2.084526701326383	3.790075653400721	BMP2;LMNA;IHH;ROR2
Aplasia/Hypoplasia of the lens (HP:0008063)	4/33	0.0022510447542469272895482301777292377664707601070404052734375	0.1623185005068784325654718259102082811295986175537109375	0.00718023670705495060950784846909300540573894977569580078125	0.431912235012388567856334020689246244728565216064453125	-2.04903107946859	3.7255376975568657	FOXE3;LMX1B;PITX2;HMX1
Absent toe (HP:0010760)	4/34	0.0025175362570090940340927776475155042135156691074371337890625	0.1623185005068784325654718259102082811295986175537109375	0.0078988989485046894045705556663961033336818218231201171875	0.431912235012388567856334020689246244728565216064453125	-2.040314188645036	3.7096886918028575	WNT10B;BMP2;IHH;ROR2
Camptodactyly of finger (HP:0100490)	7/121	0.004593155944465895056116888639508033520542085170745849609375	0.1816463193475294224388250086121843196451663970947265625	0.0173720193878288305111556866222599637694656848907470703125	0.431912235012388567856334020689246244728565216064453125	-2.1345143552008294	3.640827865073236	EFNB1;LMNA;ROR2;FAT4;BCOR;CRLF1;CHST3
